trend,cosyear,sinyear,temp,atemp,windspeed,hum
0,1,0,8.175849,7.99925,10.749882,80.5833
2,0.999407400739705,0.0344216116227457,1.229108,-3.49927,16.636703,43.7273
8,0.990532452132223,0.137278772113265,-1.498349,-8.33245,24.25065,43.4167
17,0.957485188355039,0.288482432880609,2.183349,-0.666022,9.833925,86.1667
21,0.935367949313148,0.353676122176372,-5.2208712,-10.7814064,11.52199,40
26,0.901501684131884,0.432775592550431,1.165,-1.4998,7.627079,68.75
31,0.860961015888994,0.508670943852104,1.032178,-0.52102,3.565271,82.9565
41,0.761104258660775,0.648629561034982,0.887277000000001,-1.908406,7.27285,50.6364
42,0.749826401204569,0.661634618242278,2.4575,-0.625036,13.625589,54.4167
43,0.738326354003107,0.674443618832946,6.876534,5.391458,17.479161,45.7391
52,0.625410572985246,0.780295851070776,0.564434,-3.721822,13.110761,57.7778
55,0.584298173628369,0.811539059007361,9.124356,7.130426,23.218113,71.2174
57,0.556017436657045,0.831170626365808,8.143466,7.173194,8.391616,68
59,0.527077708642372,0.849817091527528,4.533349,1.416014,14.500475,53.5
61,0.497513288907181,0.867456354729597,1.321651,-2.791222,15.125518,31.8333
62,0.482507741761219,0.875891705144243,4.298349,0.874814000000001,13.624182,61.0417
69,0.373719714790469,0.927541683579197,6.876534,4.13,15.60899,64.9565
76,0.2595117970698,0.965739937654855,17.38,18.782594,15.478139,52.5217
81,0.175531490421428,0.984473816752092,8.306979,6.303974,15.695487,83.9565
85,0.107381346664163,0.994217906893952,3.893021,0.522373999999999,12.3481,49.3913
91,0.00430353829624429,0.99999073973619,6.805,4.832042,13.208782,65.375
96,-0.0816763953304224,0.99665890175417,12.5625,12.623936,10.874904,60.2917
98,-0.1159345995955,0.993256849267414,8.0975,6.540914,8.916561,87.75
100,-0.150055398344653,0.988677590232341,19.995644,21.304322,21.739758,71.6956
122,-0.50496105472152,0.863142128049912,20.983349,22.417214,22.958689,69.7083
125,-0.548842958284719,0.835925479418637,14.520849,15.291722,15.292482,59
141,-0.75549331407268,0.655156357209085,20.395849,21.917,9.916536,74.9583
143,-0.777597146973627,0.628762814595835,23.02,23.917658,13.875164,74.0833
144,-0.788305055830525,0.615284599963328,23.059151,24.625772,10.333611,69.625
145,-0.798779372886365,0.601624063224923,25.291651,27.209408,13.376014,67.75
146,-0.809016994374947,0.587785252292473,24.038349,26.042528,16.125493,65.375
148,-0.828770087174503,0.559589262410177,23.3725,24.6263,14.333846,81.875
149,-0.838279705217774,0.545240438540651,26.466651,28.292072,8.792075,68.5
153,-0.873807103611081,0.48627270710869,21.14,22.750778,16.959107,35.4167
156,-0.897743393534234,0.440518784350495,23.881651,25.042628,8.167032,60
172,-0.98370929377361,0.179766585725562,26.466651,29.792714,11.541554,70.75
182,-0.999962959116266,0.0086069968886887,26.701651,28.042328,7.709154,44.4583
191,-0.989314203970366,-0.145799196919875,27.8375,32.167064,18.916579,63.5833
205,-0.92592477719385,-0.377707965203965,26.936651,31.583228,6.0841561,75.7083
207,-0.912374757970727,-0.409355958815622,28.425,29.584022,12.292021,40.2917
212,-0.873807103611081,-0.48627270710869,28.268349,30.417272,10.500039,55.0833
214,-0.856550995901004,-0.516062391015853,26.388349,28.875842,9.084061,65.75
219,-0.809016994374948,-0.587785252292473,27.955,30.416678,12.875725,59.2083
232,-0.658401584698049,-0.752666827532008,25.409151,28.58465,16.666518,77
246,-0.459732739452105,-0.888057322629493,25.330849,27.918314,13.833289,74.2083
254,-0.333468778918187,-0.942761143390421,22.284356,23.74058,5.957171,69.2174
262,-0.200890555130635,-0.97961369164549,18.398349,19.126322,9.041918,88.125
263,-0.18399835165768,-0.982926551979982,19.965,20.335178,6.4590814,90
265,-0.150055398344653,-0.988677590232341,20.630849,18.46025,5.2505689,97.25
270,-0.0645084494493171,-0.997917160865392,21.845,21.960428,9.958143,84.875
271,-0.0473213883224323,-0.998879715585034,20.983349,21.917792,11.583161,69.9167
272,-0.0301203048469084,-0.999546280687357,18.515849,19.958714,13.833825,64.75
273,-0.0129102960750088,-0.999916658654738,11.27,11.248958,19.583832,75.375
275,0.0215160974362222,-0.999768501979891,10.055849,9.875036,5.5841686,76.0833
282,0.141540295217043,-0.989932495087353,18.829151,19.83305,2.8343814,73.375
283,0.158559385103135,-0.987349442393986,18.633349,20.042336,9.583814,80.875
292,0.309016994374947,-0.951056516295153,14.364151,14.79065,28.292425,63.625
295,0.357698238833125,-0.933837228822925,11.818349,11.873978,6.6673375,74.125
297,0.389630449530788,-0.920971287716635,14.168349,14.58275,11.166086,62.2917
299,0.421100870796089,-0.907013812802636,14.09,14.165036,13.250121,81.2917
304,0.49751328890718,-0.867456354729597,10.839151,10.207808,9.083257,68.375
317,0.677614789046689,-0.735417022963986,16.91,18.624392,20.541932,58.7083
319,0.702527474169157,-0.711656622281775,13.463349,13.831208,9.167543,93
320,0.714673386042961,-0.699458327051647,8.058349,5.332586,20.459254,57.5833
321,0.726607524768566,-0.687052767223667,4.885849,1.999586,11.291711,41
324,0.761104258660774,-0.648629561034981,13.0325,13.374092,9.249618,91
326,0.782980103677063,-0.622046748440868,12.719151,12.415442,22.500275,75.7917
328,0.803927961832821,-0.594726686960764,9.625,9.124286,6.6260186,64.375
332,0.842941537354783,-0.538005171538299,13.541651,13.79075,17.292164,83.0833
333,0.852077521101309,-0.52341560736555,7.275,4.540586,18.167586,61.3333
334,0.860961015888994,-0.508670943852104,6.6875,4.166564,14.750586,52.4583
339,0.901501684131884,-0.432775592550431,13.7375,14.1224,15.583061,94.9583
350,0.966847813605277,-0.255353295116187,4.141651,0.458486000000001,16.292189,56.0833
355,0.985220106756061,-0.171293144181478,11.896651,12.123986,3.167425,75.75
