trend,cosyear,sinyear,temp,atemp,windspeed,hum
0,1,0,8.175849,7.99925,10.749882,80.5833
1,0.999851839209116,0.0172133561558347,9.083466,7.346774,16.652113,69.6087
2,0.999407400739705,0.0344216116227457,1.229108,-3.49927,16.636703,43.7273
3,0.998666816288476,0.0516196672232538,1.4,-1.999948,10.739832,59.0435
4,0.997630305306586,0.0688024268023199,2.666979,-0.868180000000001,12.5223,43.6957
5,0.996298174934608,0.0859647987374465,1.604356,-0.608205999999999,6.0008684,51.8261
6,0.994670819911521,0.103101697447435,1.236534,-2.216626,11.304642,49.8696
7,0.99274872245774,0.120208044899353,-0.244999999999999,-5.291236,17.875868,53.5833
8,0.990532452132223,0.137278772113265,-1.498349,-8.33245,24.25065,43.4167
9,0.988022665663698,0.154308820664281,-0.910849000000001,-6.041392,14.958889,48.2917
10,0.985220106756061,0.171293144181478,-0.0527230000000003,-3.363376,8.182844,68.6364
11,0.982125605868001,0.188226709843244,0.118169,-5.408782,20.410009,59.9545
12,0.978740079966915,0.205104499868619,-0.244999999999999,-6.041722,20.167,47.0417
13,0.975064532257195,0.221921513004166,-0.439109999999999,-3.564742,8.478716,53.7826
14,0.97110005188295,0.23867276600595,2.966651,0.375392000000002,10.583521,49.875
15,0.966847813605277,0.255353295116187,2.888349,-0.541677999999999,12.625011,48.375
16,0.962309077454149,0.271958157534106,0.264151,-4.333114,12.999139,53.75
17,0.957485188355039,0.288482432880609,2.183349,-0.666022,9.833925,86.1667
18,0.952377575730397,0.304921224656289,5.732178,3.695852,13.957239,74.1739
19,0.946987753076075,0.321269661692364,4.298349,0.833300000000001,13.125568,53.8333
20,0.941317317512847,0.337522899594113,0.342499999999999,-5.583022,23.667214,45.7083
21,0.935367949313148,0.353676122176372,-5.2208712,-10.7814064,11.52199,40
22,0.929141411403174,0.369724542890673,-3.4634801,-9.4766194,16.5222,43.6522
23,0.922639548840488,0.385663406243607,-3.4226089,-8.21662,10.60811,49.1739
24,0.915864288267287,0.401487989205973,2.503466,-0.521284,8.696332,61.6957
25,0.908817637339503,0.417193602612317,2.2225,-2.5624,19.68795,86.25
26,0.901501684131884,0.432775592550431,1.165,-1.4998,7.627079,68.75
27,0.893918596519257,0.448229341740411,1.563466,-1.261078,8.2611,79.3043
28,0.886070621534138,0.463550270902851,1.236534,-1.999684,9.739455,65.1739
29,0.877960084700888,0.478733840115789,2.176534,0.521252000000001,4.9568342,72.2174
30,0.869589389346611,0.493775550159977,0.499151,-3.7075,12.541864,60.375
31,0.860961015888994,0.508670943852104,1.032178,-0.52102,3.565271,82.9565
32,0.852077521101309,0.52341560736555,4.22,0.791522000000001,17.708636,77.5417
33,0.842941537354783,0.5380051715383,0.786979000000001,-4.260052,18.609384,43.7826
34,0.83355577183857,0.55243531316762,1.931288,-0.913257999999999,8.565213,58.5217
35,0.823923005757554,0.566701756291118,2.966651,0.0418279999999989,10.792293,92.9167
36,0.814046093508218,0.580800273453801,5.434151,3.250286,9.5006,56.8333
37,0.803927961832821,0.594726686960763,4.768349,4.041428,3.0423561,73.8333
38,0.793571608952147,0.608476870115126,2.379151,-2.915764,24.25065,53.7917
39,0.782980103677063,0.622046748440868,-1.665199,-6.477322,12.652213,49.4783
40,0.772156584499164,0.635432300890177,-1.215644,-6.129832,14.869645,43.7391
41,0.761104258660775,0.648629561034982,0.887277000000001,-1.908406,7.27285,50.6364
42,0.749826401204569,0.661634618242278,2.4575,-0.625036,13.625589,54.4167
43,0.738326354003107,0.674443618832946,6.876534,5.391458,17.479161,45.7391
44,0.726607524768566,0.687052767223667,11.505,10.2911,27.999836,37.5833
45,0.714673386042961,0.699458327051647,4.506089,0.782084000000001,19.522058,31.4348
46,0.702527474169157,0.711656622281775,6.958267,4.8692,16.869997,42.3478
47,0.690173388242972,0.723644038295912,12.484151,12.291428,15.416968,50.5
48,0.677614789046689,0.735417022963986,16.518349,17.790878,17.749975,51.6667
49,0.664855397964287,0.746972087696555,10.760849,9.832664,34.000021,18.7917
50,0.651898995878713,0.758305808478562,5.405199,2.30378,14.956745,40.7826
51,0.638749422051527,0.769414826883938,6.256651,2.74895,20.625682,60.5
52,0.625410572985246,0.780295851070776,0.564434,-3.721822,13.110761,57.7778
53,0.611886401268724,0.790945656756777,2.421733,0.217321999999999,6.305571,42.3043
54,0.598180914405916,0.801361088174677,5.895644,3.086606,16.783232,69.7391
55,0.584298173628369,0.811539059007361,9.124356,7.130426,23.218113,71.2174
