feat_1_,feat_2_,feat_3_,feat_4_,feat_5_,feat_6_,feat_7_,feat_8_,feat_9_,feat_10_,response,joint_prob,feat_comb_id
1,1,1,1,1,1,1,1,1,1,9,0.0009765625,1
2,1,1,1,1,1,1,1,1,1,7,0.000666688957165123,2
3,1,1,1,1,1,1,1,1,1,8,0.000309873542834877,3
1,2,1,1,1,1,1,1,1,1,8,0.000666688957165123,4
2,2,1,1,1,1,1,1,1,1,12,0.000455141545580461,5
3,2,1,1,1,1,1,1,1,1,10,0.000211547411584662,6
1,3,1,1,1,1,1,1,1,1,10,0.000309873542834877,7
2,3,1,1,1,1,1,1,1,1,11,0.000211547411584662,8
3,3,1,1,1,1,1,1,1,1,15,9.83261312502153e-05,9
1,1,2,1,1,1,1,1,1,1,13,0.000666688957165123,10
2,1,2,1,1,1,1,1,1,1,11,0.000455141545580461,11
3,1,2,1,1,1,1,1,1,1,12,0.000211547411584662,12
1,2,2,1,1,1,1,1,1,1,12,0.000455141545580461,13
2,2,2,1,1,1,1,1,1,1,16,0.000310720350602813,14
3,2,2,1,1,1,1,1,1,1,14,0.000144421194977648,15
1,3,2,1,1,1,1,1,1,1,14,0.000211547411584662,16
2,3,2,1,1,1,1,1,1,1,15,0.000144421194977648,17
3,3,2,1,1,1,1,1,1,1,19,6.7126216607014e-05,18
1,1,3,1,1,1,1,1,1,1,16,0.000309873542834877,19
2,1,3,1,1,1,1,1,1,1,14,0.000211547411584662,20
3,1,3,1,1,1,1,1,1,1,15,9.83261312502153e-05,21
1,2,3,1,1,1,1,1,1,1,15,0.000211547411584662,22
2,2,3,1,1,1,1,1,1,1,19,0.000144421194977648,23
3,2,3,1,1,1,1,1,1,1,17,6.7126216607014e-05,24
1,3,3,1,1,1,1,1,1,1,17,9.83261312502153e-05,25
2,3,3,1,1,1,1,1,1,1,18,6.7126216607014e-05,26
3,3,3,1,1,1,1,1,1,1,22,3.11999146432014e-05,27
1,1,1,2,1,1,1,1,1,1,9,0.000666688957165123,28
2,1,1,2,1,1,1,1,1,1,7,0.000455141545580461,29
3,1,1,2,1,1,1,1,1,1,8,0.000211547411584662,30
1,2,1,2,1,1,1,1,1,1,8,0.000455141545580461,31
2,2,1,2,1,1,1,1,1,1,12,0.000310720350602813,32
3,2,1,2,1,1,1,1,1,1,10,0.000144421194977648,33
1,3,1,2,1,1,1,1,1,1,10,0.000211547411584662,34
2,3,1,2,1,1,1,1,1,1,11,0.000144421194977648,35
3,3,1,2,1,1,1,1,1,1,15,6.7126216607014e-05,36
1,1,2,2,1,1,1,1,1,1,11,0.000455141545580461,37
2,1,2,2,1,1,1,1,1,1,9,0.000310720350602813,38
3,1,2,2,1,1,1,1,1,1,10,0.000144421194977648,39
1,2,2,2,1,1,1,1,1,1,10,0.000310720350602813,40
2,2,2,2,1,1,1,1,1,1,14,0.000212125518349692,41
3,2,2,2,1,1,1,1,1,1,12,9.85948322531214e-05,42
1,3,2,2,1,1,1,1,1,1,12,0.000144421194977648,43
2,3,2,2,1,1,1,1,1,1,13,9.85948322531214e-05,44
3,3,2,2,1,1,1,1,1,1,17,4.58263627245264e-05,45
1,1,3,2,1,1,1,1,1,1,15,0.000211547411584662,46
