rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_X4,skillscoremean_X5,skillscoremean_X6,skillscoremean_X7,skillscoremean_X8,skillscoremean_X9,skillscoremean_X10,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_X4,absrelmean_X5,absrelmean_X6,absrelmean_X7,absrelmean_X8,absrelmean_X9,absrelmean_X10,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_X4,absmean_X5,absmean_X6,absmean_X7,absmean_X8,absmean_X9,absmean_X10,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_X4,abssd_X5,abssd_X6,abssd_X7,abssd_X8,abssd_X9,abssd_X10,abssd_total,h_X_1,h_X_2,h_X_3,h_X_4,h_X_5,h_X_6,h_X_7,h_X_8,h_X_9,h_X_10,h_X_1_2,h_X_1_3,h_X_1_4,h_X_1_5,h_X_1_6,h_X_1_7,h_X_1_8,h_X_1_9,h_X_1_10,h_X_2_3,h_X_2_4,h_X_2_5,h_X_2_6,h_X_2_7,h_X_2_8,h_X_2_9,h_X_2_10,h_X_3_4,h_X_3_5,h_X_3_6,h_X_3_7,h_X_3_8,h_X_3_9,h_X_3_10,h_X_4_5,h_X_4_6,h_X_4_7,h_X_4_8,h_X_4_9,h_X_4_10,h_X_5_6,h_X_5_7,h_X_5_8,h_X_5_9,h_X_5_10,h_X_6_7,h_X_6_8,h_X_6_9,h_X_6_10,h_X_7_8,h_X_7_9,h_X_7_10,h_X_8_9,h_X_8_10,h_X_9_10,h_X_1_2_3,h_X_1_2_4,h_X_1_2_5,h_X_1_2_6,h_X_1_2_7,h_X_1_2_8,h_X_1_2_9,h_X_1_2_10,h_X_1_3_4,h_X_1_3_5,h_X_1_3_6,h_X_1_3_7,h_X_1_3_8,h_X_1_3_9,h_X_1_3_10,h_X_1_4_5,h_X_1_4_6,h_X_1_4_7,h_X_1_4_8,h_X_1_4_9,h_X_1_4_10,h_X_1_5_6,h_X_1_5_7,h_X_1_5_8,h_X_1_5_9,h_X_1_5_10,h_X_1_6_7,h_X_1_6_8,h_X_1_6_9,h_X_1_6_10,h_X_1_7_8,h_X_1_7_9,h_X_1_7_10,h_X_1_8_9,h_X_1_8_10,h_X_1_9_10,h_X_2_3_4,h_X_2_3_5,h_X_2_3_6,h_X_2_3_7,h_X_2_3_8,h_X_2_3_9,h_X_2_3_10,h_X_2_4_5,h_X_2_4_6,h_X_2_4_7,h_X_2_4_8,h_X_2_4_9,h_X_2_4_10,h_X_2_5_6,h_X_2_5_7,h_X_2_5_8,h_X_2_5_9,h_X_2_5_10,h_X_2_6_7,h_X_2_6_8,h_X_2_6_9,h_X_2_6_10,h_X_2_7_8,h_X_2_7_9,h_X_2_7_10,h_X_2_8_9,h_X_2_8_10,h_X_2_9_10,h_X_3_4_5,h_X_3_4_6,h_X_3_4_7,h_X_3_4_8,h_X_3_4_9,h_X_3_4_10,h_X_3_5_6,h_X_3_5_7,h_X_3_5_8,h_X_3_5_9,h_X_3_5_10,h_X_3_6_7,h_X_3_6_8,h_X_3_6_9,h_X_3_6_10,h_X_3_7_8,h_X_3_7_9,h_X_3_7_10,h_X_3_8_9,h_X_3_8_10,h_X_3_9_10,h_X_4_5_6,h_X_4_5_7,h_X_4_5_8,h_X_4_5_9,h_X_4_5_10,h_X_4_6_7,h_X_4_6_8,h_X_4_6_9,h_X_4_6_10,h_X_4_7_8,h_X_4_7_9,h_X_4_7_10,h_X_4_8_9,h_X_4_8_10,h_X_4_9_10,h_X_5_6_7,h_X_5_6_8,h_X_5_6_9,h_X_5_6_10,h_X_5_7_8,h_X_5_7_9,h_X_5_7_10,h_X_5_8_9,h_X_5_8_10,h_X_5_9_10,h_X_6_7_8,h_X_6_7_9,h_X_6_7_10,h_X_6_8_9,h_X_6_8_10,h_X_6_9_10,h_X_7_8_9,h_X_7_8_10,h_X_7_9_10,h_X_8_9_10,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,-5.60446134678132,-10.2101319795286,-1.63726232931205,-9.24602233840062,-1.56468983034884,-5.10371211815795,-3.54663836729436,-1.28960023958114,-3.22652992151934,-10.1692979657582,-5.15983464366824,0.224305956102685,0.355102652660175,0.300467303210737,0.182268620975291,0.702371023258792,0.549715871690157,0.537883197452015,0.226936501659134,0.353866254168304,195.978280559522,19.9411197940699,0.0668638437812453,0.0800910345625845,0.0735808784977523,0.0795544896038653,0.0863456162438012,0.108104292053519,0.0774152659244117,0.0908125371169764,0.0883421292192367,0.0857230472372933,0.0836833134240686,0.0565866114535827,0.057644499079688,0.0508560095327707,0.0701012161147399,0.0626740073593285,0.0649747304546464,0.0676034810418634,0.128999204942003,0.0732928726443262,0.0881419641885992,0.0755998080819353,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,225.148,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
comb_sigma.01,-2.50943418260393,-4.51340028968142,-0.912882797578035,-7.14983757584179,-0.742673025018391,-2.31573320684975,-2.42865754333536,-0.668027857475035,-1.58844109450551,-5.92350497753109,-2.87525925504203,0.151707805898148,0.0974085088590141,0.150289587951992,0.134425229192129,0.300237108724238,0.284126266864488,0.363149903178752,0.196456092278439,0.292883468434194,106.691461483786,10.8662145455168,0.0355296589116311,0.039390609670307,0.0533703436114929,0.0632788166262873,0.0586707111620571,0.0587257367362557,0.0583794914041077,0.0661590783842744,0.0541031063054646,0.0531370857914297,0.0540744638603307,0.0268359141273669,0.0354113823035791,0.0375398648920976,0.0558076515291652,0.0377146210148678,0.0427274372804847,0.0510884166220541,0.0851913273745784,0.0394726270573944,0.050746695535403,0.0493828600370698,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2288.113,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
comb_independence,-0.863398195860063,-1.92414686320178,-0.134394864537078,-3.86554414379318,0.0104961700784999,-0.568464070496747,-1.03758064540561,-0.0596564563802376,-0.206041309235201,-1.44023022636544,-1.00889606051968,0.0834600642289896,0.0899741534800693,0.162333753276392,0.118015156858309,0.281053068137215,0.161451766906773,0.369989749815117,0.150142662587708,0.0745371527301684,21.6522575443616,2.31432150723823,0.0188651215183449,0.0208916315984903,0.0316501584875521,0.0377781609506976,0.0333137040429377,0.0277794389168543,0.0346937307882655,0.0420292108695265,0.0252084473936229,0.0187284797671164,0.0290938084333408,0.0134500963413185,0.0171616546336534,0.0232388401425242,0.0267034863842799,0.0223341937463106,0.0222261884774135,0.0266088341158564,0.0252247932814675,0.0179535727030162,0.0134204327820747,0.0226322260121044,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2621.595,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
comb_AIC_each_k,-1.20488532499355,-2.31905200920845,-0.208067728471243,-5.24770171445496,-0.00915422796825932,-1.14457469917234,-1.10800336631715,0.0482905621915092,-0.402972464697429,-2.96619911137997,-1.45623200844718,0.0904072501350449,0.13099390179987,0.140909077508255,0.120311576280206,0.267258861365234,0.183772066858188,0.293743528834857,0.124900686449517,0.0976565280524663,32.490028292425,3.39399817697086,0.0223223515416254,0.0237130401024687,0.0337056665761749,0.0485098221216883,0.033975275554902,0.0379830708136152,0.0358928131049293,0.0377477024816224,0.0293246651671111,0.0304401113498503,0.0333614518813988,0.015427759741619,0.0173706189352225,0.0255298175671577,0.0314241256387128,0.0227058288584224,0.0271387727993432,0.0293792140678767,0.0246456633049323,0.0213551183883286,0.0147044994354249,0.0245783232671868,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,2.77998617245686,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.66640195469091,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,1.10000765368613,50113.377,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,0.0356289925293698,0.0303615018379824,0.156465280562759,0.026424058398979,0.24001780014802,0.0885668189628028,0.148748349665814,0.16429823377338,0.100605112946111,7.93536079719962,0.892647694602484,0.0101240419574613,0.00714452200106499,0.0279004775823521,0.00776442671862099,0.033667079434731,0.0177112370244199,0.0170269239975821,0.0396630536401366,0.0209018109086235,0.00767488229789333,0.0189578455562886,0.00702872695474099,0.00558462934555898,0.0093365472851385,0.00636216703407826,0.0086944789125091,0.00762237141670765,0.00805030858247836,0.00834556821868992,0.00769027447013793,0.0061410466010654,0.0133175513006665,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,262.663000000001,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
Gaussian,-1.63272362987916,-2.43174696841868,-0.285659907398536,-7.58501459629618,-0.0785361310866757,-0.968325506511473,-1.78251542591751,-0.0941716134218203,-0.383938544593967,-3.77054503946069,-1.90131773629847,0.118735372910647,0.0996360109998655,0.156443281652026,0.150603279477138,0.268710940081965,0.193337590240543,0.374494980803822,0.156633231969216,0.0897716396428291,64.4063451280069,6.60147114557849,0.0266538044912964,0.0245181917179554,0.0358705254249017,0.0666577167112333,0.0363111615985225,0.034861479587036,0.0473776786791972,0.0433981873946645,0.0289268217682587,0.0366133716746596,0.0381188939047725,0.0179700698147428,0.0213383052941034,0.0259146556014034,0.0434042237134021,0.0245353736830235,0.0261012727361163,0.0355675750665741,0.0289920247985392,0.0219114299582304,0.0240976864192023,0.0301078329383691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.370999999999,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
copula,-1.52147044389221,-2.65396680786433,-0.3273632141943,-7.25928601147832,-0.115767733472858,-0.982657039019405,-1.67812160941158,-0.0889583584335582,-0.277058601661732,-3.55444994333651,-1.84590997627648,0.123876463210997,0.0943463717356555,0.160075428322658,0.146420125790443,0.248463694843875,0.18101464442835,0.348683661787684,0.139980084646213,0.0877615747486045,50.6968865245002,5.22275085740147,0.0255274725684633,0.0261058462499479,0.0370340676012668,0.0641286209842549,0.0375646409135405,0.0351153087562072,0.0456001730997332,0.0431914137824253,0.0266928374111647,0.0349548672467546,0.0375915248613758,0.0186577993578357,0.0192794252653546,0.0260170297221419,0.0441830588308566,0.0246392119073981,0.0265914905019811,0.0335234615102624,0.0309425133436073,0.0199150715762861,0.0251702435474516,0.029857952061393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053.975,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,iIjD0,2019-02-13T13:37:42.257954Z
empirical_sigma.01,0.791652416345468,0.824806319554221,0.791105449627194,0.782482921724171,0.797858659075751,0.734474703635913,0.802583756081331,0.798733504505563,0.83830209613428,0.822089686670731,0.798408951335462,0.246244489354874,0.34734627925296,0.28143715663014,0.431592534661006,0.673894569954062,0.693842432330191,0.234802883630011,0.232137769931325,0.29527565632161,0.417918144746147,0.385449191681233,0.101674788677426,0.102945561098306,0.115628352172818,0.109482863923255,0.117350333905679,0.134626350784647,0.0956722665816383,0.105319542359575,0.0895965738799182,0.119450848437016,0.109174748182028,0.0917415496016786,0.0839541051735099,0.0800339799937148,0.100076365038824,0.087457345062532,0.0808090111957136,0.0873452319107066,0.0999162784094016,0.0777498901779277,0.124119604679858,0.0926820937283181,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,232.988,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0.3,1,0.1,2000,100,1,1000,1235,pLJJL,2019-02-13T13:47:12.762668Z
comb_sigma.01,0.892731058714107,0.912612451376793,0.860576959779051,0.844304340836187,0.867777144019437,0.844510954679208,0.856890033258047,0.851625565855692,0.906664176717297,0.899771286243734,0.873746397147955,0.149670473843478,0.192059421868372,0.250816550957831,0.366699434052841,0.415925882632021,0.340427520652987,0.223903314670172,0.184157301967826,0.325572198853554,0.193562370905528,0.264279447040461,0.0523478446238135,0.0513497987092389,0.0771741357871799,0.0783662910553508,0.0767601334211799,0.0788358888782616,0.0693542467268611,0.0776419714744392,0.0517172442342623,0.0672946085693122,0.0680842163479899,0.0415213644400116,0.0455811777759705,0.0414220408843752,0.0651022626733321,0.055755983256491,0.0477884108194268,0.0568444834017356,0.0818590806576024,0.041464989543884,0.0668445953228742,0.0567942796758133,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2901.622,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0.3,1,0.1,2000,100,1,1000,1235,pLJJL,2019-02-13T13:47:12.762668Z
comb_independence,0.3261628714852,0.329804486208885,0.300208758698914,0.282942565899041,0.309379606737539,0.300948373166809,0.337017488308219,0.32049150283272,0.323438402868358,0.339218770397637,0.316961282660332,0.680934037516835,0.678959814251035,0.592084247640233,0.727495011053715,1.02009191312323,0.775938045573779,0.531653731291333,0.587152826578588,1.42536075801319,0.754460035370341,0.777413042041228,0.328836295785164,0.393813595543172,0.387351934036615,0.36091649494888,0.400930029358972,0.354432405572306,0.32129594980883,0.355575943106132,0.374881799160858,0.443655440936552,0.372168988825748,0.254822701123934,0.272384265010224,0.258027158097056,0.239926842461049,0.273394933510544,0.266289023734057,0.260095982016437,0.30295022534874,0.256278132944375,0.320098022422801,0.27234137898646,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2282.915,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0.3,1,0.1,2000,100,1,1000,1235,pLJJL,2019-02-13T13:47:12.762668Z
