rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_X4,skillscoremean_X5,skillscoremean_X6,skillscoremean_X7,skillscoremean_X8,skillscoremean_X9,skillscoremean_X10,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_X4,absrelmean_X5,absrelmean_X6,absrelmean_X7,absrelmean_X8,absrelmean_X9,absrelmean_X10,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_X4,absmean_X5,absmean_X6,absmean_X7,absmean_X8,absmean_X9,absmean_X10,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_X4,abssd_X5,abssd_X6,abssd_X7,abssd_X8,abssd_X9,abssd_X10,abssd_total,h_X_1,h_X_2,h_X_3,h_X_4,h_X_5,h_X_6,h_X_7,h_X_8,h_X_9,h_X_10,h_X_1_2,h_X_1_3,h_X_1_4,h_X_1_5,h_X_1_6,h_X_1_7,h_X_1_8,h_X_1_9,h_X_1_10,h_X_2_3,h_X_2_4,h_X_2_5,h_X_2_6,h_X_2_7,h_X_2_8,h_X_2_9,h_X_2_10,h_X_3_4,h_X_3_5,h_X_3_6,h_X_3_7,h_X_3_8,h_X_3_9,h_X_3_10,h_X_4_5,h_X_4_6,h_X_4_7,h_X_4_8,h_X_4_9,h_X_4_10,h_X_5_6,h_X_5_7,h_X_5_8,h_X_5_9,h_X_5_10,h_X_6_7,h_X_6_8,h_X_6_9,h_X_6_10,h_X_7_8,h_X_7_9,h_X_7_10,h_X_8_9,h_X_8_10,h_X_9_10,h_X_1_2_3,h_X_1_2_4,h_X_1_2_5,h_X_1_2_6,h_X_1_2_7,h_X_1_2_8,h_X_1_2_9,h_X_1_2_10,h_X_1_3_4,h_X_1_3_5,h_X_1_3_6,h_X_1_3_7,h_X_1_3_8,h_X_1_3_9,h_X_1_3_10,h_X_1_4_5,h_X_1_4_6,h_X_1_4_7,h_X_1_4_8,h_X_1_4_9,h_X_1_4_10,h_X_1_5_6,h_X_1_5_7,h_X_1_5_8,h_X_1_5_9,h_X_1_5_10,h_X_1_6_7,h_X_1_6_8,h_X_1_6_9,h_X_1_6_10,h_X_1_7_8,h_X_1_7_9,h_X_1_7_10,h_X_1_8_9,h_X_1_8_10,h_X_1_9_10,h_X_2_3_4,h_X_2_3_5,h_X_2_3_6,h_X_2_3_7,h_X_2_3_8,h_X_2_3_9,h_X_2_3_10,h_X_2_4_5,h_X_2_4_6,h_X_2_4_7,h_X_2_4_8,h_X_2_4_9,h_X_2_4_10,h_X_2_5_6,h_X_2_5_7,h_X_2_5_8,h_X_2_5_9,h_X_2_5_10,h_X_2_6_7,h_X_2_6_8,h_X_2_6_9,h_X_2_6_10,h_X_2_7_8,h_X_2_7_9,h_X_2_7_10,h_X_2_8_9,h_X_2_8_10,h_X_2_9_10,h_X_3_4_5,h_X_3_4_6,h_X_3_4_7,h_X_3_4_8,h_X_3_4_9,h_X_3_4_10,h_X_3_5_6,h_X_3_5_7,h_X_3_5_8,h_X_3_5_9,h_X_3_5_10,h_X_3_6_7,h_X_3_6_8,h_X_3_6_9,h_X_3_6_10,h_X_3_7_8,h_X_3_7_9,h_X_3_7_10,h_X_3_8_9,h_X_3_8_10,h_X_3_9_10,h_X_4_5_6,h_X_4_5_7,h_X_4_5_8,h_X_4_5_9,h_X_4_5_10,h_X_4_6_7,h_X_4_6_8,h_X_4_6_9,h_X_4_6_10,h_X_4_7_8,h_X_4_7_9,h_X_4_7_10,h_X_4_8_9,h_X_4_8_10,h_X_4_9_10,h_X_5_6_7,h_X_5_6_8,h_X_5_6_9,h_X_5_6_10,h_X_5_7_8,h_X_5_7_9,h_X_5_7_10,h_X_5_8_9,h_X_5_8_10,h_X_5_9_10,h_X_6_7_8,h_X_6_7_9,h_X_6_7_10,h_X_6_8_9,h_X_6_8_10,h_X_6_9_10,h_X_7_8_9,h_X_7_8_10,h_X_7_9_10,h_X_8_9_10,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.812529314280497,0.716618321042513,0.7363735178038,0.744752056219557,0.726241095572859,0.725774470356726,0.713818858948725,0.713085021833764,0.70664811332637,0.681032774136746,0.727687354352156,0.409440649022007,0.690658725778557,1.73801611224469,0.61007990872126,0.49118995200973,0.67247115779134,0.69471515931276,0.294863213340654,1.9965496621164,0.648095909314749,0.824608044965215,0.297835892322016,0.541803118231915,0.25948007440014,0.306155262902938,0.536374126685466,0.287262575327469,0.316990832373621,0.348830774103061,0.243091581774441,0.265331972433434,0.34031562105545,0.309442759047662,0.521483503157879,0.376639726304976,0.264848141059733,0.647783398018213,0.414427949502232,0.292906474044846,0.403404186316208,0.344800451523709,0.397390102396284,0.422881015478078,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,172.015,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
comb_sigma.01,0.875844147192826,0.803324161278534,0.755605404276539,0.870211140689674,0.798461384677669,0.732374068854666,0.731448546353992,0.809108124744485,0.756275890471375,0.767333235300997,0.789998610384076,0.230763497685869,0.488668778484638,1.1904253644162,0.263549983794278,0.286930132620632,0.855042640950575,0.639175327083739,0.206093435663667,2.00258286265193,0.567468033564876,0.673070005691641,0.197247207294866,0.376028482476997,0.240550673638772,0.15567428969459,0.394873361336393,0.280349223156679,0.297463167956066,0.232086038313361,0.201966586864998,0.193543181216236,0.256978221194896,0.258630765171591,0.27706057892931,0.252323294415913,0.170803732160411,0.431648242584997,0.335806145063941,0.318496563681615,0.298589194668801,0.243617348369544,0.270664768914772,0.30137144785547,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1325.677,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
comb_Gauss_sigma.01,0.878456172513102,0.847634568747842,0.808268428684614,0.900224692754362,0.840429668137357,0.762445291745695,0.757288546490973,0.815871698819863,0.795671717066602,0.78330756909038,0.818959835405079,0.170547033514455,0.601226970645946,1.04741101693389,0.218587432240104,0.246987172154431,0.97621536854853,0.566808787251754,0.156056339746744,1.70756306574406,0.482870825504487,0.61742740122844,0.193097465755028,0.291310525320002,0.188715951354029,0.119674756115901,0.312645163366784,0.248848374413089,0.268841284900227,0.223862895710291,0.16932049104152,0.180254977448041,0.219657188542491,0.196799615446927,0.302980964006339,0.230678781669463,0.159419468120584,0.336525264867688,0.308013724379554,0.281016112074277,0.287201440216969,0.180524764554481,0.257615527372147,0.265410852233009,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,208.878,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,0.950938658656861,3.80259848832652,2.3534855131212,1.02172907757466,1.73120566286621,5.54898481142689,1.02025745749447,1.40628886890041,7.15769109100651,1.10188740674283,2.60950670361165,1.58870647524938,1.91192006563415,0.984271656771663,1.19944262182297,1.95929380930226,1.04754132739265,1.10765800712503,1.21579840945408,0.828668888176929,0.831847133244922,1.2675148394174,1.51366036831928,2.29556246637938,1.05308281487016,0.954126830443452,1.85605657951151,1.0541695213581,1.07341424944788,1.08476274251783,0.723722828075457,0.85881232644521,1.38236358067259,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,170.307,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
Gaussian,0.817424255249402,0.792080477616832,0.669539355882752,0.822469475025431,0.803581056899139,0.453100520963033,0.710394792105237,0.658829650450236,0.425727259654563,0.383466335902282,0.653661317974891,0.315775545562083,0.686713462885305,1.52659486424794,0.45070186872165,0.33470660998589,2.30752673800842,1.15615343095454,0.306433968039316,2.78031605421781,1.50220311652613,1.13671256591491,0.290059267908753,0.397525506881448,0.325263045683115,0.212937678329106,0.38484241924721,0.572899806220736,0.320783527429742,0.414794368335495,0.475881953252371,0.512861761028674,0.390784933431665,0.45544062635706,0.304442363607104,0.515534781891869,0.218647934488691,0.307527971472972,0.588004023100391,0.332077355269941,0.446607971007016,0.290672364019544,0.573674579787001,0.432246963099492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.522,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
copula,0.716620983111197,0.648718297691177,0.43636874302581,0.65308384281652,0.693888083194699,0.312196076414481,0.525399292520089,0.567787229447482,0.294014329883104,0.311630037762571,0.515970691586713,0.584224585968093,0.834281650972084,3.34429015462926,0.914357605490207,0.486777576007953,2.90996164834025,1.591269885136,0.536117003190049,2.86811085161252,1.63561135831574,1.57050023196622,0.450206079081044,0.671622535334362,0.554766271110281,0.416106025124904,0.599763183550276,0.720503035098651,0.525695273827326,0.525483598983491,0.585028360324612,0.57261857969912,0.562179294213407,0.522536693691902,0.503131335879029,0.677700390591833,0.327371552295276,0.47248006667877,0.718714090966669,0.528439849618107,0.510110991814356,0.391393678890109,0.664709228564779,0.549177111471858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722.252,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
treeSHAP,0.0535812200323106,-0.0663989576452737,-0.00354606088013873,-0.00500941293317262,-0.0729230991237007,0.0190305437362864,-0.00129502935489241,0.355906811979962,-0.00202944072778482,0.00683738948719333,0.028415396457079,0.882882830787983,4.13065840549622,2.45645020057305,1.03297917267083,1.76082442066738,5.29893081008806,0.998572265548887,0.726891522895669,7.16241661433782,1.10215555329964,2.55527617963655,1.50358164403228,2.03886956509334,0.98776194398917,1.20545112520533,2.10217158597046,1.02760604634614,1.10909245675943,0.783087473534968,0.830350622568443,0.826159470401121,1.24141319339007,1.44723105161487,2.44466022990269,1.06135359106587,1.0055904696969,1.98345333039187,1.00753492705531,1.08534424588593,0.72993504910233,0.736397684457439,0.854498000146316,1.41794073823335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0169999999998254,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,wRVP8,2019-02-20T14:06:36.810541Z
empirical_sigma.01,0.789872777964743,0.714255474617634,0.778329849445685,0.764432131993773,0.764010951428098,0.757406964877936,0.786411882023638,0.70411715073362,0.745810916446708,0.688632544671092,0.749328064420293,1.0017120867756,0.392004712513083,0.474457987903096,1.10143273359695,0.332663230401811,0.713509224555529,0.541081870466342,0.750456539443667,0.474259649849787,0.805428794177182,0.658700682968305,0.289201973273203,0.48848157789497,0.191970823715491,0.292934763319896,0.475005072945825,0.199742455628213,0.209593698477101,0.285501902896728,0.185131200552659,0.264792398802875,0.288235586750696,0.457285652382428,0.435291901591233,0.237226730999731,0.232654343261692,0.813494257129279,0.230576794569359,0.24488592613095,0.432203551673659,0.204375337535149,0.485217407118741,0.429155405769438,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,171.268,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,sUodp,2019-02-20T14:06:33.137091Z
comb_sigma.01,0.865708411550167,0.783161958874459,0.715045014523287,0.85615309325045,0.813415872762599,0.763233577055029,0.786172828201728,0.748266881004416,0.761796862166769,0.758785750541147,0.785174024993005,0.298515809506638,0.294187883833632,1.3061537920389,0.432704886348961,0.239218695728574,1.09336412698673,0.541959734448485,0.76079873455605,0.495879995823445,0.495784507337176,0.595856816660859,0.184827991335497,0.370685626732204,0.246776767855339,0.178877365319894,0.375561525016831,0.194945030905528,0.209828281632493,0.242901150484271,0.173488303533818,0.205132870011013,0.238302491282689,0.230968832506522,0.436800550505559,0.29969708701029,0.186719436643938,0.358259902834422,0.192624728546704,0.236285386942033,0.276007381530746,0.173443487873704,0.340990818202287,0.292611887896841,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1336.801,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,sUodp,2019-02-20T14:06:33.137091Z
comb_Gauss_sigma.01,0.890907655432133,0.838660403559315,0.795289379082425,0.894921800567137,0.87169415118165,0.783070504382182,0.825988884596065,0.784236529302881,0.785393784697526,0.784972118177501,0.825513521097881,0.269596876543719,0.210279710055954,0.881301680707673,0.244755114420711,0.237524757942343,1.02526546845596,0.461684262819126,0.637401910110974,0.40584933913496,0.402661870011753,0.477632099020317,0.150145806966094,0.27581078076937,0.177283528804331,0.130667470659168,0.258257446462677,0.178612012216635,0.170756845461191,0.208193484726691,0.156302173679617,0.182863519172661,0.188889306891844,0.161548868084571,0.295527017270537,0.207640919731096,0.139640079221483,0.190051997420509,0.184073390026409,0.175814139008605,0.212737613645271,0.147847290119565,0.35202350323619,0.219795274758344,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,208.249,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,sUodp,2019-02-20T14:06:33.137091Z
