rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.695240907623009,-0.579762842652346,0.668133906532251,0.261203990500971,0.288285662826259,0.56364639420245,0.169644499155162,0.340525518727957,0.0680235770844449,0.0905725717258802,0.0742837587232195,0.0776266358445149,0.0610540664339314,0.0927985714499951,0.0688565224205375,0.0758024660655917,0.1,0.1,0.1,0.1,0.1,0.1,2.03,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1238,T7BN0,2019-01-17T14:32:47.117550Z
empirical_AIC_each_k,0.772923942533272,0.303394437300583,0.795638287156662,0.623985555663506,0.106935107748772,0.279456086530696,0.0876614178900501,0.158017537389839,0.0506843801726914,0.0399384993676072,0.0457436190919386,0.0454554995440791,0.0513132938721673,0.0329708793326186,0.0410785702033949,0.0425420021407243,0.375166108458891,0.375166108458891,0.375166108458891,0.271443167190766,0.271443167190766,0.271443167190766,1445.087,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1238,T7BN0,2019-01-17T14:32:47.117550Z
empirical_AIC_full,0.788410200051203,0.319357039704936,0.806514218775732,0.638093819510624,0.133412813101241,0.197220976008995,0.0825803208225403,0.137738036644259,0.0472277790133815,0.0390233151942837,0.0433091881687935,0.0431867607921529,0.0491679739768629,0.0304676924628238,0.0400957452840478,0.0406369991693994,0.297702053122282,0.706467533465349,0.328843562883993,0.254076825101144,0.506176072398008,0.262139898367742,2277.704,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1238,T7BN0,2019-01-17T14:32:47.117550Z
empirical_independence,0,0,0,0,1.07590155409283,0.228105384405331,0.356809512060393,0.553605483519517,0.223204422069543,0.0573330181470867,0.223836541862444,0.168124660693025,0.162952845722799,0.0506721987047067,0.162727211832597,0.156741286663223,Inf,Inf,Inf,Inf,Inf,Inf,2.86599999999999,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1238,T7BN0,2019-01-17T14:32:47.117550Z
Gaussian,0.856142734302343,0.357618393374185,0.878696491575203,0.69748587308391,0.179432368084542,0.196118238736265,0.0499160944486413,0.141822233756483,0.0321095778505502,0.0368296763100326,0.0271521578415885,0.0320304706673904,0.0248220399635288,0.0282334210583211,0.0212764574109442,0.0251691566012509,,,,,,,2.55099999999993,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1238,T7BN0,2019-01-17T14:32:47.117550Z
copula,0.859164842105684,0.395459491685968,0.888366553623028,0.714330295804894,0.281300129734758,0.191884963026841,0.0376772068665388,0.170287433209379,0.0314350300248736,0.0346601319338174,0.0249876445932079,0.0303609355172996,0.0259815623779528,0.0281477035870343,0.019331723905389,0.0250160408115151,,,,,,,7.13700000000017,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1238,T7BN0,2019-01-17T14:32:47.117550Z
empirical_sigma.01,0.612836016268841,-0.0658703738910052,0.673397154064286,0.406787598814041,0.346168610171013,0.238592536248885,0.175041375670262,0.253267507363387,0.0724453845653948,0.068847732302715,0.0629329764168833,0.068075364428331,0.0767139963121937,0.0640938070452261,0.0656039344999332,0.0689144155392677,0.1,0.1,0.1,0.1,0.1,0.1,1.967,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,T7BN0,2019-01-17T14:32:47.117561Z
empirical_AIC_each_k,0.757605806915229,0.616970971876509,0.793700546206756,0.722759108332832,0.258186520378672,0.0750878373836328,0.174789850608863,0.169354736123723,0.0453563380694999,0.0247409822417222,0.0397517621844043,0.0366163608318755,0.0397904182462115,0.0222794970034581,0.0330496793726984,0.0335595008514083,0.391644789579142,0.391644789579142,0.391644789579142,0.260556101621089,0.260556101621089,0.260556101621089,1544.646,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,T7BN0,2019-01-17T14:32:47.117561Z
empirical_AIC_full,0.773253501579377,0.556675546309105,0.797099810610677,0.70900961949972,0.222589410034893,0.0702180282730371,0.184678442263215,0.159161960190382,0.0424283713547725,0.0286356428123025,0.0390967592374649,0.0367202578015133,0.0424836573831274,0.0264266840502649,0.0320694335006755,0.0346986735799108,0.35959939232378,0.794341615213064,0.350873499360853,0.23144936395139,0.675806400954163,0.250782590411258,2243.497,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,T7BN0,2019-01-17T14:32:47.117561Z
empirical_independence,0,0,0,0,0.626998744480353,0.150963853822856,0.548807713676025,0.442256770659745,0.187118088483406,0.0645929692664066,0.192689614313008,0.148133557354273,0.142537196057499,0.0537549212520164,0.146516169656631,0.13526978271834,Inf,Inf,Inf,Inf,Inf,Inf,2.92999999999984,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,T7BN0,2019-01-17T14:32:47.117561Z
