rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed
empirical_sigma.01,0.0770695483410847,0.075944882450437,0.0809136784466557,0.0779760364127258,0.0778933407459952,0.0850911487603622,0.0785703201834683,0.0805848644607267,0.1,0.1,0.1,0.1,0.1,0.1,18.241,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_AIC_each_k,0.0361166179208481,0.0397800368400367,0.0452582822903426,0.0403849790170758,0.029690039573951,0.0309054626509794,0.0403238128072873,0.0341696493307247,0.380711359020887,0.380711359020887,0.380711359020887,0.316882737210145,0.316882737210145,0.316882737210145,15548.618,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_AIC_full,0.0368444021905921,0.040944289877936,0.0451681126558857,0.0409856015748046,0.0312982451331727,0.031437051080958,0.0389168926105688,0.0342282859644157,0.304371490028908,0.341124941252817,0.529588860845672,0.289933210153608,0.390060920255094,0.317941188514474,17236.851,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_independence,0.0955533691954769,0.0939174918596294,0.095988476739021,0.0951531125980424,0.0722864955206223,0.0680220373747848,0.0692442493934452,0.0698563256016267,Inf,Inf,Inf,Inf,Inf,Inf,18.4150000000009,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
Gaussian,0.0347589738717935,0.0258934215307259,0.0452227029712645,0.035291699457928,0.0243754046618373,0.0194406747638721,0.0275785729091926,0.025290453112369,,,,,,,16.3059999999969,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
copula,0.0334372255566347,0.0273292919682422,0.0449042542680425,0.0352235905976398,0.0229857189369777,0.0194398249130712,0.0268034178570445,0.0243780583926318,,,,,,,47.8570000000036,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0740361439854918,0.0707786018446746,0.0749191622048762,0.0732446360116809,0.0717506511714816,0.0789911022218705,0.072688539918521,0.0745425405902554,0.1,0.1,0.1,0.1,0.1,0.1,19.2180000000008,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_AIC_each_k,0.04028826569036,0.0458284674004638,0.0495892776326056,0.0452353369078098,0.0336260470367376,0.0381944256716551,0.0460987971074301,0.0398132175360037,0.354746479418537,0.354746479418537,0.354746479418537,0.2678355694197,0.2678355694197,0.2678355694197,13387.256,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_AIC_full,0.0411121454577238,0.0466727506105574,0.0500192850486107,0.045934727038964,0.0341992943275499,0.0379439867741936,0.0464066429402797,0.0400009880065938,0.297101326600259,0.369766258556047,0.408778207176029,0.26228361699901,0.289256799213983,0.263113704373349,13336.696,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_independence,0.170821298969873,0.169314341654527,0.168048737554278,0.169394792726226,0.129727780780096,0.123574837541947,0.122707852145206,0.125339087341711,Inf,Inf,Inf,Inf,Inf,Inf,18.5590000000011,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
Gaussian,0.0351530489488676,0.0259145291405626,0.0468585773566877,0.0359753851487059,0.0242199072967128,0.0195314538454875,0.0279172721270355,0.0256040669128522,,,,,,,16.5869999999995,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
copula,0.0342783671991854,0.0276274557166536,0.0471564588422893,0.0363540939193761,0.0232047596865442,0.0195151424847775,0.0273818651019149,0.0249344126003519,,,,,,,45.885000000002,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
