rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.0761541299510861,0.057852888583459,0.0641682884116243,0.0660584356487231,0.0754487175887161,0.060328401663177,0.0625249123089656,0.0661006771869529,0.0674317432720701,0.0565068130720418,0.0483466075651521,0.0581491881364993,0.1,0.1,0.1,0.1,0.1,0.1,13.598,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
empirical_AIC_each_k,0.0256778625608456,0.0128928524924792,0.0236932669813268,0.0207546606782172,0.0256592695242535,0.0133138255897346,0.0235288576558899,0.020833984256626,0.0132822770896198,0.00966095583143081,0.0128420717295007,0.0131548984722762,12.8161491625238,12.8161491625238,12.8161491625238,7.01865899323078,7.01865899323078,7.01865899323078,3750.255,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
empirical_AIC_full,0.0262899174855089,0.0131822769214073,0.0237693924060526,0.0210805289376563,0.0263069451552841,0.0141626778220407,0.0236091860405371,0.021359603005954,0.0133762470015261,0.0105271758266736,0.0128394245469499,0.0133311668083187,2.9706397123565,10.3705037969027,18.9258245263342,1.15648264338584,26.5792276261167,11.2600782290935,4617.256,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
empirical_independence,0.0273879369100005,0.016146703436191,0.019124647881715,0.0208864294093022,0.0271444042032179,0.0164987470403589,0.0189065351806323,0.0208498954747364,0.0173252200115317,0.0134313307282953,0.0141829947420636,0.0157024379075981,Inf,Inf,Inf,Inf,Inf,Inf,7.64999999999964,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
Gaussian,0.0230024933815615,0.0226779954955486,0.0185948710709845,0.0214251199826982,0.0229234772927616,0.023217122147748,0.0183763561781053,0.0215056518728716,0.0173272938773233,0.0183796271666576,0.0147604240220697,0.0169801045976904,,,,,,,6.41100000000006,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
copula,0.0342612894855643,0.0253494425679102,0.0239322857471421,0.0278476726002055,0.0340050762423639,0.0260051374499317,0.0237186049447608,0.0279096062123521,0.0211168392361416,0.0192045472428068,0.0173361930747016,0.0197176777634324,,,,,,,13.0419999999995,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
treeSHAP,0.0259281612786208,0.0137911369710505,0.0146017902430441,0.0181070294975718,0.0258559106975621,0.0142424689972791,0.014524058160264,0.0182074792850351,0.0117980859150765,0.0118802547738218,0.0109316647966588,0.0127180068143168,,,,,,,0.0130000000008295,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0,1,0.1,2000,100,1,1000,1235,4oK8N,2018-12-23T21:27:52.231261Z
empirical_sigma.01,0.0745261940855165,0.059018212514256,0.0626615404728707,0.0654019823575477,0.0735328700049017,0.0622663076955867,0.0611922294148534,0.0656638023717806,0.0656766133359758,0.0562518744488584,0.0477835767176492,0.0571239679654765,0.1,0.1,0.1,0.1,0.1,0.1,6.98899999999958,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
empirical_AIC_each_k,0.0265946905782599,0.0183409749633412,0.0228277969257113,0.0225878208224375,0.0268514158715331,0.019454792675244,0.022311548518028,0.0228725856882684,0.0197808028940628,0.0169462771560458,0.0134741894160732,0.0171481573830673,0.885684422803468,0.885684422803468,0.885684422803468,0.590128909870952,0.590128909870952,0.590128909870952,2914.475,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
empirical_AIC_full,0.0276440972539684,0.0188604220508,0.022812222319095,0.0231055805412878,0.0278843280477719,0.0203550370441718,0.0224132079288803,0.023550857673608,0.0190313617761949,0.0165296746935771,0.0138846223810806,0.0168627158034997,0.889238734815474,0.871878796004632,0.912174118247409,0.531093584685886,0.463548315854627,15.2263772405233,3739.213,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.04,1,0.1,2000,100,1,1000,1235,wPygR,2018-12-23T23:52:08.811414Z
