rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.284212702667945,0.409261266214341,0.306709591037215,0.333394519973167,0.0750120387803455,0.100196759242307,0.0664113815782538,0.0805400598669687,0.0677445048621614,0.0895386476035056,0.0572576158483127,0.0739308116955444,0.1,0.1,0.1,0.1,0.1,0.1,3.3,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1238,fQ9nx,2019-01-03T10:28:41.189241Z
empirical_AIC_each_k,0.158799607365657,0.325552189801537,0.154727432627801,0.213026409931665,0.052059458446557,0.0703770817899292,0.0544940805302757,0.0589768735889207,0.0429472522414868,0.0578516818872628,0.0432285940153938,0.0490283713392733,0.257724853200152,0.257724853200152,0.257724853200152,0.170055850827007,0.170055850827007,0.170055850827007,3351.444,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1238,fQ9nx,2019-01-03T10:28:41.189241Z
empirical_AIC_full,0.152452131863465,0.316943524868484,0.116233396453324,0.195209684395091,0.0483242929863976,0.0688896369066693,0.0550069004063868,0.0574069434331512,0.0420850883071022,0.0547293848412272,0.0415986249802583,0.0471674018717752,0.223827956842607,0.514879861753622,0.245141155712576,0.15874681360411,0.180319310976766,0.172384448700032,3556.572,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1238,fQ9nx,2019-01-03T10:28:41.189241Z
empirical_independence,1.10916291187397,0.741658195169872,1.19280255659423,1.01454122121269,0.321020757682806,0.158871234271125,0.311914412695429,0.263935468216453,0.222015913360404,0.114876629292267,0.250237257572966,0.216736612154026,Inf,Inf,Inf,Inf,Inf,Inf,5.19600000000082,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1238,fQ9nx,2019-01-03T10:28:41.189241Z
Gaussian,0.308088977318134,0.689379149482271,0.427672033396313,0.475046720065572,0.0928283662188653,0.158293090381205,0.107308164003507,0.119476540201192,0.0706961387347127,0.105391007752889,0.0741083836696331,0.0891172006307062,,,,,,,4.98299999999927,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1238,fQ9nx,2019-01-03T10:28:41.189241Z
copula,0.30643407155195,0.720634789743849,0.463413067318485,0.496827309538095,0.0953544678766233,0.162435979410631,0.112283779466779,0.123358075584678,0.0654432929691026,0.10522462408639,0.0682397011906053,0.0862552611834853,,,,,,,11.4350000000004,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1238,fQ9nx,2019-01-03T10:28:41.189241Z
empirical_sigma.01,0.197413529688443,0.317584580882708,0.283757464656667,0.266251858409273,0.0659536506826847,0.0830714953391431,0.061755848636969,0.0702603315529323,0.068119114031779,0.0695222011822021,0.0445404692067183,0.0622805959321173,0.1,0.1,0.1,0.1,0.1,0.1,3.419,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,oteNk,2019-01-03T10:28:41.090255Z
empirical_AIC_each_k,0.170231548945186,0.217101712030721,0.159751641500594,0.182361634158834,0.0480443888366025,0.0605387713726646,0.0403698129141224,0.0496509910411298,0.0500609668914719,0.0569108633064393,0.0321888850209905,0.0481098435718256,0.204085913223705,0.204085913223705,0.204085913223705,0.168051107561427,0.168051107561427,0.168051107561427,3349.96,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,oteNk,2019-01-03T10:28:41.090255Z
empirical_AIC_full,0.147852536457459,0.212105361063833,0.200275220410022,0.186744372643771,0.0494919188628508,0.0576753948903311,0.0487687584260473,0.0519786907264097,0.0549178004401306,0.0562625017292456,0.0412230560458839,0.0512417923967848,0.149566312758954,0.646855027670279,0.0989597853124098,0.160626823863594,0.182033135956975,0.165570687093738,3703.43,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,oteNk,2019-01-03T10:28:41.090255Z
empirical_independence,1.58147258706977,0.664563535743918,0.929787690818927,1.05860793787754,0.247663564635336,0.182069936688195,0.257207772593879,0.228980424639137,0.185822827652757,0.112529934015716,0.19886891851291,0.17274197636226,Inf,Inf,Inf,Inf,Inf,Inf,5.0679999999993,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,oteNk,2019-01-03T10:28:41.090255Z
Gaussian,0.503463967808961,0.647833347898252,0.234648355170362,0.461981890292525,0.0995474712148605,0.17628483785592,0.106195256128599,0.127342521733127,0.0725575860615564,0.115545943071902,0.075329701521111,0.0961851855317481,,,,,,,4.34600000000046,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,oteNk,2019-01-03T10:28:41.090255Z
copula,0.486458360894368,0.773103503786575,0.313394141052602,0.524318668577848,0.0984532072173529,0.18659189855737,0.119109050281603,0.134718052018776,0.0677999481886314,0.114481964675794,0.0741788382146247,0.0954185894665523,,,,,,,11.5889999999999,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,oteNk,2019-01-03T10:28:41.090255Z
empirical_sigma.01,0.350588654450934,0.309734745974483,0.180464574434324,0.280262658286581,0.0792587298894199,0.101191490368752,0.0790718515690005,0.0865073572757243,0.0895404367903044,0.104866111308623,0.125710629947843,0.10787213906612,0.1,0.1,0.1,0.1,0.1,0.1,3.487,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1239,REkwO,2019-01-03T10:28:41.219393Z
empirical_AIC_each_k,0.344123000614274,0.215288484465716,0.126514754072926,0.228642079717639,0.0564493071200003,0.0639494614963956,0.0545549573560582,0.0583179086574847,0.0681795731924569,0.0521497124599298,0.0866337994393504,0.0702934440776263,0.230847192797278,0.230847192797278,0.230847192797278,0.156297920815927,0.156297920815927,0.156297920815927,3588.203,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1239,REkwO,2019-01-03T10:28:41.219393Z
empirical_AIC_full,0.49692554581655,0.203684503295262,0.125342164530877,0.275317404547563,0.0611530966038562,0.0715526118204938,0.0557099576637354,0.0628052220293618,0.0798251779380867,0.0608150342779183,0.0729182381232205,0.0716814535289839,0.2188758921873,0.671737034091557,0.200697333222623,0.159241199342029,0.166732067061167,0.14256497974342,3678.605,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1239,REkwO,2019-01-03T10:28:41.219393Z
