rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.0592872714384206,0.0876666061412754,0.0932793930205214,0.0800777568667392,0.0500689354957668,0.0689456670043636,0.0602012125042625,0.0597386050014643,0.0447319479985946,0.0518043384102011,0.0452311727800319,0.0478349908637359,0.1,0.1,0.1,0.1,0.1,0.1,13.581,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
empirical_AIC_each_k,0.0469525376417858,0.103734864699449,0.105576321525373,0.085421241288869,0.039064083517322,0.0718689296497706,0.0516078677966872,0.0541802936545933,0.0274935480664293,0.0497960473185205,0.0400949213240485,0.0422712922128988,0.31567785984736,0.31567785984736,0.31567785984736,0.181712069443399,0.181712069443399,0.181712069443399,3630.055,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
empirical_AIC_full,0.050920371903336,0.104991206033755,0.0760461587513085,0.0773192455627998,0.0419701431970173,0.0739863494610905,0.0496239327094368,0.0551934751225149,0.0298519676927375,0.048260322377726,0.0362179444624094,0.0410793637868216,0.431022302650377,0.326620104750834,0.245947356865019,0.181929776045756,0.201733745604604,0.165014645292819,4102.845,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
empirical_independence,0.25071467503049,0.412160786439399,0.422743886175827,0.361873115881905,0.198337756680475,0.254826974591549,0.174894322830977,0.209353018034334,0.114301896542073,0.14625026180651,0.135390319405285,0.136405569760973,Inf,Inf,Inf,Inf,Inf,Inf,14.6199999999999,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
Gaussian,0.166975478404746,0.39462190121062,0.24677743959565,0.269458273070339,0.135119369991186,0.245615551882909,0.132206592659149,0.170980504844415,0.092593774158872,0.140939944309746,0.0823574599593089,0.120239517611325,,,,,,,16.0120000000006,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
copula,0.168421296553732,0.393972734761812,0.216699289838333,0.259697773717959,0.136919794897617,0.246453589577977,0.129244454536545,0.170872613004046,0.0975493797304229,0.138506828812736,0.0825290867243579,0.120968975252314,,,,,,,25.357,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
treeSHAP,0.282423442739731,0.318753132770942,0.408885566613012,0.336687380707895,0.219912647626457,0.199885957621513,0.160625719962492,0.193474775070154,0.108281462520514,0.117958910325929,0.135492407987959,0.123191293370113,,,,,,,0.0739999999996144,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1236,j7ZMy,2019-01-03T10:37:01.125748Z
empirical_sigma.01,0.0847194729324775,0.0776109301509771,0.0768993552851316,0.0797432527895287,0.0643347363323856,0.065140045892079,0.0687153644283364,0.0660633822176003,0.0492801304783417,0.0571849588962124,0.05396599101794,0.0534299871866219,0.1,0.1,0.1,0.1,0.1,0.1,24.686,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1237,Y7HcC,2019-01-03T10:37:01.117142Z
empirical_AIC_each_k,0.0653078336899266,0.0763136325264032,0.0651968851448866,0.0689394504537388,0.0501859431138655,0.0607084986679338,0.0514052344762207,0.0540998920860067,0.0338111997838142,0.0467878420241558,0.0421278432476631,0.0413898905153742,0.299216509561503,0.299216509561503,0.299216509561503,0.180032042170367,0.180032042170367,0.180032042170367,3728.215,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1237,Y7HcC,2019-01-03T10:37:01.117142Z
empirical_AIC_full,0.0668767646146739,0.0784026840853831,0.0613760852088932,0.06888517796965,0.0500127800316407,0.0631655057292131,0.0493178196532662,0.0541653684713733,0.0344984869187877,0.0468881153355654,0.0407610736995692,0.0413863040156108,0.397190343543163,0.359104388005284,0.226788013033213,0.168174414515752,0.18567655105218,0.184587445250765,3978.172,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,1,0.5,0.5,0.1,2000,100,1,1000,1237,Y7HcC,2019-01-03T10:37:01.117142Z
