rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_X4,skillscoremean_X5,skillscoremean_X6,skillscoremean_X7,skillscoremean_X8,skillscoremean_X9,skillscoremean_X10,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_X4,absrelmean_X5,absrelmean_X6,absrelmean_X7,absrelmean_X8,absrelmean_X9,absrelmean_X10,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_X4,absmean_X5,absmean_X6,absmean_X7,absmean_X8,absmean_X9,absmean_X10,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_X4,abssd_X5,abssd_X6,abssd_X7,abssd_X8,abssd_X9,abssd_X10,abssd_total,h_X_1,h_X_2,h_X_3,h_X_4,h_X_5,h_X_6,h_X_7,h_X_8,h_X_9,h_X_10,h_X_1_2,h_X_1_3,h_X_1_4,h_X_1_5,h_X_1_6,h_X_1_7,h_X_1_8,h_X_1_9,h_X_1_10,h_X_2_3,h_X_2_4,h_X_2_5,h_X_2_6,h_X_2_7,h_X_2_8,h_X_2_9,h_X_2_10,h_X_3_4,h_X_3_5,h_X_3_6,h_X_3_7,h_X_3_8,h_X_3_9,h_X_3_10,h_X_4_5,h_X_4_6,h_X_4_7,h_X_4_8,h_X_4_9,h_X_4_10,h_X_5_6,h_X_5_7,h_X_5_8,h_X_5_9,h_X_5_10,h_X_6_7,h_X_6_8,h_X_6_9,h_X_6_10,h_X_7_8,h_X_7_9,h_X_7_10,h_X_8_9,h_X_8_10,h_X_9_10,h_X_1_2_3,h_X_1_2_4,h_X_1_2_5,h_X_1_2_6,h_X_1_2_7,h_X_1_2_8,h_X_1_2_9,h_X_1_2_10,h_X_1_3_4,h_X_1_3_5,h_X_1_3_6,h_X_1_3_7,h_X_1_3_8,h_X_1_3_9,h_X_1_3_10,h_X_1_4_5,h_X_1_4_6,h_X_1_4_7,h_X_1_4_8,h_X_1_4_9,h_X_1_4_10,h_X_1_5_6,h_X_1_5_7,h_X_1_5_8,h_X_1_5_9,h_X_1_5_10,h_X_1_6_7,h_X_1_6_8,h_X_1_6_9,h_X_1_6_10,h_X_1_7_8,h_X_1_7_9,h_X_1_7_10,h_X_1_8_9,h_X_1_8_10,h_X_1_9_10,h_X_2_3_4,h_X_2_3_5,h_X_2_3_6,h_X_2_3_7,h_X_2_3_8,h_X_2_3_9,h_X_2_3_10,h_X_2_4_5,h_X_2_4_6,h_X_2_4_7,h_X_2_4_8,h_X_2_4_9,h_X_2_4_10,h_X_2_5_6,h_X_2_5_7,h_X_2_5_8,h_X_2_5_9,h_X_2_5_10,h_X_2_6_7,h_X_2_6_8,h_X_2_6_9,h_X_2_6_10,h_X_2_7_8,h_X_2_7_9,h_X_2_7_10,h_X_2_8_9,h_X_2_8_10,h_X_2_9_10,h_X_3_4_5,h_X_3_4_6,h_X_3_4_7,h_X_3_4_8,h_X_3_4_9,h_X_3_4_10,h_X_3_5_6,h_X_3_5_7,h_X_3_5_8,h_X_3_5_9,h_X_3_5_10,h_X_3_6_7,h_X_3_6_8,h_X_3_6_9,h_X_3_6_10,h_X_3_7_8,h_X_3_7_9,h_X_3_7_10,h_X_3_8_9,h_X_3_8_10,h_X_3_9_10,h_X_4_5_6,h_X_4_5_7,h_X_4_5_8,h_X_4_5_9,h_X_4_5_10,h_X_4_6_7,h_X_4_6_8,h_X_4_6_9,h_X_4_6_10,h_X_4_7_8,h_X_4_7_9,h_X_4_7_10,h_X_4_8_9,h_X_4_8_10,h_X_4_9_10,h_X_5_6_7,h_X_5_6_8,h_X_5_6_9,h_X_5_6_10,h_X_5_7_8,h_X_5_7_9,h_X_5_7_10,h_X_5_8_9,h_X_5_8_10,h_X_5_9_10,h_X_6_7_8,h_X_6_7_9,h_X_6_7_10,h_X_6_8_9,h_X_6_8_10,h_X_6_9_10,h_X_7_8_9,h_X_7_8_10,h_X_7_9_10,h_X_8_9_10,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,-5.60446134666024,-10.2101319794371,-1.63726232906318,-9.24602233931091,-1.56468982864211,-5.10371211217505,-3.54663836765998,-1.28960024083973,-3.22652992122042,-10.1692979548754,-5.15983464198841,0.224305956521743,0.355102653702513,0.300467302783938,0.182268621000154,0.70237101236747,0.549715875054497,0.53788319903276,0.226936501318372,0.353866253945506,195.980402943309,19.9413320319036,0.0668638437794047,0.080091034560479,0.0735808785065432,0.0795544896047041,0.0863456162673616,0.108104292038808,0.0774152659250416,0.0908125371492812,0.088342129248762,0.0857230472905076,0.0836833134370893,0.0565866114520697,0.0576444990779936,0.0508560095359972,0.0701012161149568,0.0626740073907675,0.0649747304517992,0.0676034810425552,0.128999204994627,0.0732928726716323,0.0881419642472691,0.0755998081027942,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,148.854,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
comb_sigma.01,-2.50943418243329,-4.51340028948441,-0.912882797428214,-7.14983757653421,-0.742673024233879,-2.31573320387947,-2.42865754364813,-0.668027858155328,-1.58844109438276,-5.92350497097456,-2.87525925411542,0.151707806263745,0.097408509049596,0.150289588007694,0.134425229186448,0.300237110687632,0.284126268557007,0.363149905394155,0.196456091665764,0.292883468497209,106.692562060281,10.866324603759,0.0355296589095768,0.0393906096681855,0.0533703436187254,0.0632788166267089,0.0586707111906977,0.0587257367332201,0.0583794914052135,0.0661590783984241,0.0541031063248075,0.0531370858258691,0.0540744638701429,0.0268359141279326,0.0354113823021752,0.0375398648970742,0.0558076515291236,0.0377146210341763,0.0427274372727404,0.0510884166226689,0.085191327403949,0.0394726270675772,0.0507466955631298,0.0493828600475505,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1445.066,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
comb_independence,-0.863398195783991,-1.92414686306864,-0.134394864481932,-3.86554414419979,0.0104961702009964,-0.56846406910258,-1.0375806455766,-0.0596564564790141,-0.206041309192095,-1.44023022427948,-1.00889606019631,0.0834600644427647,0.0899741535692353,0.162333753074726,0.118015157120759,0.281053068986083,0.161451767514675,0.36998975181544,0.150142662796248,0.0745371528305443,21.6524544967049,2.31434120288554,0.0188651215174013,0.0208916315971604,0.0316501584927815,0.0377781609508968,0.033313704070073,0.0277794389156111,0.0346937307886694,0.0420292108652918,0.0252084474029299,0.018728479780981,0.0290938084381796,0.0134500963410563,0.0171616546324416,0.0232388401453918,0.0267034863844053,0.022334193759681,0.0222261884755158,0.026608834116109,0.0252247932868056,0.0179535727099511,0.0134204327903448,0.0226322260147209,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1526.773,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
comb_AIC_each_k,-1.20488532494557,-2.31905200891884,-0.208067728478152,-5.24770171517574,-0.00915422799418302,-1.14457469743579,-1.10800336651847,0.0482905622339922,-0.402972464562409,-2.96619910872311,-1.45623200805183,0.0904072503475128,0.130993901995826,0.140909077330125,0.120311576462416,0.267258861921451,0.183772067632576,0.293743530414853,0.124900686535425,0.0976565284142234,32.4902593297485,3.39402128108029,0.0223223515409344,0.0237130400999698,0.0337056665835752,0.0485098221234864,0.033975275587655,0.0379830708149213,0.0358928131057628,0.0377477024726155,0.0293246651761637,0.0304401113780149,0.0333614518883099,0.0154277597401305,0.0173706189342048,0.0255298175697444,0.0314241256381925,0.0227058288775579,0.0271387727982756,0.0293792140686598,0.0246456633074896,0.0213551183964125,0.0147044994495409,0.0245783232704589,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,2.77998617676912,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.66640195449273,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,1.10000765368649,38619.036,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,0.0356289925899145,0.0303615019550285,0.156465280631662,0.0264240583856378,0.240017800155397,0.0885668198429582,0.148748350137755,0.164298233473205,0.100605112762495,7.93540594765226,0.892652209758631,0.0101240419573682,0.0071445220009355,0.0279004775883183,0.00776442671801304,0.033667079466322,0.0177112370393703,0.0170269239963514,0.0396630536324432,0.0209018109170875,0.00767488231013569,0.0189578455626345,0.00702872695463119,0.0055846293452929,0.00933654728622693,0.00636216703368012,0.008694478914318,0.00762237141574706,0.0080503085823364,0.00834556821971975,0.00769027447365672,0.00614104660878503,0.0133175513031071,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,178.362000000001,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
Gaussian,-1.63272362971772,-2.43174696819319,-0.285659907329034,-7.58501459708546,-0.0785361309301484,-0.968325504728272,-1.78251542617503,-0.0941716135608544,-0.383938544602963,-3.77054503498743,-1.90131773573101,0.118735373246555,0.0996360108905791,0.156443281335515,0.1506032797575,0.268710942142929,0.193337591940451,0.374494982773594,0.156633232006023,0.0897716397708348,64.4071100860393,6.60154764199033,0.0266538044894169,0.0245181917158999,0.0358705254306331,0.0666577167121423,0.0363111616273248,0.0348614795848807,0.0473776786801575,0.0433981873917611,0.0289268217801604,0.0366133716987306,0.0381188939111107,0.0179700698135002,0.0213383052916913,0.0259146556047542,0.043404223713302,0.0245353736970159,0.0261012727329565,0.0355675750670181,0.0289920248030455,0.0219114299658117,0.0240976864362303,0.0301078329411882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.868999999999,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
copula,-1.52147044375819,-2.65396680764604,-0.327363214120523,-7.25928601222957,-0.115767733175572,-0.982657037253301,-1.67812160963843,-0.088958358533731,-0.277058601693459,-3.55444993891298,-1.84590997569618,0.12387646353852,0.0943463716641896,0.160075428107215,0.146420126050862,0.248463696787903,0.181014645247461,0.348683663409382,0.139980084713992,0.0877615743709261,50.697454974154,5.22280770280444,0.0255274725668717,0.0261058462479152,0.0370340676071277,0.0641286209850667,0.0375646409387799,0.0351153087545689,0.0456001731002997,0.0431914137780207,0.0266928374226369,0.0349548672685618,0.0375915248669849,0.0186577993564637,0.0192794252633981,0.0260170297254347,0.044183058830937,0.0246392119271054,0.0265914905012174,0.0335234615107917,0.030942513348722,0.0199150715841993,0.0251702435640691,0.0298579520650544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741.79900000001,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0,1,0.1,2000,100,1,1000,1235,trgfj,2019-01-18T15:26:51.874116Z
empirical_sigma.01,0.8118627360766,0.86299106185721,0.813746283883223,0.810211631423937,0.821331777510052,0.799980112093007,0.803107903089123,0.829297536304535,0.854647075585683,0.819421559589807,0.822659767741318,0.214219216266958,0.578089973207407,0.262226013832418,0.178723887988906,0.270869677620273,0.463342812613247,0.219621189357494,0.292204663030673,0.164531812995398,0.818338344385778,0.346216759129855,0.104111860730346,0.0912594741737294,0.116600499820718,0.108347469648638,0.117473624140985,0.11495153008704,0.108015559995096,0.10119943766961,0.0911939894089978,0.139759396245682,0.109291284192084,0.100915402580962,0.0826074857705454,0.0796213850354516,0.0913450960252024,0.0856944345831112,0.0795105696179254,0.0960146834636187,0.089491642235334,0.0773363335800431,0.143634221581585,0.0949855813824929,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,147.778,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,S94Ch,2019-01-18T15:26:51.881548Z
comb_sigma.01,0.899320562668696,0.921640307014947,0.888386088830542,0.863351475399232,0.879545115850263,0.886079499600309,0.869893328720684,0.868792278593205,0.915546748878245,0.899426250765676,0.88919816563218,0.168171770807608,0.423385719720669,0.140990778381007,0.149776998970715,0.190976719221338,0.26230518001045,0.20474028826194,0.215860383914985,0.119582881378992,0.330509216840917,0.220629993750862,0.0557142340611164,0.0521941449599301,0.0698737082976872,0.0780106915023045,0.0791985927287562,0.0654701688229871,0.0713768870250513,0.0777853309016495,0.052985716795074,0.0778394499322539,0.068044892502681,0.0476640399236494,0.0440035402987946,0.0545014430845837,0.0563117163714416,0.0518919974921151,0.0438577380434163,0.0648095491371016,0.0655571398267708,0.0502498220403805,0.0871091234641793,0.0586013476102785,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1424.858,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,S94Ch,2019-01-18T15:26:51.881548Z
comb_independence,0.300888877715852,0.303964131807565,0.277281653551992,0.269262339738329,0.284678893336079,0.279140344508878,0.307222327726719,0.297240299077019,0.296958363905594,0.317592762634974,0.2934229994003,0.908978211965626,1.44654270436963,0.549812478293092,0.487857383077504,0.664612878092216,0.608844279229973,0.503491170157437,0.900134645203089,0.514705704072396,1.21388975173771,0.779886920619867,0.386875828214011,0.46361841934062,0.452443699821835,0.417167696104555,0.470320696390645,0.414278406231544,0.380059786028737,0.416624839563804,0.441086216699212,0.528151773108547,0.437062736150351,0.299323897921188,0.32026873047996,0.300046396423885,0.277728648100215,0.322059845629221,0.310822454061074,0.305778244407501,0.354307100054744,0.301198883704112,0.378847476972597,0.319577054470306,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1520.572,Linear,Linear,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,S94Ch,2019-01-18T15:26:51.881548Z
