none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
3.63289132713101,-7.57554621479165,5.50465957628888,-0.486767887078824,3,1,2,0,1,0,1,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289150579928,-1.70429199347981,5.10425443786829,0.725221346335867,3,1,2,0,1,0,2,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289135387969,41.7192598604801,-2.98490650369486,-0.8373762005196,1,3,2,0,1,0,3,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289116476185,13.6753992022318,-1.97429781024312,5.6000914448251,1,3,2,0,1,0,4,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289107088299,-1.71511832908038,-1.57074004978738,19.0063221480018,3,2,1,0,1,0,5,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289110611097,-1.67670951779827,-13.0721259891944,-1.16293528540651,2,3,1,0,1,0,6,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289148358341,33.7661030982657,1.08933794455061,-1.46183214693225,1,2,3,0,1,0,7,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289135806699,-1.7796956379441,-18.8731562146285,4.16368985181657,2,3,1,0,1,0,8,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289132109914,-2.49490513765424,-6.16552084032275,-0.407407447127149,2,3,1,0,1,0,9,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289145902285,-6.72790618596367,3.77828106233688,0.381897577169829,3,1,2,0,1,0,10,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289117785701,-2.82585665728911,-2.52168508488144,-1.50588234426579,3,2,1,0,1,0,11,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289144308426,20.1996435756228,-1.78622005808586,-1.02189038246316,1,3,2,0,1,0,12,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289137379654,6.3715957424849,-12.4025940282041,2.00046355926274,1,3,2,0,1,0,13,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289131626016,0.170317040397018,-9.04804898784594,-0.615111114058654,1,3,2,0,1,0,14,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289142370081,-12.3206255259807,-1.35207465568041,-0.769421116577875,3,2,1,0,1,0,15,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289130246359,-1.55247607910303,-1.63299289549827,-17.5677377442374,1,2,3,0,1,0,16,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289125198155,6.50900789034797,-2.56673232083163,3.25808789406391,1,3,2,0,1,0,17,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289138268594,-1.39546574203965,-6.23781550087456,-3.45549761576695,1,3,2,0,1,0,18,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.6328914438814,-2.61362916286542,-3.58124203746573,-5.63998987025563,1,2,3,0,1,0,19,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289140078704,-1.85867585401205,34.2207544340686,4.53231621293763,3,1,2,0,1,0,20,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289124655407,-1.61787031201225,-1.91605408283717,-0.0664864613230677,2,3,1,0,1,0,21,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289150985127,-1.95990997166071,0.705270677317118,-0.574515315279506,3,1,2,0,1,0,22,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289152122708,54.4039363706875,1.37018141015428,-1.09924500822056,1,2,3,0,1,0,23,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289130555357,-0.803195292935333,1.51971078124351,-0.0303320869939729,3,1,2,0,1,0,24,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289131457342,5.54246401917016,-1.36889954428647,2.78306574097565,1,3,2,0,1,0,25,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289135081823,-1.69056318956022,-5.71057739786409,-0.582404534166328,2,3,1,0,1,0,26,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289135787599,-2.20728259418191,-3.20159974639429,-0.357528335600536,2,3,1,0,1,0,27,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289133561654,0.219309488982412,1.47283415207394,-0.882781727787303,2,1,3,0,1,0,28,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289135057239,-9.60861731857399,-5.72661098890288,-0.509791748866622,3,2,1,0,1,0,29,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.632891271776,13.6214746642965,-0.342231682205179,-1.18279074662602,1,2,3,0,1,0,30,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289117378731,-1.57216833228876,-1.38614685333179,-2.67675517213405,2,1,3,0,1,0,31,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289146460304,-81.5484517406214,-2.2245086240123,-0.498716079569856,3,2,1,0,1,0,32,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289127597599,-2.39085905226452,-2.25678413836755,-1.10363216592373,3,2,1,0,1,0,33,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289141329945,-1.30900123530378,-1.61821210048037,-0.960914970388455,2,3,1,0,1,0,34,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289131686297,32.087050782558,1.71227224046635,-1.36987106334801,1,2,3,0,1,0,35,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289125254753,-2.02180055853939,-1.15511543574073,-1.24766427299482,3,1,2,0,1,0,36,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.6328913441339,-9.12071316154217,-2.04244108456566,-0.662436307435144,3,2,1,0,1,0,37,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289115190227,-1.78713647914636,1.75854368423117,-1.00395320314282,3,1,2,0,1,0,38,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289125908476,-2.65711115839192,18.7000314238761,10.349480829642,3,1,2,0,1,0,39,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289133525935,-10.8254258085457,-1.30717339377178,32.9884692524023,3,2,1,0,1,0,40,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289119315761,-2.15071262138876,-0.77046433302645,-0.545951779710268,3,2,1,0,1,0,41,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289127879979,-18.0958213283837,-1.36519679101747,-2.11739920531537,3,1,2,0,1,0,42,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289116593541,77.0366683479262,-3.13733417096561,0.46791250548041,1,3,2,0,1,0,43,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289141846085,-1.58157097010138,-3.0937099700115,-1.11849881688324,2,3,1,0,1,0,44,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289128374941,-0.178123006281941,28.4993493180044,7.5944455222947,3,1,2,0,1,0,45,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289130122581,-4.8466460061505,2.82871042791535,-1.38956924102285,3,1,2,0,1,0,46,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
3.63289118619899,7.40506703448316,1.69969485361788,-0.762744086547243,1,2,3,0,1,0,47,AR-groupA-experiment_gam_diff_corr,A,100,2021-02-12T14:18:14.684483Z
