none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
-1.75531647428101,-1.04921673222245,1.76874872077943,0.300167552132979,3,1,2,0,1,0,1,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649255878,0.475494493745955,1.59530326863119,0.809267786162305,3,1,2,0,1,0,2,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649348045,1.70750149665251,-1.55651015343769,-0.199777182160445,1,3,2,0,1,0,3,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649181971,1.5219540004572,1.2164417198705,0.89580727261237,1,2,3,0,1,0,4,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650399936,-0.191208861476366,1.23064110030443,2.75681730455569,3,2,1,0,1,0,5,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531652175039,-0.444076351852863,-1.40864098504309,-1.0693596752464,1,3,2,0,1,0,6,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651338136,2.27605450176641,-0.385064958285943,-1.06906668933334,1,2,3,0,1,0,7,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650017206,0.957196796422716,-4.88518081997499,0.765845913807898,1,3,2,0,1,0,8,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553164935917,-0.845735831646387,-2.96127612330163,0.0467745816137504,2,3,1,0,1,0,9,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649343033,-2.12402989090783,0.252897769258734,0.606719520836625,3,2,1,0,1,0,10,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651764909,0.251406628320223,0.183200017333376,-0.741265354556774,1,2,3,0,1,0,11,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553165001863,1.96412019828988,0.517419084548295,0.0764363523779573,1,2,3,0,1,0,12,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553165191959,1.57307311410064,-5.1820966288253,1.01218581165789,1,3,2,0,1,0,13,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649001847,0.739345961119629,-3.48702096873055,-0.88024442971941,1,3,2,0,1,0,14,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531647982185,-2.55329378101971,0.88901838717624,0.701350128257581,3,1,2,0,1,0,15,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.755316514177,-1.06252921828358,1.14316551844658,-2.58733916684027,2,1,3,0,1,0,16,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651525331,1.34494600399837,-0.58483999473978,1.41737795658195,2,3,1,0,1,0,17,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649548256,0.032963630612191,-1.65897163502032,-1.84332972349951,1,2,3,0,1,0,18,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531648467303,-1.68145791790791,-0.297243598496847,-1.55391158630111,3,1,2,0,1,0,19,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531645357237,0.549445933032266,0.496334683333075,1.0289337170802,2,3,1,0,1,0,20,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531647976993,-0.00351365801841125,0.376652057008384,0.221848806006581,3,1,2,0,1,0,21,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649283526,-0.3026036648571,0.999965930308306,-1.34403728994885,2,1,3,0,1,0,22,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531647734498,1.90532161537207,1.40896660585303,-0.89738212918578,1,2,3,0,1,0,23,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649223697,0.475204976512531,2.12491608547822,1.80212671949317,3,1,2,0,1,0,24,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553165011981,0.637535540419651,1.69923024398127,1.13078136196938,3,1,2,0,1,0,25,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649636771,0.20956858203893,-2.80437345855827,0.0128135987444979,1,3,2,0,1,0,26,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651313959,0.0234213803112477,-1.32384165194749,-0.666082829561512,1,3,2,0,1,0,27,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531647815026,0.335995487974917,2.33525024620927,0.153639007296407,2,1,3,0,1,0,28,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649286151,-2.063409960155,-1.04767931475007,0.387108206994011,3,2,1,0,1,0,29,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650936951,1.45404114604535,2.47875691772609,-0.443716340044544,2,1,3,0,1,0,30,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651481334,0.234259833847293,0.149970463914822,-1.09333651215267,1,2,3,0,1,0,31,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649293764,-5.37971136648811,0.331730011588971,-2.34436983015154,3,1,2,0,1,0,32,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531648121352,-1.8987545389173,-0.711559063391626,0.122278569831731,3,2,1,0,1,0,33,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649073992,-0.564017979154789,0.37413858528684,0.224675784765481,3,1,2,0,1,0,34,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650163365,2.19083663082231,1.3383841385808,-0.551342569260048,1,2,3,0,1,0,35,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650740051,-0.0442281581672333,3.83818004276973,-1.27052023669198,2,1,3,0,1,0,36,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650352505,-1.61811704632575,1.68355952915059,0.0922847332556123,3,1,2,0,1,0,37,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651659469,-0.640941971795867,-0.34034712521953,1.80909257722431,3,2,1,0,1,0,38,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531648372897,0.0200411101925529,0.781433714147791,2.21765939927122,3,2,1,0,1,0,39,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649117395,-1.70032582640862,1.04086491475577,3.44195190230256,3,2,1,0,1,0,40,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531648052185,-0.939716983974859,1.59157020946544,-0.0849371635334488,3,1,2,0,1,0,41,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553164647949,-1.59599119574679,0.098484225414416,-1.04633108261092,3,1,2,0,1,0,42,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650609854,2.26892967691926,-0.726366183165992,0.803807209791682,1,3,2,0,1,0,43,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650750738,0.466937733484128,-1.86645965193619,-1.89516051860377,1,2,3,0,1,0,44,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531653042332,1.57610790495285,-0.656398349162875,1.6895406227206,2,3,1,0,1,0,45,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650246129,-0.621557122392309,1.34364940771811,-1.43923215383928,2,1,3,0,1,0,46,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649842247,1.33123806839639,-0.826033618597727,0.145825510746157,1,3,2,0,1,0,47,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531651052229,0.495495316630454,1.9737854816688,1.4087387957051,3,1,2,0,1,0,48,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531648675282,-0.762762835058896,1.88635248800035,0.374698156889476,3,1,2,0,1,0,49,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650825631,0.0938857393981158,0.803685012568252,-0.336389580015415,2,1,3,0,1,0,50,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531647688984,-0.699342922788311,0.938853266333025,1.53818028473031,3,2,1,0,1,0,51,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553164798027,1.42243029562421,0.99073019457936,1.60883447006369,2,3,1,0,1,0,52,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650517004,1.01808273949059,0.837510312813653,-1.33628384367203,1,2,3,0,1,0,53,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531648128152,1.08701517927655,-11.1723720506292,1.01275389157543,1,3,2,0,1,0,54,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531650636704,0.894721525653678,-1.15102442974196,1.97383948247388,2,3,1,0,1,0,55,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.75531649700972,-0.416526437480398,2.51826084448424,-0.953870310181052,2,1,3,0,1,0,56,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
-1.7553164927799,-1.04119242341733,1.2890698869696,0.861057971738073,3,1,2,0,1,0,57,AR-experiment_lm_diff_corr,A,100,2021-02-13T16:52:53.942674Z
