none,feat_1_,feat_2_,feat_3_,feat_4_,feat_5_,feat_6_,feat_7_,feat_8_,feat_9_,feat_10_,correlation,pre_grouped,standardized,test_id,model_type,No_test_obs,Time
-1.5249238539829,0.27638035060027,0.951235952031607,0.511852180666013,-0.523958451221824,0.794368041295707,0.779473909935798,-0.955180378279822,-0.312104483832317,0.47620188420882,1.23397963815714,0,0,0,1,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492377169347,-0.199876780075739,0.0776226003335138,1.39324298635841,0.77204985669899,0.158741086510059,-0.325834350473546,0.468376460367418,0.403055250229452,0.509176467540041,0.555836397173632,0,0,0,2,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492481239257,-0.0605992940470848,0.00350829616697879,0.0546401860354,-1.41839678675939,-4.17519731646024,-3.39191501770676,-0.813357207907464,-0.462052165451646,-0.439434160277694,-0.590545252157952,0,0,0,3,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492350920492,-0.419509753944131,-0.397260845845967,0.428002822783315,0.861987547962972,0.263865995695425,0.786045157633027,2.25651161547225,0.569315941615026,0.185520334477859,-0.776794909187539,0,0,0,4,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492358859709,-0.275357605130996,-0.335442918946218,0.938167191548766,0.0728196754182741,1.39086034194669,1.34791802143321,3.03168304705847,3.04595589936684,-0.0408318808941938,0.402124379675692,0,0,0,5,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492443033289,-0.0033789802289983,0.227607776896366,-1.8152223472527,-0.287339550896593,-0.682213244544569,-0.989320384973612,-0.720952908089239,-0.667927360274259,-0.735666649750997,-1.68027035631793,0,0,0,6,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492372631689,0.32230090060404,-0.18411660394656,0.450441153854566,0.865645566517603,0.926214236307951,0.8988103513427,-0.805387299478592,-0.377819037618055,0.342292936882235,0.69562218346662,0,0,0,7,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492390545014,-0.324722075404557,0.466170581649636,0.0725913172479257,0.0300136685850427,0.267514814205317,0.386410194821438,1.60491291605466,0.859569969543563,-0.830860565085762,-2.26611911047793,0,0,0,8,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492397597539,0.172574984083417,0.291600331047132,0.0147080338569465,-1.22510928150265,0.825549487991565,0.924926120971452,-0.0506222412448054,0.477697323965807,-0.516506649746972,-1.75426170704708,0,0,0,9,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492395091644,0.609579987119158,0.284099408414558,-1.78154064166219,-1.60468906088973,-0.38055323637634,0.547365908100566,0.572890165082795,-0.158955586341896,0.472504603140162,0.39186347259232,0,0,0,10,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492443076954,-0.000554061973884246,-0.0391122021318037,1.08175175182908,0.618114247941527,-6.17502145774845,3.56235917619721,-0.554352723773173,-0.762261772828183,-0.327158879712608,0.0375322851731006,0,0,0,11,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492376114174,-0.260648236662166,-0.244441812831959,1.22374658488453,0.895689668802089,1.01934541826421,0.898397258364705,-0.947083802776635,0.0322128297443042,-0.11476827329652,-0.312319685229116,0,0,0,12,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492429346018,-0.12512157201603,-0.312963446840848,1.60992097859511,-0.329424613325856,-1.94965756617341,-1.0668800223409,0.583389570865869,0.906718601380356,-0.756749409508235,-1.35317065466879,0,0,0,13,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492390754657,-0.384747178768787,-0.536272659873553,1.22167722537941,0.962337926785377,0.983239944209996,0.370536415655976,-0.620137669086326,-0.698022405262017,-0.630361600602905,-1.62479947001228,0,0,0,14,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.5249236373091,0.713749747229668,0.819190063100175,0.505987552009387,0.491088404567563,0.935765185955267,0.948360597610631,0.403093661845381,-0.9801726142155,0.132637380939686,0.507052808479932,0,0,0,15,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492395558688,-0.0434884712062401,-0.46896594279741,-2.12380265202697,-0.253878393548582,0.740364633067117,0.979068638075862,0.831210387823994,0.779538726606127,-0.151799237569677,0.0300411006541409,0,0,0,16,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492368983628,-0.489675461121327,-0.482111222329317,1.2484593626119,0.397090131122605,0.997435610399414,0.575469537359667,2.36896816427317,-0.598808426786569,-0.336160258783035,-0.368450599625603,0,0,0,17,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492432285155,-0.106967979265335,-0.00674363671177869,-0.0301980836864769,-0.130517800129656,-1.99102835233072,-0.60263590281949,-0.782243450115866,-0.0142673553143935,-0.630128115187766,-1.23403646021581,0,0,0,18,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492418979724,0.211553325871464,-0.436889531918271,0.70331028006184,0.816905976688799,-0.846033033977214,-3.21103376180684,-0.203514527672238,-0.187255674719616,-0.582455103884461,-0.43072427580488,0,0,0,19,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492356859967,-0.205146005171389,-0.21553706974964,0.625473043897257,-0.489953247670776,0.254636702032603,1.04574998939705,1.77604163665423,0.641998831802688,1.01517317703031,0.795120374870665,0,0,0,20,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.5249237178058,-0.0411419001491718,0.448650783332795,1.00273142837821,0.827886683350092,-0.661108738500889,1.1227818089036,0.665742133045038,-0.201252741912345,-0.07592481347299,-1.02706936877533,0,0,0,21,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492373767574,-0.0743092211744569,-0.0848015476995222,0.563154446642267,0.844730752473782,0.760760140001756,0.0648974433732756,-0.671648456880739,-0.7235246725429,0.439377991051333,-0.249486152626061,0,0,0,22,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.5249238505141,0.344174312210827,0.00381399386028398,0.0691403623714399,-0.0430997630697904,0.974276081786012,0.955558393674779,-0.687986056205005,-0.628257626003141,0.400525989367276,0.0452287544445055,0,0,0,23,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492379552363,-0.302000291219367,-0.40291660817965,1.46491297997533,0.556003706175232,1.23898590663816,0.655350889938331,1.01127034621295,-0.0810315621701224,0.256839044509579,1.38883484749646,0,0,0,24,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492413723435,-0.446002289269328,-0.388948979984438,-2.52371570963361,-2.28581594129046,0.273877004606247,0.676098750405406,0.245982785570109,1.31463707753555,0.109907309195307,0.0447149843701796,0,0,0,25,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492420649407,-0.241924215713591,-0.305348625970171,0.105083774308483,-0.727824048143734,0.717375319965731,-0.288579864781908,-0.155579425682249,-0.954938600440673,-0.605107640509404,-0.821431180108315,0,0,0,26,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492427994826,-0.181176843380993,0.414809882831754,1.01477307121903,0.508116652671291,1.11426903693211,-1.69948640266243,-0.720053199319289,-0.706456055349521,-0.498446885588932,-0.61483007651232,0,0,0,27,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492415568051,-0.405831558748329,-0.548175428215159,-0.0325108970617757,-1.09188898472111,0.404441654692902,0.939394252078818,-0.627194367650291,-0.657232688539542,0.250256296264378,1.20688559653124,0,0,0,28,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492436038655,0.683729953905876,0.517211116681727,-4.6898909562064,-2.74936998916861,0.886485060429585,0.59530265388326,0.479003773334713,-0.811255055658911,-0.640917518401519,-1.07854570766716,0,0,0,29,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492401438834,-0.298854655183269,-0.339775425956243,1.00354271790289,-0.552882246337152,0.434168214117231,0.381054793826012,-0.399665581566283,-0.862029352628011,0.261296785372401,0.102209331203827,0,0,0,30,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492408654144,-0.212212822087959,0.121265066230665,-0.0739598450901416,-0.00406070655532739,0.454690344312976,1.1670562337165,-0.514536565463533,-0.896255056397291,-0.300690328369459,-0.250641089745359,0,0,0,31,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492366276922,2.39877147847969,2.29128453003289,-0.387230112868849,-0.405960848217131,0.00500196393539918,0.867091124694719,-0.748825690296869,-0.56429773314408,-0.0392827029381502,-1.76333890786409,0,0,0,32,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492421843586,0.302873827460168,-0.300174109617305,-2.06203474269267,-2.14437148025774,1.06347390388831,1.04608397125458,-0.0088688001862709,-1.23531597596806,-0.392266731749066,-0.372431841697384,0,0,0,33,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.5249240239121,-0.028673274971732,-0.226840910284025,0.255815175460741,0.720070973763147,-1.52590040105135,0.134147823512527,-0.173337289205761,-0.914768363718515,-0.168496580058948,0.0801104681082188,0,0,0,34,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492375828125,0.34412169822179,-0.212030328215169,0.911472282235563,0.822235945999996,0.717936489860681,0.674906403387085,-0.893340881853256,-0.645614250224907,0.361934543169964,0.692246009204236,0,0,0,35,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492481101593,-0.172883119305876,-0.163651811296252,0.0734125452446413,0.77141885795066,-8.16331497577357,-6.42043594912018,-0.551136625253951,-0.644273146546725,0.326898543189792,-0.894012088687404,0,0,0,36,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492387684055,0.387487701787048,1.03809910096026,0.179404830416046,0.869634019539291,-0.354463453853334,-0.440801236931179,-0.343143800183036,-0.365882390542653,-0.133863036096591,-0.293261617512333,0,0,0,37,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492413222633,-0.0852440234336117,-0.111787802278736,0.913238822577106,0.842322715767234,1.75567857549271,-2.68574263378574,0.0256707143080483,-0.104106547874749,0.2300928850968,1.93180617634145,0,0,0,38,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492354671775,-0.0567004671612398,0.744604485383248,1.09241375206477,0.162155626816298,-1.0245022213632,0.386498630361867,2.22052927275165,1.73025413649785,0.741835162184447,1.40732459419117,0,0,0,39,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492341264354,0.466437439723309,1.14556572333946,1.46402470020013,0.710230727801908,-2.50395378225204,-0.529825055428418,4.76531143791282,4.09949588839819,-0.089412625263356,0.572380944092826,0,0,0,40,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492369808251,0.0725364633050222,-0.0464061716331203,0.495919587928741,0.0912278630689184,0.952345390884235,0.765532822731672,-0.252223569442641,0.167231060877297,0.291275979376334,-0.513433848599478,0,0,0,41,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492440185017,0.560321124877749,1.61651165325423,-2.45462114449594,-1.04653462035263,-0.302638031570965,-2.44345982750249,-0.68851198752047,-0.61645786258236,0.0993390950048709,0.181939091551827,0,0,0,42,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492395454277,0.501861983352569,0.219596656909037,-0.00917975171464905,0.1516903791555,0.383279849795931,-0.46845280708901,0.407936973174545,0.0605692453144653,-0.448774598459779,-0.806940943042276,0,0,0,43,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492423426241,-0.243679503941353,-0.308391901280063,1.33428345945676,-0.386275333291348,-0.587843862779283,-0.0200325636004545,-0.57440701456596,-0.498572026826631,-0.352434068417867,-1.34521403428074,0,0,0,44,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492335803681,-0.139169087356239,-0.0980768311095093,1.05460095501289,0.654858458084008,0.716094174337168,0.488658060884587,2.638209119972,0.476579933098627,0.870287816567471,1.29131625435947,0,0,0,45,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492386900945,0.177904293792624,0.757650401397926,-0.572657244665908,-0.448519746713227,0.969519238060203,0.693122074024978,-0.659098708884472,-0.659039198984845,0.454213849837531,0.129894860181566,0,0,0,46,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.5249238120326,-0.0270632155104147,-0.302919677356285,-0.0230237651062346,0.940541673435929,1.53610694567953,0.582321974015964,-0.767505508618064,0.18292157890398,0.380479310706132,0.235787319592256,0,0,0,47,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492385653026,-0.21790533388201,-0.205617955085189,0.974741204285834,-0.477904014297405,-2.30631883964472,1.75793609385318,4.30850688173698,0.852622789138521,0.113330389765139,-0.765855486458983,0,0,0,48,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492394937248,0.150245874537961,0.362418442783492,0.796482429148025,-1.22310550191947,-0.52482912796286,0.618487728929656,0.599245036678351,-0.212465416554664,0.282453833422647,-0.188877392026852,0,0,0,49,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492389112897,-0.12873310544067,-0.291896640492076,-0.355484403661252,0.261490226782749,0.513668696996483,1.03920301570118,-0.536236179551564,-0.456779798801907,0.107004947137095,-0.366944409500267,0,0,0,50,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492373386981,-0.0328971271249672,-0.151916368992642,1.15479579084911,0.870923479387992,1.03478299041785,0.934918935693171,-0.467429022889149,0.647162469915793,-0.106849098393857,0.903143914805712,0,0,0,51,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492369237103,-0.0555713776130646,-0.308515424215527,0.700314279733735,0.0779841021258047,0.504309730785733,-0.119169116537142,2.89441513533833,0.943706683234883,0.15154306870008,-0.250382058138443,0,0,0,52,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.5249241618774,-0.237230214894359,0.248748863448819,-2.93039723318784,0.153038484280111,0.959994927288603,0.655060449942368,-0.885989729919367,-0.587625760331863,-0.430457338055295,-1.10339880449149,0,0,0,53,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492410598158,-0.37994559253221,-0.449947565239894,0.133406270618237,0.979587399434368,-1.72987655865941,-4.25076336247563,0.0308845101981565,0.139983547350835,1.05148410880509,2.03342190295918,0,0,0,54,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
-1.52492377680404,-0.266359988291214,-0.32622673735513,-0.141808041027166,0.775744392671349,-0.029879282888936,-0.735410203011555,1.68912545180947,0.825056647105073,0.325540787692946,0.925079103007167,0,0,0,55,AR-experiment_lm_diff_corr,100,2021-02-13T17:04:44.046587Z
