none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
-1.52492399511561,1.28227626911175,0.134562459188771,1.50281110283081,-1.33979130195062,1.65239010162873,3,4,2,5,1,0,1,0,1,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402919571,-0.23670399949702,2.18670107190275,-0.13936133374767,0.91083238621594,1.09092185886338,5,1,4,3,2,0,1,0,2,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400197013,-0.0501690374957371,-1.42485133805324,-7.57411274207261,-1.30027190274612,-0.943943722038019,1,4,5,3,2,0,1,0,3,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399907182,-0.766754266650281,1.28630579667388,1.02923794551917,2.88693691267325,-0.678042499264298,5,2,3,1,4,0,1,0,4,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401872544,-0.622030929509661,0.954881407653225,2.77551151432934,6.06394686438626,0.405587286554144,5,3,2,1,4,0,1,0,5,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399176233,0.2591763894338,-2.15566841955273,-1.74930818187124,-1.35041782040914,-2.35846598761051,1,4,3,2,5,0,1,0,6,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401902089,0.144014439620753,1.3636065955774,1.75087626390417,-1.15865966089952,1.03416675282853,4,2,1,5,3,0,1,0,7,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492404132979,0.140558017377573,0.0910879042034012,0.693924287646934,2.46675824216606,-3.12684673956697,3,4,2,1,5,0,1,0,8,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.5249240204324,0.422786758862873,-1.15896186276508,1.73800034838765,0.390086138182761,-2.231354973607,2,4,1,3,5,0,1,0,9,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399545277,0.885698737756014,-3.40519379653643,0.173218110424685,0.418641911437975,0.880200046002423,1,5,4,3,2,0,1,0,10,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400181329,0.0420811702262061,1.62660069041569,-2.63114957681315,-1.31496072915508,-0.281275202767345,2,1,5,4,3,0,1,0,11,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492397682849,-0.565773300006374,2.16580318812996,1.89011018557149,-0.856903401512046,-0.443106757428017,4,1,2,5,3,0,1,0,12,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402760782,-0.430598828210596,1.30712104325204,-3.04084767792448,1.51341803183845,-2.14303068575026,3,2,5,1,4,0,1,0,13,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402597719,-0.93202450726931,2.22586751294971,1.33235032086854,-1.32909045682598,-2.25365233190174,3,1,2,4,5,0,1,0,14,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401091131,1.52543225050999,1.02087744788128,1.80340388170111,-0.523569178833033,0.650608396213026,2,3,1,5,4,0,1,0,15,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398883419,-0.583225440822348,-2.38738553513324,1.77647070806287,1.61979786226595,-0.107368823581903,4,5,1,2,3,0,1,0,16,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401251895,-0.97428676968571,1.60373432289389,1.57235346848384,1.81811495760731,-0.707699159482699,5,2,3,1,4,0,1,0,17,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.5249239960597,-0.157166577927096,-0.109040504645116,-2.59071481393235,-0.834240835143248,-1.83760441636697,2,1,5,3,4,0,1,0,18,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402514943,-0.175053110922673,1.501085256755,-4.01563360289839,-0.416184777426799,-1.06035009624562,2,1,5,3,4,0,1,0,19,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.5249240005002,-0.374949364452958,0.114920537616501,1.28908893172144,2.37154888136638,1.8429484453418,5,4,3,1,2,0,1,0,20,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398556781,0.44866796971443,1.75956501560037,0.471984234923684,0.445993776764611,-1.06491573794191,3,1,2,4,5,0,1,0,21,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402067523,-0.209376138736755,1.4705570824508,0.788772881810651,-1.39322167646899,0.212418579527896,4,1,2,5,3,0,1,0,22,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.5249240010937,0.408290691093486,-0.0162213168076763,1.96821240881975,-1.37669327894879,0.449785924219153,3,4,1,5,2,0,1,0,23,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398324718,-0.717219366421649,1.98771883138268,1.93791151271907,0.942604846842926,1.63523341797287,5,1,2,4,3,0,1,0,24,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398687183,-0.920955032483542,-4.82088203141631,0.997457826391876,1.5967662835605,0.168347921265269,4,5,2,1,3,0,1,0,25,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.524924003279,-0.453148146620563,-0.576172470786781,0.457150107900026,-1.23036154528396,-1.47574244920984,2,3,1,4,5,0,1,0,26,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401712467,0.155568173553708,1.53239207653418,-0.560748570261128,-1.39541115135686,-1.10028135781225,2,1,3,5,4,0,1,0,27,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399024383,-0.961677481992395,-1.1212963359141,1.34172251643831,-1.30622593257855,1.48562109296943,3,4,2,5,1,0,1,0,28,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398660697,1.20496725886999,-7.41713600468827,1.47821119084249,-0.403541163978975,-1.67074797948577,2,5,1,3,4,0,1,0,29,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400104504,-0.630829935352592,0.437867157435097,0.811585248988483,-1.28898516084441,0.399427253479616,4,2,1,5,3,0,1,0,30,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402495394,-0.0832310217914566,-0.0993567042534769,1.59794339383499,-1.369387774958,-0.555312656646251,2,3,1,5,4,0,1,0,31,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400277324,4.68215466273377,-0.825005911251149,0.947353299305913,-1.30638330669081,-1.84490564833158,1,3,2,4,5,0,1,0,32,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399777737,0.0769221389134975,-4.27122395611329,2.0458443324355,-1.26144335946841,-0.693131165391036,2,5,1,4,3,0,1,0,33,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398369917,-0.218868704339613,0.953851081503357,-1.45278016993313,-1.0170802627991,-0.112994353690118,3,1,5,4,2,0,1,0,34,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399012085,0.128232369668315,1.76065282475206,1.34334072857921,-1.53127553072557,1.072917502402,4,1,2,5,3,0,1,0,35,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401876103,-0.405398806053671,0.854304358467128,-14.5829717518373,-1.17473841082771,-0.529173157950928,2,1,5,4,3,0,1,0,36,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398355515,1.40569835136238,1.05463336224935,-0.771378458501458,-0.734303563520743,-0.411439588865686,1,2,5,4,3,0,1,0,37,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492397581238,-0.239777639995839,1.7560578879272,-0.907243971506884,-0.0863735671010243,2.1892661245798,4,2,5,3,1,0,1,0,38,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399008141,0.726434842399954,1.21706870261922,-0.714093194178916,3.99890221813831,2.17610038646912,4,3,5,1,2,0,1,0,39,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399819136,1.69014032805322,2.14654113199666,-3.02733167415542,8.83202084287947,0.458884752684847,3,2,5,1,4,0,1,0,40,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492397834031,-0.00497633058590262,0.606937419725273,1.69588505943034,-0.10492956433392,-0.168911032905006,3,2,1,4,5,0,1,0,41,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402842894,2.15436303176865,-3.56632787978993,-2.68583035634514,-1.26220069122186,0.265883379767118,1,5,4,3,2,0,1,0,42,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492399387157,0.723736050568222,0.158097507721459,-0.12320611366289,0.474754798228674,-1.2417952699707,1,3,4,2,5,0,1,0,43,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400592732,-0.543979258882084,0.982287576475855,-0.625286989104925,-1.06865279614822,-1.72693540054093,2,1,3,4,5,0,1,0,44,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400787279,-0.264212792779367,1.74322070243325,1.17536440705294,3.07168855915903,2.22729798569533,5,3,4,1,2,0,1,0,45,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398388919,0.924954774502015,-0.992350526644332,1.59730141581042,-1.29460903156028,0.607693170743838,2,4,1,5,3,0,1,0,46,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492401829681,-0.374893569872111,0.922142437784668,2.20391288134396,-0.649316575725286,0.635801467213228,4,2,1,5,3,0,1,0,47,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492398470241,-0.438333065577059,0.472292019153085,-0.507929063157569,5.17982835761312,-0.67232253778934,3,2,4,1,5,0,1,0,48,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400262111,0.509580053336669,-0.461874016266027,0.146803617753952,0.377202060940009,0.0883441817112486,1,5,3,2,4,0,1,0,49,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400036634,-0.463209215891805,-0.0265175313344204,1.54373366084123,-1.01416138419325,-0.254553199563573,4,2,1,5,3,0,1,0,50,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400114337,-0.204845319765173,2.00789814870592,1.98944078676923,0.220707905752388,0.773434416407635,5,1,2,4,3,0,1,0,51,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492400213615,-0.362135101788353,0.810456334347348,0.320025763273506,3.8900358489415,-0.119747838977829,5,2,3,1,4,0,1,0,52,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
-1.52492402429568,-0.0148443316177129,-2.76273425766203,1.64641804185978,-1.48131233880849,-1.54578346282294,2,5,1,3,4,0,1,0,53,AR-experiment_lm_diff_corr,B,100,2021-02-13T16:59:06.281743Z
