none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
3.34334010995209,-3.33661929379751,-0.873284200197027,-0.47091422627491,-1.02385429852485,2.75430807643418,5,3,2,4,1,0,1,0,1,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34333996729831,-1.06279173198784,1.52778888774102,1.8404014220278,1.17833815176958,2.89168733758808,5,3,2,4,1,0,1,0,2,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334008736243,21.751407995419,-1.58474385552432,-16.6412956065513,-0.733428309126129,-1.66858186387504,1,3,5,2,4,0,1,0,3,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010813421,5.74547842423566,0.364692587723037,-0.983497535865732,6.22265685554583,-0.968638995388999,2,3,5,1,4,0,1,0,4,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010006058,-0.92914707316063,-0.81558908175757,-0.757224174685527,19.0579075106877,-0.786942046648155,5,4,2,1,3,0,1,0,5,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334004794566,-0.787620184774694,-1.25972854374661,4.50204382620271,-0.846887913034983,-6.46255865404518,2,4,1,3,5,0,1,0,6,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334015342907,18.4511938530152,1.13857029780937,-1.19450713604608,-1.66650241368776,0.852524933423072,1,2,4,5,3,0,1,0,7,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334003389975,-1.51690082182614,-0.72284817754422,-1.35188815408223,5.06252648682632,-9.57889950446937,4,2,3,1,5,0,1,0,8,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334008604134,-1.54237304774855,-1.2805287858492,-1.16648612335646,0.440204812411973,-2.25215351187317,4,3,2,1,5,0,1,0,9,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334011359189,-3.49625497380399,-4.43596633826504,0.753929514459515,0.422339964069765,2.09627757531768,4,5,2,3,1,0,1,0,10,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334016565546,-0.792667351113216,21.5050006567825,6.71085505743135,-1.42697122911699,-0.951752564813142,3,1,2,5,4,0,1,0,11,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334013063378,10.1640063805229,8.72601282423463,-0.788565833001782,-0.870738086048374,-0.860056116767193,1,2,3,5,4,0,1,0,12,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34333994251094,2.38159662797154,-0.941881827445336,6.83627485000656,2.31292768796931,-6.26465463442503,2,4,1,3,5,0,1,0,13,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334006684417,-0.429929316192592,11.1397430123483,-0.941089020587974,-0.903640620622909,-4.00188449481351,2,1,4,3,5,0,1,0,14,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334003380145,-6.17226391326225,-0.743102160278803,-1.00651547396598,-0.704580049130605,-0.532763205595928,5,3,4,2,1,0,1,0,15,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010603595,-1.17238963767696,-1.41991131960757,-0.676095792333334,-17.1076126708655,-0.899912816079984,3,4,1,5,2,0,1,0,16,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334000712705,2.05706263926164,-0.687125030608826,-0.799223886630748,2.58096899545111,-0.983011337584321,2,3,4,1,5,0,1,0,17,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433401699329,-0.762884553183782,-0.840897641493912,6.00569341577797,-3.78317172586192,-3.37039077395074,2,3,1,5,4,0,1,0,18,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007066466,-0.631987301983526,1.27933214705603,-7.50221996489201,-5.44741747560053,-2.0134820674117,2,1,5,4,3,0,1,0,19,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433400928659,-0.724189464107738,-1.09139146172218,-0.373090130558832,4.67636801070107,17.5267143298428,4,5,3,2,1,0,1,0,20,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010241321,-0.507433179146541,3.49746209758446,-0.114212907105416,0.4951615851616,-0.795736199368786,4,1,3,2,5,0,1,0,21,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007902294,-0.847516318803549,1.31292700103798,-1.10418176643486,-0.850374896341398,0.0793605265143013,3,1,5,4,2,0,1,0,22,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334002998764,28.2536367079005,-0.828580327712545,-0.637485133799835,-0.696469433236517,0.4506804816439,1,5,3,4,2,0,1,0,23,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334015336117,-0.515958112367552,-0.159908387024777,-0.678538446472553,1.00040310056196,-0.162697209855162,4,2,5,1,3,0,1,0,24,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334004549272,3.58498287941827,-8.99726428152548,-0.938949899937168,2.49186075868118,-0.537913465959663,1,5,4,2,3,0,1,0,25,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334020247435,-0.54762605573268,-0.778443435553296,-1.25287886661787,-0.823708887125039,-3.354668323014,1,2,4,3,5,0,1,0,26,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334009907586,-0.773994645708334,-0.488751933880766,2.65639715279874,-0.649772310911817,-1.94247156814993,4,2,1,3,5,0,1,0,27,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334012803213,-0.0155695379272389,-1.15540899301466,-0.903380408590592,-0.718501270792108,0.0701160282471846,2,5,4,3,1,0,1,0,28,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334009772416,-4.72138602336764,-19.9119412663607,-0.557899496128341,-0.474693667929889,-3.44427772196643,4,5,2,1,3,0,1,0,29,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433400686442,6.6850169508173,-0.938491119101116,-0.975004773383666,-1.06431211889649,-0.470776711547772,1,3,4,5,2,0,1,0,30,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334012940571,-0.913393147962313,-0.800905875816691,-0.644552563947282,-1.57911466728613,-0.853228637489308,4,2,1,5,3,0,1,0,31,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334005031773,-42.8182766649878,-0.736816915206934,0.088255072029424,-1.50884521432116,-0.823046502354176,5,2,1,4,3,0,1,0,32,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34333999431891,-1.1626945462185,-6.90000099999683,-0.569285355885966,-1.14180476939759,-1.41941895604203,3,5,1,2,4,0,1,0,33,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334005792202,-0.628121989993324,-0.687418578563251,3.19189267176408,-0.889247959402937,-0.851208048179657,2,3,1,5,4,0,1,0,34,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433400326368,16.9192296647944,2.88269305470759,-0.727975436913172,-0.863739119648046,1.27301964874576,1,2,4,5,3,0,1,0,35,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433400651687,-0.658603376746916,-0.634539357658728,-31.2749682460022,-0.835084775783877,-0.531163209209259,3,2,5,4,1,0,1,0,36,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334023944775,-4.48139135281429,-0.42258783031638,-2.91186674450896,-0.612549237068616,-0.784283917057326,5,1,4,2,3,0,1,0,37,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334022073484,-0.651374021709581,3.69687093816456,3.90145700347308,-0.379764755396991,-0.0597073132476067,5,2,1,4,3,0,1,0,38,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010233943,-0.814939728318793,-0.850211610655301,1.68851801163094,10.4998264369722,10.505040657555,4,5,3,2,1,0,1,0,39,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334013992292,-5.73865150841367,0.517820276628591,6.90500530494504,34.8876626410296,-0.826272749913366,5,3,2,1,4,0,1,0,40,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007825295,-1.15207704727012,-0.751977896687351,-0.562055549654516,-0.399061365132075,-0.427100669917655,5,4,3,1,2,0,1,0,41,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334004290441,-8.90158824503009,-4.06729031760301,6.69153255491436,-1.40619024411338,-0.571573772577485,5,4,1,3,2,0,1,0,42,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334001861088,40.6749050502306,-0.898709959121544,-1.63649349008579,0.662581413513279,-2.01211283070376,1,3,4,2,5,0,1,0,43,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334014611166,-0.62628879910854,-1.15756240415372,2.02320645266415,-2.39424099776749,-1.17116593033717,2,3,1,5,4,0,1,0,44,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007328111,-0.209865758382472,23.2147815799247,-0.966652271651929,7.07057096954643,15.4360426474365,4,1,5,3,2,0,1,0,45,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
