none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
5.41676173214826,0.0915699088732667,0.159914129468414,0.357755553089927,0.713757196393073,-0.525246042840938,4,3,2,1,5,0,1,0,1,experiment_gam1,B,100
5.41676172730093,-0.162398647743851,0.747942400671159,0.306817780016869,0.00263192706072557,0.25059980458315,5,1,2,4,3,0,1,0,2,experiment_gam1,B,100
5.41676173025121,-0.0630001880071448,0.467870368854871,-0.793204309295331,0.346474148043722,-1.13734882268522,3,1,4,2,5,0,1,0,3,experiment_gam1,B,100
5.41676172999013,-0.430026935853939,0.312233766220233,-0.639303261320146,-0.333503481766168,-0.0794136793728444,4,1,5,3,2,0,1,0,4,experiment_gam1,B,100
5.41676173017329,0.251198269433329,-0.206305153174205,0.533475207664783,-0.673947150593835,0.766530570137765,3,4,2,5,1,0,1,0,5,experiment_gam1,B,100
5.41676173486676,0.317547367073483,0.722726356717821,-0.266323392962692,0.206338586143725,-0.539997015021889,2,1,4,3,5,0,1,0,6,experiment_gam1,B,100
5.41676173236975,-0.350807681623901,0.299904439536115,0.734374868055513,-0.188376247895955,-0.998975072722792,4,2,1,3,5,0,1,0,7,experiment_gam1,B,100
5.41676173125988,-0.586382293375594,0.717986265820324,-0.687699855253182,0.0129558336120302,-0.616946154855654,3,1,5,2,4,0,1,0,8,experiment_gam1,B,100
5.41676173209356,0.353194526051475,0.636391116385624,-0.29326763545423,0.197826005203809,-0.2665616945845,2,1,5,3,4,0,1,0,9,experiment_gam1,B,100
5.41676173087201,0.613223189784475,0.530268886407439,0.313469170703557,-0.348856773827819,-0.435659517690789,1,2,3,4,5,0,1,0,10,experiment_gam1,B,100
5.41676172952396,0.622484134736059,-1.50334068052503,-0.443626281533346,-1.18350938476756,0.469995142311509,1,5,3,4,2,0,1,0,11,experiment_gam1,B,100
5.41676173346972,0.431337905255918,0.0402590256427657,0.736028428655193,-0.251084987547838,-0.33021642565403,2,3,1,4,5,0,1,0,12,experiment_gam1,B,100
5.41676173259413,-0.868811082135303,0.745015878626503,-0.181716128921992,0.292528556002725,-0.814269523762818,5,1,3,2,4,0,1,0,13,experiment_gam1,B,100
5.41676172489087,0.0758975191914129,0.55794937351119,0.096197835700916,-0.442204044869649,-0.253169698807934,3,1,2,5,4,0,1,0,14,experiment_gam1,B,100
5.41676172920101,0.782575778937563,-0.0661462040639127,0.628630516881334,0.684145358388412,-0.334786210728653,1,4,3,2,5,0,1,0,15,experiment_gam1,B,100
5.4167617316593,-0.466486858709858,0.710301761505058,0.638794182060713,-1.37846780471244,0.738531013368841,4,2,3,5,1,0,1,0,16,experiment_gam1,B,100
5.41676172804192,-0.657464441553015,-0.610276409244418,0.741318866990079,0.0485619168464635,0.081328400988544,5,4,1,3,2,0,1,0,17,experiment_gam1,B,100
5.41676173284346,0.779030073595173,0.191540291874767,-0.169562418661635,-0.0767100090782076,-0.00815134842991139,1,2,5,4,3,0,1,0,18,experiment_gam1,B,100
5.41676173313348,-0.221104487776759,0.578805760725833,-0.597857290043015,-0.6008985846072,0.0290023372176781,3,1,4,5,2,0,1,0,19,experiment_gam1,B,100
5.41676173050424,0.262900493843826,0.264897359045209,0.153024105029949,-0.0119168745779021,-0.640295114640313,2,1,3,4,5,0,1,0,20,experiment_gam1,B,100
5.41676173570859,0.505208765955475,0.0184569274401429,-0.354255355163566,-0.0660309041454421,0.499687972808946,1,3,5,4,2,0,1,0,21,experiment_gam1,B,100
5.41676173005751,0.400687273278195,0.521291115128691,-0.374044947437001,0.262488448264343,0.454980547423693,3,1,5,4,2,0,1,0,22,experiment_gam1,B,100
5.41676172515526,0.793870497774929,0.753921381697866,0.391289590959726,0.675178759945653,-1.22154924351031,1,2,4,3,5,0,1,0,23,experiment_gam1,B,100
