none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724169988092285,1.23629345570241,-0.849112912992514,2.14895770334474,2,3,1,0,1,0,1,experiment_lm1,A,100
-0.724169983116479,1.35138821277372,2.03786112655398,1.72121505066284,3,1,2,0,1,0,2,experiment_lm1,A,100
-0.724169992783326,1.8413890776785,-1.9771012261392,-1.92968620491262,1,3,2,0,1,0,3,experiment_lm1,A,100
-0.724169980839685,0.0084978952196868,2.35671903118106,-0.0296993411352867,2,1,3,0,1,0,4,experiment_lm1,A,100
-0.724169980484547,3.43967428440183,0.682178365516866,0.112259920915048,1,2,3,0,1,0,5,experiment_lm1,A,100
-0.724169978176264,-0.275935704121904,0.322700300403721,-2.31651175775978,2,1,3,0,1,0,6,experiment_lm1,A,100
-0.724169989625645,-2.15602375499681,-0.151463919570661,0.65585432796336,3,2,1,0,1,0,7,experiment_lm1,A,100
-0.724169979285037,-0.130034197014444,1.58164836484735,-2.77144856860683,2,1,3,0,1,0,8,experiment_lm1,A,100
-0.724169956702824,0.333343146705949,1.19539477363539,-1.59124833722049,2,1,3,0,1,0,9,experiment_lm1,A,100
-0.724169977191718,-0.732324779920012,0.319099925338399,1.93121935310666,3,2,1,0,1,0,10,experiment_lm1,A,100
-0.724169995980567,-5.31083168045368,1.05481505846284,-0.599084144970766,3,1,2,0,1,0,11,experiment_lm1,A,100
-0.724169980519219,1.45028315362826,1.5509582542681,-0.763968056107225,2,1,3,0,1,0,12,experiment_lm1,A,100
-0.724169990649728,1.37043105787187,1.66365431137605,-2.7660573731947,2,1,3,0,1,0,13,experiment_lm1,A,100
-0.724169977196317,-0.422287550869957,1.66069128315163,-2.28657853738524,2,1,3,0,1,0,14,experiment_lm1,A,100
-0.724169999347459,-0.376045434154605,0.0382908532045055,1.05069949029279,3,2,1,0,1,0,15,experiment_lm1,A,100
-0.72416999802637,0.0437877479716955,-2.52400041951668,-0.166265391613224,1,3,2,0,1,0,16,experiment_lm1,A,100
-0.724170001474433,-0.460724419367328,0.754512918909729,-1.13049812063558,2,1,3,0,1,0,17,experiment_lm1,A,100
-0.724170001184022,-0.817678148943926,0.0518018117587291,-1.87968046224296,2,1,3,0,1,0,18,experiment_lm1,A,100
-0.724169968879328,-1.32611817305788,-1.64895523955607,-1.40421970050926,1,3,2,0,1,0,19,experiment_lm1,A,100
-0.724170007280641,-0.728264948481871,1.62749438342223,3.1605595596653,3,2,1,0,1,0,20,experiment_lm1,A,100
-0.724169985173092,-2.20604203112609,2.84712650347122,-0.228227863342329,3,1,2,0,1,0,21,experiment_lm1,A,100
-0.724170007759072,-1.53648857631888,1.1218275600581,1.313046371425,3,2,1,0,1,0,22,experiment_lm1,A,100
-0.724169992200436,0.506256895887755,0.333749266684452,0.480848087575855,1,3,2,0,1,0,23,experiment_lm1,A,100
-0.724169976399992,2.3393423049022,-0.16633163007033,1.08596955177391,1,3,2,0,1,0,24,experiment_lm1,A,100
-0.72416999593588,1.0813628836799,-0.708721279523421,0.108413503087576,1,3,2,0,1,0,25,experiment_lm1,A,100
-0.724169995036341,-0.646653804608555,-0.86923055364163,-1.9692505215624,1,2,3,0,1,0,26,experiment_lm1,A,100
-0.724169985843191,2.5758379833904,0.429056939592197,-1.33478242302458,1,2,3,0,1,0,27,experiment_lm1,A,100
-0.724170014958301,1.8283839041356,-2.2542699567105,0.978336256721216,1,3,2,0,1,0,28,experiment_lm1,A,100
-0.724169992030046,-1.25759375818635,-1.44587276865097,-1.50216689777427,1,2,3,0,1,0,29,experiment_lm1,A,100
-0.724169990588074,1.18053637558609,-0.313602461929617,0.391987099731456,1,3,2,0,1,0,30,experiment_lm1,A,100
-0.724169987373507,1.43729296220108,-1.20602768147525,-0.744259363033279,1,3,2,0,1,0,31,experiment_lm1,A,100
-0.72416999883308,-1.11423755223122,1.66915117962813,0.387495212429039,3,1,2,0,1,0,32,experiment_lm1,A,100
-0.724169990822738,0.645697613282225,-1.58706764813439,-0.895021942532343,1,3,2,0,1,0,33,experiment_lm1,A,100
-0.724169992919551,-1.83168419203323,0.508835056707716,-0.189599955339799,3,1,2,0,1,0,34,experiment_lm1,A,100
-0.724170009485431,0.252595217428455,-0.0188652662419518,0.766427947269803,2,3,1,0,1,0,35,experiment_lm1,A,100
-0.724169991884687,-0.300975310805746,0.606426045007867,0.793514143514592,3,2,1,0,1,0,36,experiment_lm1,A,100
-0.72416998706508,-1.08522509376372,0.205535995069611,0.057419743504749,3,1,2,0,1,0,37,experiment_lm1,A,100
-0.724170011528143,2.60654663296887,-0.380238154980287,1.49336509892677,1,3,2,0,1,0,38,experiment_lm1,A,100
-0.724169975075715,-0.382148853284251,1.29859948227156,2.8574213177895,3,2,1,0,1,0,39,experiment_lm1,A,100
-0.724169999725785,-0.0472164917936314,2.00300851073947,0.476846481543195,3,1,2,0,1,0,40,experiment_lm1,A,100
-0.724169987052405,0.0113646052156381,1.43746198038457,1.01434478934264,3,1,2,0,1,0,41,experiment_lm1,A,100
-0.724169959910262,0.47124763812389,-0.741676746737249,1.04731089961818,2,3,1,0,1,0,42,experiment_lm1,A,100
-0.72417000321689,-0.830269236968312,0.0296580304060241,-2.19805535534029,2,1,3,0,1,0,43,experiment_lm1,A,100
-0.72416999077987,1.16319619034741,0.829767002589846,-1.44749619270845,1,2,3,0,1,0,44,experiment_lm1,A,100
-0.724169991982657,-0.874300525346117,2.18904071194852,2.73812670586788,3,2,1,0,1,0,45,experiment_lm1,A,100
-0.724169982718072,-1.10514336387401,-0.363190251035516,1.74655727068102,3,2,1,0,1,0,46,experiment_lm1,A,100
-0.724169992765852,0.69910094578784,1.2864109058669,0.749072151194594,3,1,2,0,1,0,47,experiment_lm1,A,100
-0.724169983766623,3.52034966152463,1.64815467310157,0.0955481597881576,1,2,3,0,1,0,48,experiment_lm1,A,100
-0.724169968010005,0.170298161182735,1.13252473066296,1.08090105918082,3,1,2,0,1,0,49,experiment_lm1,A,100
-0.724170005876189,-1.94034015021023,0.705114911592475,0.302437018890103,3,1,2,0,1,0,50,experiment_lm1,A,100
-0.724170012503782,1.22638267534641,0.0297043848118869,0.187150051110727,1,3,2,0,1,0,51,experiment_lm1,A,100
-0.724170009745623,0.954425434323357,2.03723613759465,-0.0368617003232571,2,1,3,0,1,0,52,experiment_lm1,A,100
-0.724169973260908,-3.35487741721471,-0.846754580212451,-1.44300198826603,3,1,2,0,1,0,53,experiment_lm1,A,100
-0.724169998420601,-0.36050530561489,1.42694084461065,3.37396826774826,3,2,1,0,1,0,54,experiment_lm1,A,100
-0.724169978806677,-0.552367675937648,0.999273512249508,1.08336085278724,3,2,1,0,1,0,55,experiment_lm1,A,100
-0.724169974133446,1.95170152272575,-0.617826757833548,-0.174501749283528,1,3,2,0,1,0,56,experiment_lm1,A,100
-0.724169992003839,6.15088619659405,0.0852272653751385,1.94155229563786,1,3,2,0,1,0,57,experiment_lm1,A,100
-0.72417001297192,-1.15038884794349,1.46615711331878,-0.588612501778287,3,1,2,0,1,0,58,experiment_lm1,A,100
-0.724170001392116,1.50661295149827,-0.300750969409127,2.75152923678503,2,3,1,0,1,0,59,experiment_lm1,A,100
