none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724169976525836,0.696439589668103,0.559137207635413,-0.518338339322044,-0.349119586852016,2.14801936101794,2,3,5,4,1,0,1,0,1,experiment_lm1,B,100
-0.724169995887949,0.786162309718214,0.539795808372002,0.797713729361174,1.24598996299328,1.74080260116666,4,5,3,2,1,0,1,0,2,experiment_lm1,B,100
-0.724170000182883,1.117927782247,0.683282385480008,-1.17415746044099,-0.770827509750561,-1.9216235607386,1,2,4,3,5,0,1,0,3,experiment_lm1,B,100
-0.724169999406862,-0.549914335303695,0.604206956742059,0.998922364039768,1.39044830179815,-0.108145699416688,5,3,2,1,4,0,1,0,4,experiment_lm1,B,100
-0.724169988029714,0.897536319485338,2.52852983115414,-0.582151126146589,1.30690424557651,0.0832932993434573,3,1,5,2,4,0,1,0,5,experiment_lm1,B,100
-0.724169992143072,-0.817668633500178,0.480376210699397,1.35154620661422,-0.959312754535646,-2.32468820262381,3,2,1,4,5,0,1,0,6,experiment_lm1,B,100
-0.724169999091078,-1.34234866238095,-0.749704616809389,-0.315092101342336,0.11849264685789,0.637019393310468,5,4,3,2,1,0,1,0,7,experiment_lm1,B,100
-0.724169999904208,-0.30609965840868,0.16584579634699,0.992190069934667,0.654117367496629,-2.82588798912443,4,3,1,2,5,0,1,0,8,experiment_lm1,B,100
-0.724170000298756,0.813196306626709,-0.53089876158351,1.37152028964311,-0.145653806827144,-1.57067443711436,2,4,1,3,5,0,1,0,9,experiment_lm1,B,100
-0.724169985411526,0.149063213837267,-0.915014658654498,0.921592226882256,-0.556940384562179,1.91929409576512,3,5,2,4,1,0,1,0,10,experiment_lm1,B,100
-0.724170003230582,-0.366629502768722,-4.91808695700382,0.094822598913213,0.96607827360835,-0.63128517698155,3,5,2,1,4,0,1,0,11,experiment_lm1,B,100
-0.7241699832735,0.468956615381911,0.995825792944299,0.344592557328851,1.25795836960478,-0.830059996670614,3,2,4,1,5,0,1,0,12,experiment_lm1,B,100
-0.724169984686007,1.49793215155011,-0.229867926436248,1.04431391644723,0.679712807547844,-2.72406295188196,1,4,2,3,5,0,1,0,13,experiment_lm1,B,100
-0.724169986814057,0.709496963083269,-1.07582282314658,0.660264218377192,1.00087421468287,-2.34298737464338,2,4,3,1,5,0,1,0,14,experiment_lm1,B,100
-0.724170004459516,-0.0180909146499867,-0.339180938254775,-0.443750035319206,0.449050552915035,1.0649162537137,3,4,5,2,1,0,1,0,15,experiment_lm1,B,100
-0.72416999203138,-0.67926383369827,0.734316651883665,-0.435688200424695,-2.09246568135636,-0.173376996631906,4,1,3,5,2,0,1,0,16,experiment_lm1,B,100
-0.724169986837192,1.21471461879391,-1.6893538852662,-0.241025060929048,1.0869929292495,-1.20803823156478,1,5,3,2,4,0,1,0,17,experiment_lm1,B,100
-0.724169982967472,0.116309573731102,-0.981135582814307,1.15157389059405,-1.03603700479128,-1.89626769241105,2,3,1,4,5,0,1,0,18,experiment_lm1,B,100
-0.724169982312797,-0.221541477096962,-1.01517356582149,-1.41209396916541,-0.263978316935586,-1.46650579154564,1,3,4,2,5,0,1,0,19,experiment_lm1,B,100
-0.724169986930638,0.899245800998439,-1.57564769722932,1.11710778586761,0.546165757061409,3.07291734611707,3,5,2,4,1,0,1,0,20,experiment_lm1,B,100
-0.724169979994175,-0.158379234286457,-2.02206343963507,1.5643114583674,1.27194340544186,-0.242955587752657,3,5,1,2,4,0,1,0,21,experiment_lm1,B,100
-0.724169989885791,-0.700334048248838,-0.868136688973893,0.832374126307063,0.289303859802839,1.34517808652507,4,5,2,3,1,0,1,0,22,experiment_lm1,B,100
-0.724169987169075,0.181819197835872,0.327979179308182,0.698877242037339,-0.399509742325535,0.511688372737075,4,3,1,5,2,0,1,0,23,experiment_lm1,B,100
-0.724169985083221,1.2574655463297,1.12768023025061,-1.15327298047258,1.00052424974483,1.02658317728611,1,2,5,4,3,0,1,0,24,experiment_lm1,B,100
-0.724169976475813,0.267742639206529,0.910819402413938,-0.15553260513077,-0.619603281182085,0.0776289265185522,2,1,4,5,3,0,1,0,25,experiment_lm1,B,100
-0.724169969459707,0.745928487936834,-1.36004691834746,-0.496532234565926,-0.464240782999487,-1.91024345101165,1,4,3,2,5,0,1,0,26,experiment_lm1,B,100
-0.724169999844632,0.297360575555372,2.32093545714147,0.404639182797844,0.0224848154457725,-1.37530753230408,3,1,2,4,5,0,1,0,27,experiment_lm1,B,100
-0.724169983773368,0.954056001178178,0.917093160684976,-1.43974621361324,-0.829732579873992,0.95077981498334,1,3,5,4,2,0,1,0,28,experiment_lm1,B,100
-0.724169987512199,-0.459511968842507,-0.807191554614723,-0.0310979862890642,-1.42393239159619,-1.48389953055246,2,3,1,4,5,0,1,0,29,experiment_lm1,B,100
-0.724170006748436,1.40577126618016,-0.169247415663177,-0.0446641332544344,-0.325686502064362,0.392747809272568,1,4,3,5,2,0,1,0,30,experiment_lm1,B,100
-0.724169985512589,-0.160068917184843,1.65676524918357,-0.483977468258254,-0.775127324776565,-0.750585622242272,2,1,3,5,4,0,1,0,31,experiment_lm1,B,100
-0.724169984682747,0.219004641166976,-1.25750655879375,2.66444394793056,-0.981847448328914,0.298314237615014,3,5,1,4,2,0,1,0,32,experiment_lm1,B,100
-0.724169992822188,0.432885339767279,0.174095042294685,-0.357230737999798,-1.19917392890285,-0.886967699548097,1,2,3,5,4,0,1,0,33,experiment_lm1,B,100
-0.724169993436793,-0.521495141747384,-1.30095987457236,0.15162193429532,0.375001640999394,-0.216617660452977,4,5,2,1,3,0,1,0,34,experiment_lm1,B,100
-0.724169997563311,-0.350373596543871,0.596590240768801,-0.475098810982949,0.495597946152547,0.733442119931647,4,2,5,3,1,0,1,0,35,experiment_lm1,B,100
-0.724170003282071,-0.911138366848718,0.609132569981223,0.415970881983197,0.249362214942681,0.73563759424007,5,2,3,4,1,0,1,0,36,experiment_lm1,B,100
-0.724169980651152,-1.23753674857757,0.114577947731175,-0.372473883201108,0.574440257794405,0.0987230536633882,5,2,4,1,3,0,1,0,37,experiment_lm1,B,100
-0.724169989979499,-0.273169073387645,2.85034279299237,-1.43720495893153,1.14124729420456,1.43845749680949,4,1,5,3,2,0,1,0,38,experiment_lm1,B,100
-0.724169976477539,0.672135645999023,-0.981300123293089,0.135877284411386,1.12572854766763,2.8214305819498,3,5,4,2,1,0,1,0,39,experiment_lm1,B,100
-0.724169998472508,0.999419575185171,-1.01777654071347,-0.184525018426898,2.14001857251859,0.495501908208498,2,5,4,1,3,0,1,0,40,experiment_lm1,B,100
-0.724169988491787,0.449251800142119,-0.467196520535896,1.19730538477521,0.348060803846478,0.935749895764715,3,5,1,4,2,0,1,0,41,experiment_lm1,B,100
-0.724169987988467,-0.730328083573334,1.22997606258418,0.795976222732179,-1.52299408993942,1.0042516733214,4,1,3,5,2,0,1,0,42,experiment_lm1,B,100
-0.724169984985675,-0.0695477666631659,-0.703375130702954,-0.355511754418201,0.374598141727026,-2.24483007779923,2,4,3,1,5,0,1,0,43,experiment_lm1,B,100
-0.72416998360319,1.52998951301388,-0.323479298584401,1.54907155197159,-0.775304277062198,-1.43481049808177,2,3,1,4,5,0,1,0,44,experiment_lm1,B,100
-0.724169997205662,-0.446248254982977,-0.502837822329081,-0.220578922900978,2.46209386282058,2.7604380369729,4,5,3,2,1,0,1,0,45,experiment_lm1,B,100
-0.724169978181028,-0.100379269484395,-0.990905965782376,0.591751700555121,-0.928552700638198,1.70630988363538,3,5,2,4,1,0,1,0,46,experiment_lm1,B,100
-0.724170000954829,-1.59648055118098,2.32523927731679,0.630898692395009,0.604457550571389,0.770469032288574,5,1,3,4,2,0,1,0,47,experiment_lm1,B,100
