none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
3.4743128221385,-2.16944424504854,-1.70012354687021,-3.62318881802922,2,1,3,0.7,1,0,1,experiment_gam2,A,100
3.47431304447816,-0.588954048412702,-7.98383168851446,-0.976435387901879,1,3,2,0.7,1,0,2,experiment_gam2,A,100
3.47431722942617,5.73243140616269,6.55107328997839,-3.94856433010874,2,1,3,0.7,1,0,3,experiment_gam2,A,100
3.47431474750481,-0.430777421927728,-1.98511798409316,-1.34405761380453,1,3,2,0.7,1,0,4,experiment_gam2,A,100
3.47431490205401,1.68391815171522,-2.32451189159316,-2.33686609006014,1,2,3,0.7,1,0,5,experiment_gam2,A,100
3.47432695987142,-1.26619492746622,5.07509756905336,34.2348785115708,3,2,1,0.7,1,0,6,experiment_gam2,A,100
3.47431384194609,-4.01837987652655,-0.728075219629698,-1.62885051612437,3,1,2,0.7,1,0,7,experiment_gam2,A,100
3.4743294611179,11.2326323466133,19.2060116541042,24.5868069994767,3,2,1,0.7,1,0,8,experiment_gam2,A,100
3.47432080572602,3.29808604859973,3.1096930762878,12.9308249761553,2,3,1,0.7,1,0,9,experiment_gam2,A,100
3.47431353820727,-2.92118426335202,-3.02222735587774,-1.39957584706047,2,3,1,0.7,1,0,10,experiment_gam2,A,100
3.47431664057581,-4.90569698462372,8.50987719094986,1.63153606886036,3,1,2,0.7,1,0,11,experiment_gam2,A,100
3.47431536575261,-0.856484899266389,-2.67560849442936,-1.0611175292102,1,3,2,0.7,1,0,12,experiment_gam2,A,100
3.47432549223322,23.8099871658197,-9.96492689157911,18.7049634281724,1,3,2,0.7,1,0,13,experiment_gam2,A,100
3.47432259936527,4.58367531250919,1.96289081311895,12.5310844996084,2,3,1,0.7,1,0,14,experiment_gam2,A,100
3.47431456479332,-0.863996626526899,-1.32360926757375,-1.42436647005036,1,2,3,0.7,1,0,15,experiment_gam2,A,100
3.47431519924838,-2.03972739227563,-0.328117860095235,-1.38093423295344,3,1,2,0.7,1,0,16,experiment_gam2,A,100
3.47431616151574,4.469964161712,-2.46217158706366,-2.6056853046624,1,2,3,0.7,1,0,17,experiment_gam2,A,100
3.47432267977248,-3.9472347537631,2.67514389976429,22.1404390092121,3,2,1,0.7,1,0,18,experiment_gam2,A,100
3.47431898951435,-4.04569561949365,17.9751351986174,-3.14880041759111,3,1,2,0.7,1,0,19,experiment_gam2,A,100
3.47430621582205,-15.5805409298219,-24.0780574828227,-5.96811618294559,2,3,1,0.7,1,0,20,experiment_gam2,A,100
3.47431615685261,-3.47873752445465,-2.46949460443047,3.35645365994198,3,2,1,0.7,1,0,21,experiment_gam2,A,100
3.47431399104973,-4.66007013194149,-0.569428535156407,-0.77666812957338,3,1,2,0.7,1,0,22,experiment_gam2,A,100
3.47431401630284,-1.35394598196857,-3.3536129567381,-1.47888902793915,1,3,2,0.7,1,0,23,experiment_gam2,A,100
3.47431339054579,1.01743491115663,-3.55664301136091,-4.81968754629737,1,2,3,0.7,1,0,24,experiment_gam2,A,100
3.47431450708129,-0.62335582126496,-1.63171447739826,-2.13347792363409,1,2,3,0.7,1,0,25,experiment_gam2,A,100
3.47431967312627,5.90155270184347,10.216101035681,-1.19813075350798,2,1,3,0.7,1,0,26,experiment_gam2,A,100
3.47431878234091,4.17601210299142,-2.55802346282782,8.00349879256884,2,3,1,0.7,1,0,27,experiment_gam2,A,100
3.47431330690435,0.602883971686368,-0.575420112102571,-7.26015036667125,1,2,3,0.7,1,0,28,experiment_gam2,A,100
3.47432038888707,2.81030728413723,9.61719482995049,1.96657869542044,2,1,3,0.7,1,0,29,experiment_gam2,A,100
3.47431429250509,-0.855510749524166,-2.02417562088258,-2.02615678641764,1,2,3,0.7,1,0,30,experiment_gam2,A,100
3.47431588774429,-0.622695157048073,0.346286012627607,-1.56623879129411,2,1,3,0.7,1,0,31,experiment_gam2,A,100
3.47431751859089,-6.50722320408271,-2.77111331744597,11.3598595724199,3,2,1,0.7,1,0,32,experiment_gam2,A,100
3.47431684557188,1.92021728389714,-1.61647018160566,-2.01142640054665,1,2,3,0.7,1,0,33,experiment_gam2,A,100
3.47431539530959,-2.04114196853562,-0.841281798821625,-0.595405730624246,3,2,1,0.7,1,0,34,experiment_gam2,A,100
3.47431361516153,-2.10154682259243,-1.13344699999427,-3.01284267190841,2,1,3,0.7,1,0,35,experiment_gam2,A,100
3.47431441967197,-2.09050741012083,-1.04360564530027,-1.39559326732438,3,1,2,0.7,1,0,36,experiment_gam2,A,100
3.47431529416365,-2.24443147364827,-0.499386156267761,-1.53845270323654,3,1,2,0.7,1,0,37,experiment_gam2,A,100
3.47431323425759,0.957987789896427,-9.51910461212567,-4.71792154848697,1,3,2,0.7,1,0,38,experiment_gam2,A,100
3.47430978447867,-2.79671569050387,-11.5138134382976,-6.69679361822873,1,3,2,0.7,1,0,39,experiment_gam2,A,100
3.47431496638666,-1.30743268440454,-2.70893679400684,-1.53274890437952,1,3,2,0.7,1,0,40,experiment_gam2,A,100
3.47431456016887,-1.87065320037706,-1.89359396924199,-1.02417203259696,2,3,1,0.7,1,0,41,experiment_gam2,A,100
3.47431483313833,-1.97766241647516,-1.40009880587854,-0.50352269934712,3,2,1,0.7,1,0,42,experiment_gam2,A,100
3.47431770272193,3.78279807511629,2.13184201457273,-1.56524594742937,1,2,3,0.7,1,0,43,experiment_gam2,A,100
3.47431917092767,-1.21149805702838,-4.98763975633565,14.4496137296058,2,3,1,0.7,1,0,44,experiment_gam2,A,100
3.47430682984541,-7.77775897024604,-12.0115888475141,-11.6508238388958,1,3,2,0.7,1,0,45,experiment_gam2,A,100
3.47431367466939,-5.93898318373717,-0.509483381921943,-1.02905892299749,3,1,2,0.7,1,0,46,experiment_gam2,A,100
3.47431409301166,-1.02814043569831,-2.66774863850351,-0.95854387557204,2,3,1,0.7,1,0,47,experiment_gam2,A,100
3.47431481802234,-0.385576439831347,-4.65569929913127,-1.56883614311842,1,3,2,0.7,1,0,48,experiment_gam2,A,100
3.47431452799614,-1.01421745878211,-1.81395347562286,-1.03007038663785,1,3,2,0.7,1,0,49,experiment_gam2,A,100
3.47431488991692,-1.78038138509411,-1.37226397132301,-0.891987527720782,3,2,1,0.7,1,0,50,experiment_gam2,A,100
3.47431478252653,-0.553048761654383,-0.871239227728835,-1.8719025354597,1,2,3,0.7,1,0,51,experiment_gam2,A,100
3.47431479904141,-1.45711544272921,-2.62471049833927,-1.179328916438,2,3,1,0.7,1,0,52,experiment_gam2,A,100
3.47431914047943,-7.75204648350098,10.2220935030305,4.62429699966245,3,1,2,0.7,1,0,53,experiment_gam2,A,100
3.4743005829144,-13.9139464827901,-57.656291907386,-8.91358191227327,2,3,1,0.7,1,0,54,experiment_gam2,A,100
3.47431386028262,-0.45362519574776,-5.04082026096648,-1.90263040604184,1,3,2,0.7,1,0,55,experiment_gam2,A,100
3.4743152099184,-0.941487071867627,-1.32756436791199,-1.81855789508934,1,2,3,0.7,1,0,56,experiment_gam2,A,100
3.47431148134118,4.31036088576974,-11.509395885361,-5.1159389622066,1,3,2,0.7,1,0,57,experiment_gam2,A,100
3.47431710079933,-5.21746994362987,0.165889231801978,5.48345844691558,3,2,1,0.7,1,0,58,experiment_gam2,A,100
3.47430884211645,-0.80365269007622,-13.7538879731556,-9.8165303811718,1,3,2,0.7,1,0,59,experiment_gam2,A,100
3.47431557026815,-1.7346655101304,-1.37780312289704,-0.843064429745586,3,2,1,0.7,1,0,60,experiment_gam2,A,100
3.4743392976637,14.0111838310062,26.4823593973718,60.1368173761253,3,2,1,0.7,1,0,61,experiment_gam2,A,100
3.47431173979373,-1.37436490396468,-7.04893936554078,-4.93276854457914,1,3,2,0.7,1,0,62,experiment_gam2,A,100
3.47431303468614,-4.10942590972639,-5.92097892461643,-0.00181352020710124,2,3,1,0.7,1,0,63,experiment_gam2,A,100
3.47431678314915,-1.71627458332074,0.32209203671116,-0.511445656027366,3,1,2,0.7,1,0,64,experiment_gam2,A,100
3.47432406099114,-5.97857731485393,6.05366982531931,26.5875512107779,3,2,1,0.7,1,0,65,experiment_gam2,A,100
3.47432822482562,-9.55235796139345,55.8365064395208,8.66506477221363,3,1,2,0.7,1,0,66,experiment_gam2,A,100
3.47431533150095,0.414740102663518,-1.91114427553899,-2.40283403154451,1,2,3,0.7,1,0,67,experiment_gam2,A,100
3.47432749966451,14.6177698846947,13.9578888907121,15.348370662032,2,3,1,0.7,1,0,68,experiment_gam2,A,100
3.47431710896743,2.19148723658631,-1.62812310216351,0.0120571226975919,1,3,2,0.7,1,0,69,experiment_gam2,A,100
3.47431479235108,-1.75572932783069,-1.24494201692394,-1.36408539776177,3,1,2,0.7,1,0,70,experiment_gam2,A,100
3.47431369598403,-2.46304557754826,-1.85801995023494,-2.60257925116035,2,1,3,0.7,1,0,71,experiment_gam2,A,100
3.47431899696176,-7.498644908721,-1.23949332899675,13.8922891161326,3,2,1,0.7,1,0,72,experiment_gam2,A,100
3.47431505566359,-0.540134664505133,-1.22862328447597,-1.66227971947979,1,2,3,0.7,1,0,73,experiment_gam2,A,100
3.47431462366849,-1.16842600203884,-1.68498083937016,-1.75271253318999,1,2,3,0.7,1,0,74,experiment_gam2,A,100
3.47430702152689,2.13960123412285,-3.31128895005009,-27.3073462436861,1,2,3,0.7,1,0,75,experiment_gam2,A,100
3.47431773898802,8.25248229645135,-0.158289818144893,0.189826629695228,1,3,2,0.7,1,0,76,experiment_gam2,A,100
3.47432401169758,-2.32037703811097,32.6214589152889,4.9974783715572,3,1,2,0.7,1,0,77,experiment_gam2,A,100
3.47432720192585,9.1978711188458,30.7613591862576,6.60771411416512,2,1,3,0.7,1,0,78,experiment_gam2,A,100
3.4743143187857,-1.48298106581612,-1.44429241105371,-1.65370975338209,2,1,3,0.7,1,0,79,experiment_gam2,A,100
3.47431512103798,-1.69007422325924,-1.30545646116893,-1.13783906508796,3,2,1,0.7,1,0,80,experiment_gam2,A,100
3.47431397083364,-1.39309758279473,-3.17219154583683,-1.60987510865316,1,3,2,0.7,1,0,81,experiment_gam2,A,100
3.47431532157168,-1.18235496973823,-2.11483411489898,-0.281283179047618,2,3,1,0.7,1,0,82,experiment_gam2,A,100
3.47431459050086,-1.4135493081136,-1.15555901726352,-1.13564127588808,3,2,1,0.7,1,0,83,experiment_gam2,A,100
3.47431483269851,-4.16522838516242,-0.845917801831287,-1.32385968599632,3,1,2,0.7,1,0,84,experiment_gam2,A,100
3.47431469079353,1.26225502433065,-1.52977461041443,-3.83649804544853,1,2,3,0.7,1,0,85,experiment_gam2,A,100
3.47431613326055,2.58537179650808,1.09943772079127,-2.74510493005208,1,2,3,0.7,1,0,86,experiment_gam2,A,100
3.47431130263532,4.73400820069852,-16.5233136657085,-5.22913466309867,1,3,2,0.7,1,0,87,experiment_gam2,A,100
3.47431549909999,-1.04576380221281,1.8787242477672,-2.21128951198425,2,1,3,0.7,1,0,88,experiment_gam2,A,100
3.47431412126465,-1.76970070153029,-0.722978121468044,-2.45778375587921,2,1,3,0.7,1,0,89,experiment_gam2,A,100
3.47431503566541,-2.14713296247438,-2.02497573380511,0.0580479462858481,3,2,1,0.7,1,0,90,experiment_gam2,A,100
3.47430848949059,-0.827417109900547,-19.5420726713014,-7.78730576482589,1,3,2,0.7,1,0,91,experiment_gam2,A,100
3.47431417304257,-2.509764166804,-1.21782541882664,-1.17464321132645,3,2,1,0.7,1,0,92,experiment_gam2,A,100
3.47431624095519,-3.92558736798248,-1.63903786635507,3.26064550312174,3,2,1,0.7,1,0,93,experiment_gam2,A,100
3.47431495897559,-0.396681229312525,-1.46793623281491,-1.25742461018102,1,3,2,0.7,1,0,94,experiment_gam2,A,100
3.4743151492544,-1.30044515213514,-1.84849322704043,-1.51081359047066,1,3,2,0.7,1,0,95,experiment_gam2,A,100
3.47433350722241,32.0787933365599,4.74816709688811,33.4246582794506,2,3,1,0.7,1,0,96,experiment_gam2,A,100
3.47430852854138,-8.90094190695184,-1.52172096226792,-15.5468591328047,2,1,3,0.7,1,0,97,experiment_gam2,A,100
3.47431322041336,-3.47726524924505,-1.76621872092506,-1.94228771853024,3,1,2,0.7,1,0,98,experiment_gam2,A,100
3.47431673479595,-1.62729989968673,4.85551039712062,-2.07410646011379,2,1,3,0.7,1,0,99,experiment_gam2,A,100
3.47431414077031,-0.560439160763175,-0.951447352768879,-3.79822428483117,1,2,3,0.7,1,0,100,experiment_gam2,A,100
3.4743128221385,-2.16944424504854,-1.70012354687021,-3.62318881802922,2,1,3,0.7,1,0,1,experiment_gam2,A,100
3.47431304447816,-0.588954048412702,-7.98383168851446,-0.976435387901879,1,3,2,0.7,1,0,2,experiment_gam2,A,100
3.47431722942617,5.73243140616269,6.55107328997839,-3.94856433010874,2,1,3,0.7,1,0,3,experiment_gam2,A,100
3.47431474750481,-0.430777421927728,-1.98511798409316,-1.34405761380453,1,3,2,0.7,1,0,4,experiment_gam2,A,100
3.47431490205401,1.68391815171522,-2.32451189159316,-2.33686609006014,1,2,3,0.7,1,0,5,experiment_gam2,A,100
