correlation,pre_grouped,standardized,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,test_id,model_type,grouping,No_test_obs,MAD,MDR
0,1,0,0.693389560226449,0.544711532158838,-0.508378312770643,-0.33050942503558,2.13692488141064,2,3,5,4,1,1,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.812095837364173,0.539147239440137,0.813336199078727,1.24173205151974,1.70415307796616,4,5,3,2,1,2,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.10357787992647,0.70935264147913,-1.18572431681928,-0.763256348412329,-1.9293482224262,1,2,4,3,5,3,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.569901834126203,0.590391521058539,1.02072948069278,1.39296656682294,-0.0986681499102609,5,3,2,1,4,4,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.878824016625261,2.54177239745717,-0.586137094437191,1.31349389333844,0.0861593511647616,3,1,5,2,4,5,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.824388575811772,0.47017857659446,1.35699983437279,-0.972479753838109,-2.3000572611579,3,2,1,4,5,6,experiment1,B,100,0.757655096072702,0.8
0,1,0,-1.33973117330991,-0.742187002614116,-0.290509863932405,0.0866073917237536,0.63418730148802,5,4,3,2,1,7,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.310092713143896,0.157017377124168,0.956254487316518,0.670576616126415,-2.79359018208961,4,3,1,2,5,8,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.825321351812335,-0.529938900869528,1.36183847480117,-0.141458081685504,-1.57827325661262,2,4,1,3,5,9,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.180843587694194,-0.930104059198118,0.902586355218989,-0.560822799102519,1.92549140747898,3,5,2,4,1,10,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.351193646450574,-4.92276767851236,0.0802631410930044,0.958955842067167,-0.62035843553653,3,5,2,1,4,11,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.503157878216242,0.979777101209819,0.322506364093274,1.24370153083373,-0.811869531955953,3,2,4,1,5,12,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.5467070710753,-0.254163031237207,1.07615507967402,0.656145757206782,-2.75681688012792,1,4,2,3,5,13,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.705138989066814,-1.12352841709923,0.672582465157371,1.02831139706417,-2.33067923606599,2,4,3,1,5,14,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.041507311318486,-0.339076669619873,-0.426705625243771,0.470027081556847,1.05020743068375,3,4,5,2,1,15,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.678493705902586,0.742004757152808,-0.444101748978752,-2.09860645207236,-0.167280913880276,4,1,3,5,2,16,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.19910786944675,-1.67884212125298,-0.254005186321834,1.09512195755473,-1.19809215144112,1,5,3,2,4,17,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.116920733119801,-0.948583527041712,1.11615446581899,-1.03469857525983,-1.89534991379173,2,3,1,4,5,18,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.232357465943535,-1.02888600244677,-1.4057873298152,-0.274008947128179,-1.43825337862177,1,3,4,2,5,19,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.884155037710093,-1.57939330382829,1.13011978377934,0.560544323114474,3.06436314904952,3,5,2,4,1,20,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.18084338287349,-1.99635455660692,1.55420992100848,1.28125815163737,-0.245413533213251,3,5,1,2,4,21,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.669199695644572,-0.853399027030863,0.816072350695291,0.301381072314467,1.30353063550085,4,5,2,3,1,22,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.150652844274116,0.355321657464817,0.707345222990939,-0.396654681921649,0.504189200264103,4,3,1,5,2,23,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.26890486837815,1.12239146323924,-1.16071753824939,1.02273877067202,1.00566266749855,1,2,5,3,4,24,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.266679521560525,0.9013670201518,-0.165026990912497,-0.618810124039157,0.096845663309035,2,1,4,5,3,25,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.704634278738973,-1.3437076521279,-0.507973308368708,-0.464020460522622,-1.87406774658744,1,4,3,2,5,26,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.30390486958831,2.32456034713096,0.407385156712619,-0.00247950548063111,-1.3632583758489,3,1,2,4,5,27,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.960073839683927,0.886285194919834,-1.43488431155494,-0.826116077613578,0.967091540373218,2,3,5,4,1,28,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.480612694914152,-0.807108750954012,-0.0120477022623374,-1.40084525725179,-1.50501902454549,2,3,1,4,5,29,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.41421499064174,-0.214605766526632,-0.0311569460755564,-0.299696208486771,0.390164942797576,1,4,3,5,2,30,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.15438521266368,1.63514724843047,-0.513556366437771,-0.761212153583888,-0.718987603351741,2,1,3,5,4,31,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.175442424316749,-1.2461068729736,2.62298332320323,-0.947624756481193,0.337714699448796,3,5,1,4,2,32,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.428058302777358,0.196430813534572,-0.351636852189884,-1.19836576205793,-0.910878487618675,1,2,3,5,4,33,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.511381547813221,-1.32995167324213,0.187918061852778,0.343442526301131,-0.202476472212138,4,5,2,1,3,34,experiment1,B,100,0.757655096072702,0.8
