n_vars,n_test,n_train,correlation,model,n_batches,n_samples,n_cores,computer_name,approach,time
5,5,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,0.600000000000023
7,5,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,1.51400000000001
5,5,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,2.32
7,5,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,2.762
10,5,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,6.578
5,20,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,2.482
7,20,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,4.274
10,20,1000,0.5,xgboost,1,1000,16,Linuxjullum,independence,17.377
5,5,10000,0.5,xgboost,1,1000,16,Linuxjullum,independence,2.156
7,5,10000,0.5,xgboost,1,1000,16,Linuxjullum,independence,2.963
10,5,10000,0.5,xgboost,1,1000,16,Linuxjullum,independence,7.106
5,20,10000,0.5,xgboost,1,1000,16,Linuxjullum,independence,2.65199999999999
7,20,10000,0.5,xgboost,1,1000,16,Linuxjullum,independence,4.805
10,20,10000,0.5,xgboost,1,1000,16,Linuxjullum,independence,18.324
5,5,1000,0.5,xgboost,2,1000,16,Linuxjullum,independence,3.03200000000001
7,5,1000,0.5,xgboost,2,1000,16,Linuxjullum,independence,3.283
10,5,1000,0.5,xgboost,2,1000,16,Linuxjullum,independence,5.735
5,20,1000,0.5,xgboost,2,1000,16,Linuxjullum,independence,3.18299999999999
7,20,1000,0.5,xgboost,2,1000,16,Linuxjullum,independence,4.505
10,20,1000,0.5,xgboost,2,1000,16,Linuxjullum,independence,11.368
5,5,10000,0.5,xgboost,2,1000,16,Linuxjullum,independence,3.29600000000001
7,5,10000,0.5,xgboost,2,1000,16,Linuxjullum,independence,3.631
10,5,10000,0.5,xgboost,2,1000,16,Linuxjullum,independence,6.07499999999999
5,20,10000,0.5,xgboost,2,1000,16,Linuxjullum,independence,3.53999999999999
7,20,10000,0.5,xgboost,2,1000,16,Linuxjullum,independence,4.554
10,20,10000,0.5,xgboost,2,1000,16,Linuxjullum,independence,12.123
