rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed
empirical_sigma.0001,0.455441501546369,0.468747340321353,0.481723481659619,0.46863744117578,0.34899390595835,0.361915224489006,0.374722338565108,0.362067900375107,0.001,0.001,0.001,0.001,0.001,0.001,15.871,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
empirical_sigma.001,0.30283379632034,0.306452469524709,0.31538936409216,0.30822520997907,0.236987491314544,0.248103462414549,0.25170300074955,0.245652605077973,0.01,0.01,0.01,0.01,0.01,0.01,17.125,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0732955386374416,0.0788756993932169,0.0849312915020432,0.0790341765109006,0.0806102175524607,0.0908142013701325,0.0845918658592527,0.0855456217505118,0.1,0.1,0.1,0.1,0.1,0.1,18.984,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
empirical_sigma.02,0.0511749586432209,0.0500420478083907,0.0608228452174035,0.0540132838896717,0.0501953669240436,0.051352799816192,0.0542151519419567,0.0521561400563112,0.2,0.2,0.2,0.2,0.2,0.2,18.726,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
empirical_sigma.03,0.0406840021395797,0.0370623220228118,0.0497374555810637,0.0424945932478184,0.0348347507641939,0.0312635979917252,0.0412672243436405,0.0364075758882613,0.3,0.3,0.3,0.3,0.3,0.3,18.79,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
empirical_independence,0.0255798716487376,0.0181921743944664,0.0397640167937295,0.0278453542789778,0.015173279765645,0.0124617632263878,0.015722342736357,0.017056230838372,Inf,Inf,Inf,Inf,Inf,Inf,19.049,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
Gaussian,0.0323159927422548,0.0249676887898532,0.0422095609403687,0.0331644141574922,0.0235985053392125,0.0185840952723977,0.0260804570603016,0.0240219601202937,,,,,,,16.561,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
copula,0.0330069936497401,0.0255935995948284,0.0429049417793959,0.0338351783413215,0.0235728395284383,0.0190725412588703,0.0263359320444897,0.0242409201516574,,,,,,,44.108,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,1000,1,1000,123
empirical_sigma.0001,0.493975171558097,0.463283912505628,0.459222469041074,0.4721605177016,0.35658013282478,0.367530257548231,0.363412353852099,0.362746824224633,0.001,0.001,0.001,0.001,0.001,0.001,16.6,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_sigma.001,0.317367591317743,0.296312187620262,0.319096616050712,0.310925464996239,0.248527128228276,0.246448362216551,0.252273670348112,0.24922701806811,0.01,0.01,0.01,0.01,0.01,0.01,17.5630000000001,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0770695483410847,0.075944882450437,0.0809136784466557,0.0779760364127258,0.0778933407459952,0.0850911487603622,0.0785703201834683,0.0805848644607267,0.1,0.1,0.1,0.1,0.1,0.1,19.034,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_sigma.02,0.0511065829431803,0.0508405237000164,0.0579361480476705,0.0532944182302891,0.0469435770090476,0.0499852704029041,0.0542136682366471,0.0505589333942034,0.2,0.2,0.2,0.2,0.2,0.2,18.978,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_sigma.03,0.0391275783045405,0.0421896109737768,0.0479661795469846,0.0430944562751007,0.0339464325758874,0.0342587889998221,0.0429496851157841,0.0374531750027371,0.3,0.3,0.3,0.3,0.3,0.3,19.359,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_independence,0.095089598696837,0.0925173244793401,0.0956777712269207,0.0944282314676992,0.0718671563562107,0.0672084641544389,0.0694230104884508,0.0695159491789094,Inf,Inf,Inf,Inf,Inf,Inf,19.376,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
Gaussian,0.033281716158678,0.0251679819636661,0.0447051490379507,0.0343849490534316,0.023936254842024,0.0190359053870258,0.0264443724694648,0.024672961571674,,,,,,,16.917,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
copula,0.0340360161554418,0.0265905218162459,0.0455676770294927,0.0353980716670601,0.0234396011243695,0.0198518754420125,0.0267636777315767,0.0247763958332568,,,,,,,44.17,Linear,Linear,Gaussian,All var equal contribution,0.1,1,0.1,2000,1000,1,1000,123
empirical_sigma.0001,0.468099809249193,0.473128977106538,0.457018160132478,0.46608231549607,0.363661355561004,0.357195090447849,0.342938743682733,0.354649645046677,0.001,0.001,0.001,0.001,0.001,0.001,16.4289999999999,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_sigma.001,0.292917530278664,0.299783735192796,0.29169539627223,0.294798887247897,0.230460666841607,0.235558893628667,0.233030338720324,0.232975423782609,0.01,0.01,0.01,0.01,0.01,0.01,17.317,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0740361439854918,0.0707786018446746,0.0749191622048762,0.0732446360116809,0.0717506511714816,0.0789911022218705,0.072688539918521,0.0745425405902554,0.1,0.1,0.1,0.1,0.1,0.1,18.664,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_sigma.02,0.0501383516923236,0.0491561616816093,0.0560106475850131,0.0517683869863153,0.0449351644399035,0.0473912927603312,0.0533260731185445,0.0487562632474683,0.2,0.2,0.2,0.2,0.2,0.2,19.164,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_sigma.03,0.0407996221349527,0.0453645987113935,0.0490058310491354,0.0450566839651605,0.0335455242000912,0.0381322138580852,0.0452999984805045,0.039421624971771,0.3,0.3,0.3,0.3,0.3,0.3,19.3010000000002,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_independence,0.170685005933826,0.168082019732341,0.167887347769157,0.168884791145108,0.128792901274377,0.122348655928971,0.122391671881352,0.124512882080739,Inf,Inf,Inf,Inf,Inf,Inf,18.692,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
Gaussian,0.0336794386868637,0.0253998860224721,0.0465242366498939,0.0352011871197433,0.0237533952604552,0.0192849025280308,0.0266021926982655,0.0249625045428144,,,,,,,16.798,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
copula,0.034864312932531,0.0268694214363618,0.0477687002558998,0.0365008115415975,0.0235138823465419,0.019984432588787,0.02726655634799,0.0252790803479528,,,,,,,43.8519999999999,Linear,Linear,Gaussian,All var equal contribution,0.2,1,0.1,2000,1000,1,1000,123
empirical_sigma.0001,0.472832467223809,0.476905416659993,0.472122492143621,0.473953458675808,0.35037107408047,0.360113464767918,0.362353580390404,0.357537470635851,0.001,0.001,0.001,0.001,0.001,0.001,16.307,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_sigma.001,0.28685474528263,0.291665435329618,0.291756344541181,0.290092175051143,0.225276879750033,0.226777742559266,0.229558536615767,0.227147078064068,0.01,0.01,0.01,0.01,0.01,0.01,17.3219999999999,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0724052897347451,0.0698976729608273,0.0757316527760406,0.0726782051572043,0.069750276111935,0.0717459862570869,0.0768130776457536,0.0728454058498408,0.1,0.1,0.1,0.1,0.1,0.1,18.8969999999999,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_sigma.02,0.0482178697325274,0.0477279147896579,0.0551397542744795,0.0503618462655549,0.0434676179394601,0.0456992247980809,0.0534869468674743,0.0478487891772965,0.2,0.2,0.2,0.2,0.2,0.2,19.222,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_sigma.03,0.0431365717767777,0.0483440146131886,0.0514607928125348,0.0476471264008337,0.0335689965267238,0.0403790281745652,0.0479408710272786,0.0411812481246932,0.3,0.3,0.3,0.3,0.3,0.3,19.0780000000002,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_independence,0.232924891510197,0.22994922993416,0.227804963598177,0.230226361680844,0.17570095107666,0.167697165078135,0.16701651496953,0.170140100765226,Inf,Inf,Inf,Inf,Inf,Inf,18.8099999999999,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
Gaussian,0.0335605787050068,0.0257332029205961,0.0476121143407553,0.0356352986554527,0.0231897405921392,0.0194809552528064,0.0268524409956567,0.0250540397948705,,,,,,,16.944,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
copula,0.0350999039525128,0.0276031866154543,0.0492612476956814,0.0373214460878828,0.0238615172655115,0.0202899436912018,0.0285013213752071,0.0260397293173663,,,,,,,43.7090000000001,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_sigma.0001,0.454831563409046,0.476907563502448,0.473606483292871,0.468448536734788,0.353849538187735,0.349030794273903,0.356640381886844,0.353203653716768,0.001,0.001,0.001,0.001,0.001,0.001,16.3939999999998,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_sigma.001,0.273667867420756,0.291587077662526,0.287924171968803,0.284393039017362,0.2260928091281,0.229791430235516,0.223036976100088,0.226380494912685,0.01,0.01,0.01,0.01,0.01,0.01,17.4369999999999,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0683478595126969,0.0662847483458979,0.0736834212539592,0.0694386763708513,0.0698853263877754,0.0710834974963317,0.0774819915096384,0.0729356241152886,0.1,0.1,0.1,0.1,0.1,0.1,18.5880000000002,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_sigma.02,0.0449123131506185,0.0454779647422625,0.0546876919283022,0.0483593232737278,0.0406531021218014,0.0441585554729588,0.0510632433978856,0.045702729850836,0.2,0.2,0.2,0.2,0.2,0.2,18.9469999999997,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_sigma.03,0.0444110453517198,0.0502998628964233,0.0537754266487676,0.0494954449656369,0.0341573746366679,0.0410072004210685,0.0488495126947944,0.0419361901076438,0.3,0.3,0.3,0.3,0.3,0.3,19.1379999999999,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_independence,0.281325088151915,0.277946101471675,0.274441835285022,0.277904341636204,0.212060643694194,0.202881759548341,0.201927652420027,0.205624714788608,Inf,Inf,Inf,Inf,Inf,Inf,18.9560000000001,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
Gaussian,0.0329406616359475,0.0260955161541051,0.0479756586310289,0.0356706121403605,0.0222879726204649,0.0197592783234506,0.0271103964377293,0.0249780397317024,,,,,,,17.2760000000003,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
