rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_X4,skillscoremean_X5,skillscoremean_X6,skillscoremean_X7,skillscoremean_X8,skillscoremean_X9,skillscoremean_X10,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_X4,absrelmean_X5,absrelmean_X6,absrelmean_X7,absrelmean_X8,absrelmean_X9,absrelmean_X10,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_X4,absmean_X5,absmean_X6,absmean_X7,absmean_X8,absmean_X9,absmean_X10,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_X4,abssd_X5,abssd_X6,abssd_X7,abssd_X8,abssd_X9,abssd_X10,abssd_total,h_X_1,h_X_2,h_X_3,h_X_4,h_X_5,h_X_6,h_X_7,h_X_8,h_X_9,h_X_10,h_X_1_2,h_X_1_3,h_X_1_4,h_X_1_5,h_X_1_6,h_X_1_7,h_X_1_8,h_X_1_9,h_X_1_10,h_X_2_3,h_X_2_4,h_X_2_5,h_X_2_6,h_X_2_7,h_X_2_8,h_X_2_9,h_X_2_10,h_X_3_4,h_X_3_5,h_X_3_6,h_X_3_7,h_X_3_8,h_X_3_9,h_X_3_10,h_X_4_5,h_X_4_6,h_X_4_7,h_X_4_8,h_X_4_9,h_X_4_10,h_X_5_6,h_X_5_7,h_X_5_8,h_X_5_9,h_X_5_10,h_X_6_7,h_X_6_8,h_X_6_9,h_X_6_10,h_X_7_8,h_X_7_9,h_X_7_10,h_X_8_9,h_X_8_10,h_X_9_10,h_X_1_2_3,h_X_1_2_4,h_X_1_2_5,h_X_1_2_6,h_X_1_2_7,h_X_1_2_8,h_X_1_2_9,h_X_1_2_10,h_X_1_3_4,h_X_1_3_5,h_X_1_3_6,h_X_1_3_7,h_X_1_3_8,h_X_1_3_9,h_X_1_3_10,h_X_1_4_5,h_X_1_4_6,h_X_1_4_7,h_X_1_4_8,h_X_1_4_9,h_X_1_4_10,h_X_1_5_6,h_X_1_5_7,h_X_1_5_8,h_X_1_5_9,h_X_1_5_10,h_X_1_6_7,h_X_1_6_8,h_X_1_6_9,h_X_1_6_10,h_X_1_7_8,h_X_1_7_9,h_X_1_7_10,h_X_1_8_9,h_X_1_8_10,h_X_1_9_10,h_X_2_3_4,h_X_2_3_5,h_X_2_3_6,h_X_2_3_7,h_X_2_3_8,h_X_2_3_9,h_X_2_3_10,h_X_2_4_5,h_X_2_4_6,h_X_2_4_7,h_X_2_4_8,h_X_2_4_9,h_X_2_4_10,h_X_2_5_6,h_X_2_5_7,h_X_2_5_8,h_X_2_5_9,h_X_2_5_10,h_X_2_6_7,h_X_2_6_8,h_X_2_6_9,h_X_2_6_10,h_X_2_7_8,h_X_2_7_9,h_X_2_7_10,h_X_2_8_9,h_X_2_8_10,h_X_2_9_10,h_X_3_4_5,h_X_3_4_6,h_X_3_4_7,h_X_3_4_8,h_X_3_4_9,h_X_3_4_10,h_X_3_5_6,h_X_3_5_7,h_X_3_5_8,h_X_3_5_9,h_X_3_5_10,h_X_3_6_7,h_X_3_6_8,h_X_3_6_9,h_X_3_6_10,h_X_3_7_8,h_X_3_7_9,h_X_3_7_10,h_X_3_8_9,h_X_3_8_10,h_X_3_9_10,h_X_4_5_6,h_X_4_5_7,h_X_4_5_8,h_X_4_5_9,h_X_4_5_10,h_X_4_6_7,h_X_4_6_8,h_X_4_6_9,h_X_4_6_10,h_X_4_7_8,h_X_4_7_9,h_X_4_7_10,h_X_4_8_9,h_X_4_8_10,h_X_4_9_10,h_X_5_6_7,h_X_5_6_8,h_X_5_6_9,h_X_5_6_10,h_X_5_7_8,h_X_5_7_9,h_X_5_7_10,h_X_5_8_9,h_X_5_8_10,h_X_5_9_10,h_X_6_7_8,h_X_6_7_9,h_X_6_7_10,h_X_6_8_9,h_X_6_8_10,h_X_6_9_10,h_X_7_8_9,h_X_7_8_10,h_X_7_9_10,h_X_8_9_10,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.759740792843673,0.83624601573525,0.808926119354105,0.792336404763508,0.781725992511966,0.794852369968631,0.801864320762592,0.818996080724153,0.815911349513435,0.787917950851929,0.799851739702924,0.147052224030868,0.116839830612335,0.119615583846326,0.129564390942167,0.147309780625687,0.216625946193452,0.0844267542548455,0.108738973312487,0.090175819492134,1.13233377136977,0.229268307468007,0.111290919716275,0.0902124373355317,0.0958882231496726,0.0978008794193604,0.115975515965054,0.0943212829188844,0.09010635635578,0.0902965162951643,0.0942700419671362,0.133377352126811,0.101353952524967,0.0816901296785457,0.0775018121779836,0.0839292824209081,0.0885190843453302,0.0910698607761906,0.075259467979815,0.066979070914433,0.071789814772012,0.0807011573064095,0.138071716525272,0.0882594789787876,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,186.921,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
comb_sigma.01,0.86990348464377,0.907236367346625,0.905541446149769,0.877462858793206,0.864524196587236,0.888425092173275,0.87755358340417,0.869654778254476,0.891855887979669,0.875548614284577,0.882770630961677,0.0708245751795172,0.0637711025225934,0.0480040584773912,0.0711367233768884,0.0649121163603418,0.144109336004401,0.0704452642946212,0.0758274257669686,0.0554962180699084,0.309765966449325,0.0974292786501956,0.0602622518289453,0.0511036933564263,0.0474029357616489,0.0577098752331187,0.0719823509101825,0.051299098342807,0.0556850764624377,0.0650246662416449,0.055379568222753,0.0782668611601654,0.059411637752013,0.0464402384785789,0.0402106464880353,0.0383079988248841,0.0469774009220253,0.0459628173788609,0.0403737340012026,0.0435422725866058,0.057982934586438,0.0456795098284588,0.0897481002484062,0.0521622912442753,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1381.994,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
comb_independence,0.313409904793643,0.332436740855458,0.273623430685318,0.275551355597409,0.291849752532388,0.2664754235838,0.327182502881365,0.316228140630641,0.307647149997641,0.330894570624943,0.303529897218261,0.323917490450629,0.450775961817462,0.364495717048014,0.422546566094101,0.445656501854414,0.792946519757363,0.270496167305848,0.292262319338837,0.288496654525354,1.32979647728933,0.498139037548135,0.318036690739109,0.367762097230656,0.364523703259157,0.341185051891495,0.376261430648536,0.337254586316828,0.305977870271078,0.341109833912635,0.354547290412953,0.420797096322894,0.352745565100534,0.249051748889041,0.25707186388867,0.242092076159015,0.22425585899791,0.257023527540901,0.250620129990711,0.239033483603941,0.293454921859656,0.234439999097463,0.295674675479928,0.25595199667718,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1395.889,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
comb_AIC_each_k,0.894134866308168,0.927549190000918,0.876411288475341,0.862477506100116,0.875458123888934,0.860883116003774,0.90429205735061,0.88898635973091,0.924406401346299,0.917929611379702,0.893252852058477,0.0581678993871538,0.0404248428461196,0.056282581887807,0.0845249716018871,0.0556401915491397,0.162208991109059,0.0512370741421631,0.0621930011482963,0.0403255751276802,0.465803457954607,0.107680858675391,0.0490379879043904,0.0399133137816276,0.0620215694023566,0.0647673504257468,0.066172827939802,0.0639621475139402,0.0435251945517155,0.0553808172643312,0.0387107608138578,0.0516136616284351,0.0535105631226203,0.0324071508375886,0.0334458258465668,0.0463783092805644,0.0456892549099715,0.0460900299161607,0.0414894466103653,0.0371721953222446,0.0417394191282969,0.0280824131697846,0.0619130572152416,0.0434016871788639,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,43752.875,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,0.515063750062344,0.682753254407013,0.456933296929216,0.567845715369855,0.704311026838424,1.11072420978032,0.412795258759452,0.418590017826204,0.408109901758682,1.08103243145117,0.635815886318269,0.463211882838948,0.550902243634454,0.501838465966868,0.470958230825112,0.531329943036905,0.459772715407249,0.454770976648853,0.498864978484549,0.512090461405257,0.628895055770086,0.507263495401828,0.357782862946271,0.375211403274988,0.333394188402676,0.310181720482834,0.388464723954622,0.35300305774527,0.347429112529431,0.435371778809355,0.351510300823649,0.437596678827603,0.372863172591663,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,171.665999999997,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
Gaussian,0.945543392299066,0.953884856124728,0.918293163170785,0.920085189902058,0.91738416996928,0.922433211975163,0.91451010550334,0.884907702544943,0.933258094842762,0.965402819700205,0.927570270603233,0.0466371182551792,0.024898185429338,0.0394436320347987,0.04188326056963,0.0662743942543545,0.0680914214921174,0.044958363347474,0.0631046721011698,0.0324399351783904,0.27131413406295,0.0699045116725402,0.0252249477861715,0.0254049362264129,0.0410036336533784,0.0376365375804513,0.043896264264169,0.035663092755598,0.0388783228138536,0.0574155164936542,0.034177893007036,0.0217579956341276,0.0361059140214853,0.0195767552851962,0.0214098468654313,0.0285916244348668,0.0262903008139307,0.0296643960369828,0.0246815509254398,0.030962150921342,0.0329130754648132,0.0261245542576231,0.0172590993473121,0.0279148781240548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.571000000004,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
copula,0.92744152846096,0.947599490334395,0.922340850819944,0.906692450141777,0.924708934269618,0.928651765173956,0.916955138272204,0.908741404522431,0.937902163737766,0.958071044277282,0.927910477001033,0.0666072824783438,0.0386140970986216,0.0519902298893655,0.041597159573368,0.0517645632940735,0.0658432359647224,0.0444928841036746,0.0482622304518176,0.0275021327151159,0.373023502125115,0.0809697317694218,0.0336099462175147,0.0288675583423708,0.0389723482928113,0.0439439586038546,0.0400043976657118,0.0328039716654843,0.0377663928736187,0.0455257172694478,0.0317997096237956,0.0263689129476201,0.035966291350223,0.0250641482742399,0.0243944366790453,0.0282434609316844,0.0313376714992702,0.0276425222816116,0.0248652630494368,0.0298169130381695,0.0305288000291189,0.027743407858404,0.0204551851587481,0.0277260983356313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.348,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
treeSHAP,0.248773924214602,0.22407958990753,0.135359600677821,0.183546445167257,0.223397809985165,0.142797312014601,0.269767656715684,0.188682045750904,0.190250474365809,0.000653455173630792,0.1807308313973,0.525884003617438,0.607487272353632,0.435740068157586,0.473662528258799,0.892251897087935,0.980418693507333,0.344035730744463,0.374910852978729,0.340563131613045,1.05558840719776,0.603054258551672,0.347976845002268,0.427456294801707,0.433909811608822,0.384515521734902,0.412631997382918,0.394118407509439,0.332088475935988,0.404738113790604,0.414665008204701,0.628484101042222,0.418058457701357,0.261511618123924,0.321906154173434,0.30368846511474,0.266078039173229,0.305932110324698,0.300847466720856,0.282119229952188,0.375190000358763,0.320222495751864,0.439120382425684,0.329308507512384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129999999990105,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
comb_Gaussian_AIC_each_k,0.898615609832084,0.928159392796964,0.869531027654353,0.86367908300765,0.872245437837394,0.854761495586679,0.905665558541381,0.875729639859993,0.917511463110447,0.913310189927251,0.88992088981542,0.049508412223889,0.0396297763239251,0.0574465025787951,0.0874608526278651,0.056829289002199,0.165833468737975,0.0515721228034112,0.0711745131957773,0.0444375176728269,0.484794055733669,0.110868651090033,0.046962454260159,0.0395771516922139,0.0654743489382133,0.064201457891174,0.0678798242365624,0.0667767015558003,0.0429005660737599,0.0619941305375116,0.0422415929164157,0.0545187929403999,0.055252702104221,0.0307138238217294,0.0324527145987646,0.0489106009228149,0.046984146569345,0.0463921307499953,0.0427415453532345,0.0346758845172771,0.0474228397553489,0.0273539955487795,0.0632155754926433,0.0444548058332536,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.267942800830877,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.189347435952754,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,0.163057070611086,43752.875,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,0wpbS,2019-02-08T12:54:44.931863Z
empirical_sigma.01,0.535202252052674,0.602757249034151,0.631704754781099,0.535577728112044,0.566875624224237,0.479093566957777,0.551144320993259,0.389419249527557,0.547656838710717,0.594989452990037,0.543442103738355,0.0833199284141505,0.0774480822550429,0.0813222250061737,0.080799804397747,0.080897575598705,0.125102212170238,0.0755318346516433,0.103298645297896,0.114004857858674,3.08056237421642,0.390228753986669,0.085537447626684,0.0847999724961498,0.0768930041037176,0.087026559528686,0.093648196224112,0.0967622533204682,0.0812099497948177,0.118768157779002,0.0925470566526836,0.0957092762130362,0.0912901873739357,0.0634737304286007,0.0675489913126158,0.0606147209831191,0.0744526050829657,0.0739617735757749,0.0656716343778894,0.0648147767225354,0.112256303968865,0.0843175077952516,0.07397757142025,0.0759464457531125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,189.341,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.1,1,0.1,2000,100,1,1000,1235,3QgYD,2019-02-08T12:54:44.893927Z
