rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.348225864298279,0.444898775132043,0.453866333951429,0.415663657793917,0.068651324473019,0.0547263587713707,0.0837712072593363,0.0690496301679086,0.0720885958869693,0.0631931626980475,0.0643668813354688,0.0665495466401619,0.0616827903926364,0.064263238964952,0.0682263268335501,0.0646838955620189,0.1,0.1,0.1,0.1,0.1,0.1,15.943,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
empirical_AIC_each_k,0.652720339328364,0.688823946680169,0.740401332216909,0.693981872741814,0.0361785854860643,0.030987293513452,0.0412051188540058,0.036123665951174,0.0384103967104617,0.0354245281477337,0.0305960933793705,0.034810339412522,0.0328732399083196,0.0366690124864107,0.0282730099044231,0.0328342379994034,0.507676974945059,0.507676974945059,0.507676974945059,0.334535254730384,0.334535254730384,0.334535254730384,1718.337,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
empirical_AIC_full,0.626103860938007,0.654823932796856,0.711887226309754,0.664271673348206,0.0391563735332012,0.0344430606110204,0.0448545047402552,0.0394846462948256,0.0413542762686017,0.0392951166328792,0.0339567433180425,0.0382020454065078,0.0360434412064717,0.047634067621446,0.0324808718631772,0.0392490701685894,0.501970887139341,0.46511750954884,0.538033285032392,0.286953601548508,0.331854605044371,0.38629419301505,2503.797,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
empirical_independence,0,0,0,0,0.100466427786309,0.0983355983529728,0.137783171963337,0.112195066034206,0.110603646168556,0.113840791313475,0.117859207986904,0.114101215156312,0.0839688194328023,0.0934964546681802,0.0918799626446564,0.08962642227822,Inf,Inf,Inf,Inf,Inf,Inf,14.5330000000004,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
Gaussian,0.767167815170113,0.791071088472322,0.839463095082297,0.799233999574911,0.0245419361972264,0.0216738059048107,0.0201978454161287,0.0221378625060553,0.0257520885875765,0.023784632616574,0.0189207524662694,0.02281915789014,0.018381669530416,0.0204762731930697,0.0137205307951019,0.0179249095904129,,,,,,,14.2330000000002,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
copula,0.703360266343739,0.690837611083452,0.810766427293224,0.734988101573472,0.0318401389362735,0.03173022599311,0.0229181186093956,0.0288294945129264,0.0328094361408516,0.0351952909986242,0.0223029190037528,0.0301025487144095,0.0196323080757744,0.0210806333658747,0.0151903302763186,0.0195608866518584,,,,,,,20.7929999999997,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
treeSHAP,0.217003221273844,0.156830060216,0.0228700888903273,0.13223445679339,0.080772289872911,0.0888879985072252,0.141938213762807,0.103866167380981,0.0866022986653466,0.0959871331567457,0.1151637574237,0.0992510630819307,0.0689493487046421,0.0747811051209188,0.0951430313159203,0.0810225140500483,,,,,,,0.0850000000000364,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1235,Rpx9G,2019-01-16T09:34:42.362245Z
empirical_sigma.01,0.259955727882067,0.0578822379097128,0.0982503488764992,0.138696104889426,0.0617970624481627,0.0752579903539122,0.0878954327606463,0.0749834951875737,0.0647497517981097,0.0795668930976178,0.0680671431767995,0.0707945960241757,0.0718424233907404,0.0805486397166461,0.0687828010319489,0.073919458801415,0.1,0.1,0.1,0.1,0.1,0.1,21.999,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
empirical_AIC_each_k,0.570219837513183,0.477151227888384,0.554932807701312,0.534101291034293,0.0376739127678439,0.0390590039682553,0.0377803699104644,0.0381710955488546,0.0376033703620613,0.0441573803518194,0.0335951915964112,0.0384519807700973,0.0404006390255698,0.0376549800487417,0.0228241267293606,0.0346612828591026,0.540271177723309,0.540271177723309,0.540271177723309,0.370970072261131,0.370970072261131,0.370970072261131,1971.69,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
empirical_AIC_full,0.549795143679624,0.41688740125984,0.542195805264098,0.502959450067854,0.0392524974829155,0.0441766947774374,0.0359020720102106,0.0397770880901878,0.0393904173079021,0.0492469834183914,0.0345566240377289,0.0410646749213408,0.0424267908817062,0.0396458343979557,0.0232467754048196,0.036508225124424,0.699465922775494,0.655191734640736,0.424025639318228,0.525639152457551,0.25524017373159,0.402319979688217,2217.825,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
empirical_independence,0,0,0,0,0.0858223782727733,0.0748106067111296,0.0958898063528868,0.0855075971122632,0.0874944300464652,0.0844553582357707,0.0754834150387458,0.0824777344403272,0.0729912560576702,0.0678513179712929,0.0592172016934845,0.0668993616069538,Inf,Inf,Inf,Inf,Inf,Inf,8.57099999999991,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
Gaussian,0.642945883526733,0.700600931183906,0.666014917663173,0.669853910791271,0.0323050199685838,0.0247921733273599,0.0246596876855062,0.0272522936604833,0.0312402464165727,0.0252858556123194,0.0252103345867804,0.0272454788718908,0.022662340796313,0.0200451216665157,0.0188686277462009,0.0207117473676583,,,,,,,10.5789999999997,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
copula,0.745083503692457,0.617485928577352,0.60802155989075,0.656863664053519,0.0228809313134057,0.033578647294678,0.0295696083278913,0.028676395645325,0.0223037735538704,0.0323053629322229,0.0295878712810067,0.0280656692557,0.0168055647993362,0.0235686824948592,0.0190577612509779,0.0203858148724078,,,,,,,16.2830000000004,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
treeSHAP,0.174346865782846,0.172440860423031,0.203176921619829,0.183321549275235,0.0713241887794242,0.0641849966040632,0.0840862330046365,0.0731984727960413,0.0722400503944075,0.0698918035942591,0.0601469271378215,0.0674262603754961,0.0593812692893037,0.0592972684095554,0.0547706025744381,0.057900673394486,,,,,,,0.056999999999789,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751326Z
empirical_sigma.01,0.437296859241631,0.236650736455497,0.266903386581097,0.313616994092742,0.057949829217423,0.0720409144010722,0.075778067780528,0.0685896037996744,0.0643661719432804,0.0832720540627081,0.0695286879706076,0.072388971325532,0.0606274755162324,0.0828961089054429,0.0754302595164455,0.073756799886999,0.1,0.1,0.1,0.1,0.1,0.1,10.93,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751359Z
empirical_AIC_each_k,0.631808543204578,0.549186794733891,0.59635629358825,0.592450543842239,0.0362814562258199,0.0429875548300997,0.0632820611450257,0.0475170240669818,0.0421164782983106,0.0491781984917231,0.038282563035611,0.0431924132752149,0.0448941992016753,0.0425945509185012,0.0266550573977485,0.0390350502609929,0.479482000829405,0.479482000829405,0.479482000829405,0.348484221180467,0.348484221180467,0.348484221180467,1905.72,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751359Z
empirical_AIC_full,0.56623210995868,0.398111509417187,0.528277472359847,0.497540363911905,0.0431077977437288,0.0583724258307233,0.0720115492988457,0.0578305909577659,0.0496175986440117,0.0656586615343106,0.0447393260760531,0.0533385287514585,0.0631654801412794,0.104128911864325,0.0560127140062647,0.0776537384486424,0.587135296742534,0.566146499958461,0.379181545770177,0.486263367450082,0.23101199338368,0.363924536018056,2289.634,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751359Z
empirical_independence,0,0,0,0,0.0996511209487277,0.0928084193105378,0.218335623958984,0.136931721406083,0.114387440341158,0.109087750574418,0.0948424623684324,0.106105884428003,0.0948270677328413,0.0866185630196264,0.0700740063763503,0.0845914870131489,Inf,Inf,Inf,Inf,Inf,Inf,9.98400000000038,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751359Z
Gaussian,0.713174603495208,0.782740760075809,0.737632532850024,0.74451596547368,0.0304913262770003,0.0214761309196705,0.0280717280473813,0.026679728414684,0.032809222931021,0.0237003217748377,0.0248835766298725,0.0271310404452438,0.0231312713017222,0.0187352415947336,0.0179855694034209,0.0204179811238236,,,,,,,9.30499999999938,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751359Z
copula,0.794876887366634,0.671151208812925,0.682946341486371,0.71632481255531,0.0216293263834371,0.0329654068388637,0.0393325439065924,0.0313090923762977,0.0234635078089419,0.0358733749097144,0.0300701496763527,0.0298023441316696,0.0171785117402942,0.0245297193117746,0.0199434570778716,0.0213171179431573,,,,,,,13.5029999999997,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.16,1,0.1,2000,100,1,1000,1240,YNMJS,2019-01-16T09:39:30.751359Z
