rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,h_X_1_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.531049096370515,0.45869145893279,0.428453603228451,0.472731386177252,0.467883456384861,3.73439146207714,0.335047419432682,1.51244077929823,0.172221280152685,0.206247256132246,0.193801121166412,0.190756552483781,0.21162723561383,0.250197321612086,0.246272424964338,0.236294791066529,0.1,0.1,0.1,0.1,0.1,0.1,,3.429,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,C7JZE,2019-01-18T15:40:32.180489Z
empirical_AIC_each_k,0.559892851401894,0.482978234092622,0.456944938969836,0.499938674821451,0.436989340019661,3.27517069183963,0.323722452524071,1.34529416146112,0.161628468885091,0.196993604366211,0.184140220771625,0.180920764674309,0.197778735413096,0.237131599105558,0.236939166420244,0.224438359512236,0.111846246192078,0.111846246192078,0.111846246192078,0.104693893677235,0.104693893677235,0.104693893677235,,2062.25,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,C7JZE,2019-01-18T15:40:32.180489Z
empirical_AIC_full,0.563686134617932,0.450988610481348,0.47065721459215,0.495110653230477,0.430758332041815,5.24172152933877,0.361006942145494,2.01116226784203,0.160235393221111,0.209182165221949,0.179490634308727,0.182969397583929,0.212297178993179,0.284342151652605,0.238599873968617,0.246878839588648,0.105196462582016,0.304156608109802,0.100713181367967,0.125347266927516,0.0690358097929996,0.117624529135137,,1893.516,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,C7JZE,2019-01-18T15:40:32.180489Z
empirical_independence,0,0,0,0,0.729394916792854,4.67580248114715,0.52948546551413,1.97822762115138,0.367247997220528,0.381016075832873,0.339082045239234,0.362448706097545,0.388409171441369,0.396410147659685,0.358937484770121,0.380715837279299,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.29099999999971,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,C7JZE,2019-01-18T15:40:32.180489Z
Gaussian,0.204343332310617,0.248778045820684,0.241925711619746,0.231682363250349,1.63367045081965,3.57151636901062,0.554509303276107,1.91989870770212,0.292203317684085,0.286227641060905,0.257049380147253,0.278493446297414,0.272517504795112,0.261781295128295,0.251473538590663,0.261639711202845,,,,,,,,4.72299999999996,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,C7JZE,2019-01-18T15:40:32.180489Z
copula,0.125401321354736,0.149789917260225,0.122921091191118,0.13270410993536,1.43193144978324,5.07456587751758,0.66809338332839,2.3915302368764,0.321194613104193,0.323943709359051,0.297401710235111,0.314180010899452,0.318418826117749,0.324916129238473,0.291006961104599,0.310978430135737,,,,,,,,10.7400000000002,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,C7JZE,2019-01-18T15:40:32.180489Z
empirical_sigma.01,0.787022015271447,0.766660421674273,0.741233921120454,0.764972119355391,0.220842012848912,0.16238823107601,0.257793019211523,0.213674421045482,0.151875962142641,0.16687509172168,0.176334838430541,0.165028630764954,0.241835916522175,0.321979106796606,0.316028581903801,0.294721205232174,0.1,0.1,0.1,0.1,0.1,0.1,,3.47,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,hOdxc,2019-01-18T15:40:32.218210Z
empirical_AIC_each_k,0.735847461634433,0.658304202530413,0.665771735166377,0.686641133110408,0.170296089903389,0.231898707024165,0.334833046663586,0.245675947863713,0.188368863419491,0.244367106312556,0.227758164182684,0.22016471130491,0.300644841318809,0.463129708807989,0.426161563003227,0.402034798037682,0.0531412893923383,0.0531412893923383,0.0531412893923383,0.0772668248404954,0.0772668248404954,0.0772668248404954,,3200.999,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,hOdxc,2019-01-18T15:40:32.218210Z
empirical_AIC_full,0.71641156293492,0.726472453259205,0.668709898031981,0.703864638075369,0.299131745067651,0.172400027439236,0.252136220110592,0.241222664205826,0.202228727005193,0.195615912132398,0.225755967927162,0.207866869021584,0.30783054481694,0.331208215579908,0.389626563604563,0.343699432182752,0.035102155834855,0.132921962350264,0.0926967396332973,0.0796641955152617,0.0753511454120608,0.0756368044440177,,2411.352,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,hOdxc,2019-01-18T15:40:32.218210Z
empirical_independence,0,0,0,0,0.866193464143794,0.643059289273522,0.591278336109636,0.700177029842318,0.7131063914245,0.715159823802942,0.6814449528859,0.70323705603778,0.705987593827803,0.827017177206856,0.69434219404711,0.742533978060065,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.03999999999996,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,hOdxc,2019-01-18T15:40:32.218210Z
