rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_X4,skillscoremean_X5,skillscoremean_X6,skillscoremean_X7,skillscoremean_X8,skillscoremean_X9,skillscoremean_X10,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_X4,absrelmean_X5,absrelmean_X6,absrelmean_X7,absrelmean_X8,absrelmean_X9,absrelmean_X10,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_X4,absmean_X5,absmean_X6,absmean_X7,absmean_X8,absmean_X9,absmean_X10,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_X4,abssd_X5,abssd_X6,abssd_X7,abssd_X8,abssd_X9,abssd_X10,abssd_total,h_X_1,h_X_2,h_X_3,h_X_4,h_X_5,h_X_6,h_X_7,h_X_8,h_X_9,h_X_10,h_X_1_2,h_X_1_3,h_X_1_4,h_X_1_5,h_X_1_6,h_X_1_7,h_X_1_8,h_X_1_9,h_X_1_10,h_X_2_3,h_X_2_4,h_X_2_5,h_X_2_6,h_X_2_7,h_X_2_8,h_X_2_9,h_X_2_10,h_X_3_4,h_X_3_5,h_X_3_6,h_X_3_7,h_X_3_8,h_X_3_9,h_X_3_10,h_X_4_5,h_X_4_6,h_X_4_7,h_X_4_8,h_X_4_9,h_X_4_10,h_X_5_6,h_X_5_7,h_X_5_8,h_X_5_9,h_X_5_10,h_X_6_7,h_X_6_8,h_X_6_9,h_X_6_10,h_X_7_8,h_X_7_9,h_X_7_10,h_X_8_9,h_X_8_10,h_X_9_10,h_X_1_2_3,h_X_1_2_4,h_X_1_2_5,h_X_1_2_6,h_X_1_2_7,h_X_1_2_8,h_X_1_2_9,h_X_1_2_10,h_X_1_3_4,h_X_1_3_5,h_X_1_3_6,h_X_1_3_7,h_X_1_3_8,h_X_1_3_9,h_X_1_3_10,h_X_1_4_5,h_X_1_4_6,h_X_1_4_7,h_X_1_4_8,h_X_1_4_9,h_X_1_4_10,h_X_1_5_6,h_X_1_5_7,h_X_1_5_8,h_X_1_5_9,h_X_1_5_10,h_X_1_6_7,h_X_1_6_8,h_X_1_6_9,h_X_1_6_10,h_X_1_7_8,h_X_1_7_9,h_X_1_7_10,h_X_1_8_9,h_X_1_8_10,h_X_1_9_10,h_X_2_3_4,h_X_2_3_5,h_X_2_3_6,h_X_2_3_7,h_X_2_3_8,h_X_2_3_9,h_X_2_3_10,h_X_2_4_5,h_X_2_4_6,h_X_2_4_7,h_X_2_4_8,h_X_2_4_9,h_X_2_4_10,h_X_2_5_6,h_X_2_5_7,h_X_2_5_8,h_X_2_5_9,h_X_2_5_10,h_X_2_6_7,h_X_2_6_8,h_X_2_6_9,h_X_2_6_10,h_X_2_7_8,h_X_2_7_9,h_X_2_7_10,h_X_2_8_9,h_X_2_8_10,h_X_2_9_10,h_X_3_4_5,h_X_3_4_6,h_X_3_4_7,h_X_3_4_8,h_X_3_4_9,h_X_3_4_10,h_X_3_5_6,h_X_3_5_7,h_X_3_5_8,h_X_3_5_9,h_X_3_5_10,h_X_3_6_7,h_X_3_6_8,h_X_3_6_9,h_X_3_6_10,h_X_3_7_8,h_X_3_7_9,h_X_3_7_10,h_X_3_8_9,h_X_3_8_10,h_X_3_9_10,h_X_4_5_6,h_X_4_5_7,h_X_4_5_8,h_X_4_5_9,h_X_4_5_10,h_X_4_6_7,h_X_4_6_8,h_X_4_6_9,h_X_4_6_10,h_X_4_7_8,h_X_4_7_9,h_X_4_7_10,h_X_4_8_9,h_X_4_8_10,h_X_4_9_10,h_X_5_6_7,h_X_5_6_8,h_X_5_6_9,h_X_5_6_10,h_X_5_7_8,h_X_5_7_9,h_X_5_7_10,h_X_5_8_9,h_X_5_8_10,h_X_5_9_10,h_X_6_7_8,h_X_6_7_9,h_X_6_7_10,h_X_6_8_9,h_X_6_8_10,h_X_6_9_10,h_X_7_8_9,h_X_7_8_10,h_X_7_9_10,h_X_8_9_10,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.791673560836367,0.714218723972808,0.779283573107264,0.765545201056588,0.765446410387113,0.756443852079641,0.787510637293335,0.704681243522138,0.740724445126404,0.688008119614315,0.749353576699597,1.03765534711765,0.397767107426239,0.412711970566055,2.72219460977659,0.327152126210783,0.601385269178553,0.453273859408665,0.783488910396933,0.560351684545628,0.898259400797324,0.819424028542442,0.288071118364831,0.489358583234947,0.190465474978509,0.292474996072939,0.47395679091552,0.200384024165183,0.20861795952621,0.286934494923629,0.187478276704875,0.26462028919299,0.288236200807963,0.456378708726202,0.435080022339514,0.238317681322954,0.232062183131154,0.812782883828622,0.231809247275751,0.243824794238298,0.436705527075032,0.207816875550473,0.487140668840888,0.429748136745104,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,173.659,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,1FyJf,2019-02-20T07:59:29.862146Z
comb_sigma.01,0.867384630970597,0.783250228773449,0.712546627726848,0.855861877070398,0.814170708821997,0.761736382013867,0.786916446168465,0.750365064332326,0.759160599822432,0.757981934633034,0.784937450033341,0.325795259189916,0.298693060579531,0.983224062440481,0.686620020376196,0.239978375684163,0.8586645771336,0.445372808233633,0.771867951796933,0.62147534718653,0.444167852331304,0.567585931495229,0.183378825184345,0.371152240757129,0.248055588136118,0.179807780125546,0.375500774258851,0.196029634200937,0.209201324916646,0.242547662855495,0.174147368925463,0.205271016566728,0.238509221592726,0.230748475959279,0.434546317237739,0.29928469041131,0.187265795677172,0.358273585885822,0.192866400386267,0.234237437210173,0.280901529871946,0.176000281783309,0.341662951435115,0.292803533887637,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1331.849,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,1FyJf,2019-02-20T07:59:29.862146Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,1.066843656471,1.51221416145735,2.67227173402262,1.26741996526542,2.03482216691589,2.08045580854032,0.958281477038148,1.4139646782641,2.75257491332484,1.01389909499259,1.67727476562923,1.38278712736295,1.71235355247131,0.862942000556541,1.24746858409808,2.02067592185542,0.822742623728418,0.981780720073974,0.971609451244381,0.723085046703596,0.84816402550562,1.15736090536003,1.2121700718431,1.16427851960825,0.606799113906245,1.11335719847634,1.27522242581799,0.760724928545721,0.955706924613452,0.98711102551172,0.596208500056448,0.840456345816919,1.05654624229459,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,168.236,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,1FyJf,2019-02-20T07:59:29.862146Z
Gaussian,0.855137294836981,0.75855687609445,0.636753491382338,0.845046450060887,0.790700460998689,0.379633937233492,0.671591700801958,0.563031411862142,0.336792916946235,0.431254025452581,0.626849856566975,0.561820453001982,0.326789520129103,1.46255968291231,1.89719329927006,0.39128912851304,2.13017769374075,0.804293269815778,1.46091761343013,2.13836911460532,1.61849207270913,1.27919018481276,0.200314283934398,0.41343599093944,0.313460668841704,0.193299685543517,0.42292653891539,0.510401602152585,0.322424936464923,0.424562810131656,0.479555124624088,0.482389875262255,0.376277151680995,0.19559506410381,0.362977294742799,0.365250122726026,0.18577225831198,0.310825626485296,0.472306672678961,0.261365560086172,0.410046340385842,0.381143248526316,0.490278949264955,0.372208369208887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.424,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,1FyJf,2019-02-20T07:59:29.862146Z
copula,0.690429688090054,0.668739108605984,0.41364365661848,0.652544716739756,0.697143402027748,0.282638632773091,0.50596440239417,0.42457288096128,0.257163282609665,0.322779312973844,0.491561908379407,1.24766321098983,0.473056093684121,2.45121738872511,4.21334855929212,0.440305596735369,2.26392817462543,1.15211130770946,1.78412835009835,2.38531526948808,1.74170273767519,1.81527766890231,0.428069842322805,0.567235764173356,0.505991515996667,0.433439550246055,0.611975035297577,0.590203773433672,0.485034624759629,0.559090427360346,0.537134122487336,0.574394224063786,0.529256888014123,0.432284816455077,0.609272351390964,0.483060456587795,0.409028856701769,0.559952845368039,0.53129168240699,0.496203850086492,0.619211003044694,0.42702913592543,0.622359383547573,0.525928816046057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728.451,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,1FyJf,2019-02-20T07:59:29.862146Z
treeSHAP,-0.00781350874081994,0.12748297547701,0.00360034446983776,-0.00473037212921466,-0.261871447730545,-0.00696584400510588,-0.00185211922898279,0.234539651988999,-0.0125729994313103,-0.0117684236493294,0.00580482570205382,1.04643525730064,1.37268277633836,2.6036462928293,1.03015363509107,2.48531285969723,2.03715471724621,0.971758048687386,1.51622114198131,2.78408706648854,0.973793421815052,1.68212452174751,1.39359154666929,1.49405762653364,0.859835112097047,1.25336957472037,2.54983325090596,0.828473720501661,0.983599095024268,0.743728508680302,0.73217639458459,0.85814557908189,1.1696810408799,1.21321632580695,0.963742865338806,0.606531361274711,1.15106614647945,1.97433117490603,0.780470039770838,0.95227611485587,0.894417784059222,0.619696224660543,0.868345022757712,1.18866783220735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0119999999997162,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,1FyJf,2019-02-20T07:59:29.862146Z
empirical_sigma.01,0.810815174627949,0.71798791365121,0.735023122475195,0.742737144603364,0.727261704128528,0.724881321968843,0.714518647932884,0.710791940444355,0.708674694710379,0.682688280076748,0.727537994461945,0.487035703753386,0.667123312945846,1.22579993447215,0.564685137323138,0.496191422999435,0.582913373545993,0.665417435951985,0.3286896413719,2.65546937022834,0.685247805344536,0.835857313793671,0.300620652736363,0.539979623827045,0.26081318078209,0.307433660192452,0.53486511553753,0.286353709044508,0.314978669384638,0.350619059129206,0.240851246861602,0.264908550162804,0.340142346765824,0.310159323825505,0.519109172700715,0.377218822713754,0.265152227839802,0.643150957643543,0.41134584847516,0.291245547024297,0.406614389429675,0.345483467338965,0.397076427276476,0.421798186947441,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,173.552,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,OGskg,2019-02-20T07:59:33.963459Z
comb_sigma.01,0.875545990167615,0.803950981787942,0.754153410445969,0.869517695650848,0.798803943360944,0.730851395333558,0.731880617878466,0.807994939975387,0.75528043345398,0.769323074835865,0.789730248289057,0.2437188432782,0.446429202018857,1.13656659308813,0.22578273920774,0.290514459398757,0.690505699576259,0.623336727297268,0.231663487617485,2.71634064570616,0.910272848174038,0.751513124536289,0.197761345805045,0.375382759215784,0.241983495333526,0.155928660414495,0.394564143389151,0.280139835586377,0.29582277653294,0.232775786391677,0.202320264198963,0.192581256740296,0.256926032360825,0.260176282156939,0.276218839763616,0.252366580725593,0.173259483560066,0.425149912641809,0.335769009439515,0.316716542506692,0.297466177464903,0.241818241409242,0.270534727765319,0.300115296727536,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1326.044,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,OGskg,2019-02-20T07:59:33.963459Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,0.964405148042276,3.6938715467654,2.488108635407,1.02786736593152,1.7459498461447,3.7026972160494,0.987810915413438,1.57858258381112,9.56927818560429,1.67884168182964,2.74374131249988,1.58903153117678,1.91473929652505,0.984286565750157,1.19501767839148,1.96109282647122,1.04083703474352,1.10332484802926,1.21234193703978,0.826743308900542,0.834852712742149,1.26622677397699,1.50823076215244,2.29474900183354,1.05551618855987,0.947166634907623,1.85946432742931,1.04788928886422,1.0772159047717,1.08979944539914,0.728002133145521,0.850480507203773,1.38212039596755,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,168.589,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,OGskg,2019-02-20T07:59:33.963459Z
Gaussian,0.817842886060358,0.792332545513552,0.666199434113883,0.821111815372447,0.802584177790597,0.439121947334141,0.706240555998484,0.655577912294356,0.433831447924229,0.372472291908275,0.650731501431032,0.31487974635183,0.654436364209261,1.78168473518307,0.35699026856728,0.340738394673934,2.20408315715474,1.1384665965292,0.328110174585786,3.60146748454998,2.43421934348006,1.31550762652851,0.289453397678253,0.39762903571453,0.328555412641505,0.213774543085285,0.387150752766779,0.583782649189454,0.324112093910132,0.417557340968344,0.468076062138552,0.52389320942124,0.393398449751408,0.449454900095074,0.304767703581309,0.511571742468249,0.215607334209555,0.304702586644063,0.593928154196389,0.338771111726628,0.453717355984965,0.283974760381412,0.574277938342907,0.433057332778577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.307,PiecewiseConstant,XGBoost,GenHyp,"",10,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1238,OGskg,2019-02-20T07:59:33.963459Z
