rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,h_X_1_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.879045924973586,0.923976874084026,0.918361530559567,0.907128109872393,0.123707713978687,0.21503444276519,0.234855223544218,0.191199126762698,0.117711519116411,0.16326053008921,0.116151634858095,0.132374561354572,0.19347554468055,0.249123521245727,0.186520839577,0.211993734251479,0.1,0.1,0.1,0.1,0.1,0.1,,31.452,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
empirical_AIC_each_k,0.770044384045547,0.877673380777651,0.869011947838019,0.838909904220406,0.134814856868969,0.242836706927028,0.269333682159487,0.215661748651828,0.223790929552705,0.26269781014181,0.186364057407921,0.224284265700812,0.628964085188407,0.666708505715011,0.485961578234444,0.597767850842646,0.0806289569182515,0.0806289569182515,0.0806289569182515,0.119544942037011,0.119544942037011,0.119544942037011,,2293.005,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
empirical_AIC_full,0.809765526936027,0.903383563629657,0.85896785304311,0.857372314536265,0.153045184513552,0.209372154388565,0.560365868674617,0.307594402525578,0.185134637322308,0.20748489919484,0.200654355095944,0.19775796387103,0.359132102842603,0.434676818480622,0.331566937465077,0.376500442681307,0.0401050562702364,0.205621819582253,0.022300023216384,0.766663145562203,0.0679743122093292,0.145784438143986,,2704.837,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
empirical_independence,0,0,0,0,0.658704125932848,2.11751997463922,3.26442077131018,2.01354829062742,0.973191842364184,2.14751140685343,1.42275615471754,1.51448646797838,1.09093042457046,2.0111857976316,1.0630917309152,1.53047578369595,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.7740000000003,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
Gaussian,0.898972803517422,0.95549852394328,0.9358635794648,0.930111635641834,0.116698520755298,0.113342708419424,0.286634568745548,0.172225265973423,0.0983188434737687,0.0955674274536213,0.0912504870580075,0.0950455859951325,0.0916393674811437,0.112384727752477,0.089500893207708,0.0980981605049131,,,,,,,,13.232,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
copula,0.775938804146146,0.870421740502742,0.871937173182794,0.839432572610561,0.258333143458066,0.246473276747497,0.518075269169943,0.340960563125169,0.218054527995334,0.278270790350575,0.182202175044706,0.226175831130205,0.257995900656538,0.328026186503776,0.155831862553107,0.259389358562551,,,,,,,,18.1009999999997,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
treeSHAP,-0.134836131950109,-0.104792113868189,-0.0197815999514761,-0.0864699485899246,0.694348838868298,2.29604788639062,3.28325138787279,2.09121603771057,1.10441326603397,2.37255366673365,1.45090054779866,1.64262249352209,1.08258814369759,2.02049624453589,1.07991199403321,1.5534654271575,,,,,,,,0.0330000000003565,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,6j8Ec,2019-01-18T15:40:50.547855Z
empirical_sigma.01,0.740650551214994,0.833494102794708,0.852525309408132,0.808889987805944,0.135198828946218,0.125519827226545,0.16294720762199,0.141221954598251,0.0917316052343077,0.107832121529138,0.0895292375058771,0.0963643214231077,0.148186794405086,0.167941640086893,0.107585537824956,0.14320819520085,0.1,0.1,0.1,0.1,0.1,0.1,,26.899,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
empirical_AIC_each_k,0.755433117514476,0.844702641406641,0.859544663838029,0.819893474253049,0.157883783505512,0.10005050660296,0.171494262764921,0.143142850957797,0.0865030283374345,0.100573276538947,0.0852679134280298,0.0907814061014703,0.140250510203907,0.121849748616903,0.114684596101771,0.125825708997291,0.0974631504676636,0.0974631504676636,0.0974631504676636,0.178691795980618,0.178691795980618,0.178691795980618,,2582.937,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
empirical_AIC_full,0.687072295250217,0.799511731330127,0.825809133385029,0.770797719988457,0.169062070371467,0.134147817068303,0.221836607893053,0.175015498444274,0.11068217346697,0.129839697663808,0.10574814841745,0.115423339849409,0.285121372335323,0.203017530665676,0.150261318230833,0.219425984239034,0.0461763558047368,0.342660790567764,0.12032974706238,5.31050195231529,0.0953262072659688,0.215513458471498,,2739.11,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
empirical_independence,0,0,0,0,0.333016394463485,1.1378565106454,1.50491389060836,0.991928931905748,0.353698863306051,0.647617431808961,0.60708205012375,0.536132781746254,0.338634480295895,0.593161739395695,0.465368790329311,0.493094863948183,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.6269999999995,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
Gaussian,0.524257204694724,0.728871989561269,0.71272447992535,0.655284558060448,0.164961615859752,0.209155515008273,0.313676361128735,0.229264497332253,0.168269685925519,0.175587225811804,0.174399811677285,0.172752241138203,0.181636639830107,0.168685269983424,0.16836502568701,0.17245646276197,,,,,,,,13.9009999999998,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
copula,0.360529868591601,0.580572761619266,0.566152970644113,0.502418533618327,0.269829912065879,0.359129024422749,0.542552625030569,0.390503853839732,0.226179858597322,0.271628390950856,0.26338074402147,0.253729664523216,0.208136695878286,0.272779985372343,0.232676360630137,0.239370629628432,,,,,,,,20.3550000000005,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
treeSHAP,0.0199696829283944,-0.0635861781273137,0.0162175327948999,-0.00913298746800644,0.289810678263489,1.12171650870412,1.45492212458663,0.955483103851412,0.346635609153696,0.688796949186319,0.597236677066673,0.544223078468896,0.356938597202344,0.664471057477518,0.460437336144794,0.528730747425271,,,,,,,,0.0510000000003856,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,qXer9,2019-01-18T15:40:50.993406Z
empirical_sigma.01,0.93477138858164,0.946734718994686,0.947323036990116,0.942943048188814,0.0633485040964045,0.230209062980305,0.146466940059288,0.146674835711999,0.142768914970829,0.246628577116439,0.137948225667036,0.175781905918101,0.131787023344338,0.20408961729534,0.161495670615062,0.175211984707208,0.1,0.1,0.1,0.1,0.1,0.1,,44.562,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
empirical_AIC_each_k,0.898848815562293,0.938869677216993,0.92566885123799,0.921129114672425,0.0756355522445573,0.244562690890588,0.146517702498795,0.15557198187798,0.221394331968269,0.283045245272201,0.194655300868195,0.233031626036222,0.434574928006767,0.433135347813781,0.417627479460788,0.428685123953676,0.0494871879059191,0.0494871879059191,0.0494871879059191,0.0913193164848437,0.0913193164848437,0.0913193164848437,,2508.697,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
empirical_AIC_full,0.895065088449173,0.947377630630985,0.921539688227355,0.921327469102504,0.0810649382874713,0.228484402365466,0.198690961142298,0.169413433931745,0.229675952605894,0.243651771604869,0.205468580113245,0.226265434774669,0.41619663047955,0.329762075534737,0.353563196672755,0.367421788948212,0.0326651452477754,0.124330522862763,0.014394511326305,0.262061452926441,0.0493697579275894,0.111130352786394,,2980.941,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
empirical_independence,0,0,0,0,0.707356743934367,4.16459710550318,1.58610841859274,2.15268742267676,2.18874680705902,4.63019386102245,2.61875813989414,3.14589960265853,1.9663900986858,4.21396225215574,2.23802226145835,3.15506342799308,Inf,Inf,Inf,Inf,Inf,Inf,Inf,19.683,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
Gaussian,0.951100219497592,0.981233221023021,0.975234842177893,0.969189427566169,0.0378333638306853,0.0856955719933792,0.0626514212111015,0.062060119011722,0.107029238440531,0.0868938248103733,0.0648539586324056,0.0862590072944368,0.106429959568778,0.0881303000237477,0.0728689136640287,0.0915312045617349,,,,,,,,22.5039999999999,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
copula,0.946036002212414,0.952454610427857,0.94411491230149,0.947535174980587,0.0475664390243987,0.144936318412918,0.123768874194692,0.10542387721067,0.11811352785372,0.220144370916855,0.146349528309172,0.161535809026582,0.168140696705241,0.250632761363222,0.141529536680891,0.196591846690944,,,,,,,,29.8310000000001,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
treeSHAP,-0.100515717352471,-0.0412672101852824,0.0182335330977343,-0.0411831314800062,0.769165421128466,4.42920492665506,1.4913645298215,2.22991162586834,2.40875026247349,4.82126904428386,2.57100892667541,3.26700941114426,2.22722908911933,4.40755011408275,2.19373029624753,3.2991462097985,,,,,,,,0.106999999999971,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,Mz7Ah,2019-01-18T15:40:50.544267Z
