rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.387418676440564,-0.741866274351944,0.509266565990575,0.0516063226930652,0.076839265213358,0.0649040318847725,0.0680105125066844,0.0699179365349383,0.0728779355453988,0.0717639045036031,0.0647860486611718,0.0698092962367246,0.0710069622881208,0.0617345379416918,0.0604223890158957,0.0644436881816885,0.1,0.1,0.1,0.1,0.1,0.1,7.68599999999998,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
empirical_AIC_each_k,0.725834253109924,0.292727249776216,0.768233771060528,0.595598424648889,0.0331067453067668,0.0262720025344858,0.0315269800908917,0.0303019093107148,0.0326171119852506,0.0291392369508642,0.0305975039511992,0.0307846176291047,0.026944308358315,0.0266246997154304,0.021436070770332,0.0250853532090118,0.426881874565342,0.426881874565342,0.426881874565342,0.293949351663722,0.293949351663722,0.293949351663722,2617.581,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
empirical_AIC_full,0.735533623885531,0.263266973325692,0.748812564658151,0.582537720623125,0.0319721953747894,0.0274421398254429,0.0346659749948792,0.0313601033983705,0.0314631915325206,0.0303529836643608,0.0331614686942635,0.0316592146303816,0.0281586277499174,0.0274786041622073,0.0248223264163747,0.02679346264377,0.345281298995401,0.939461047002625,0.452455976434206,0.279037253723169,0.707761290813621,0.265398269570333,2197.624,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
empirical_independence,0,0,0,0,0.117605851488983,0.0380200740077953,0.135096657592427,0.0969075276964017,0.118968588728657,0.0411994339406466,0.132018819528664,0.0973956140659892,0.0851034088852014,0.0360894439427627,0.102815082543078,0.0891186684451268,Inf,Inf,Inf,Inf,Inf,Inf,4.68799999999919,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
Gaussian,0.764879832807108,0.372963820600744,0.83402251891378,0.657288724107211,0.0286688150863734,0.0247945876800721,0.0225035024967268,0.0253223017543908,0.0279719144725842,0.0258335356515551,0.021912151121344,0.0252392004151611,0.0197750621543862,0.0195136095404144,0.0164364843337835,0.0187436709913985,,,,,,,4.2510000000002,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
copula,0.801451414805308,0.36109404393827,0.825748171696584,0.662764543480054,0.0236265242801426,0.0255527937765774,0.0235511132676403,0.0242434771081201,0.023621044974684,0.0263225637310509,0.0230045206733284,0.0243160431263545,0.0183141417911323,0.0219016333152258,0.0165566878372331,0.0190453634631583,,,,,,,8.91400000000067,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
treeSHAP,-0.122267989711166,0.222253476933929,-0.0578122791297451,0.0140577360310058,0.144003274507643,0.0282106331076418,0.144809379581011,0.105674429065432,0.133514638911284,0.0320427164996282,0.139651128373635,0.101736161261516,0.0910523731723438,0.0317103046123469,0.108257278785258,0.0969607580858317,,,,,,,0.0189999999993233,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1235,cfsTy,2019-01-17T14:38:46.783323Z
empirical_sigma.01,0.322156852873529,-1.14361592692848,0.194643038103717,-0.208938678650411,0.0848507383854223,0.0765643006451977,0.151255478960966,0.104223505997195,0.0824450180820663,0.0887926214932755,0.097114866616733,0.0894508353973583,0.075197417515213,0.108409062422341,0.143715824687187,0.112420990659645,0.1,0.1,0.1,0.1,0.1,0.1,7.23500000000001,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1239,LbHAK,2019-01-17T14:38:46.847184Z
empirical_AIC_each_k,0.616238076453913,-0.065062937419506,0.615029814590432,0.388734984541613,0.0462806906633595,0.0372375763820705,0.0486975782044181,0.044071948416616,0.046676371753689,0.0441169190249078,0.0464220587594348,0.0457384498460105,0.0370780493511246,0.04326000427188,0.0366992073765719,0.0390141364520125,0.454451674485014,0.454451674485014,0.454451674485014,0.296926567892547,0.296926567892547,0.296926567892547,2514.585,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1239,LbHAK,2019-01-17T14:38:46.847184Z
empirical_AIC_full,0.628870770784295,-0.0176023971580035,0.636828556437376,0.416032310021222,0.044802312496607,0.036691508165273,0.0494151485069198,0.0436363230562666,0.0451398765970902,0.0421510137830372,0.0437934331846414,0.0436947745215896,0.0310186717141194,0.0363631263511904,0.0321316189943795,0.0331621554865531,0.509541865220395,0.833166100324904,0.411207562505154,0.303650057395851,0.387934797516298,0.267757573347405,2517.745,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,0.5,0.2,0.5,0.1,2000,100,1,1000,1239,LbHAK,2019-01-17T14:38:46.847184Z
