rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.0309087677432105,0.0264758070929868,0.0258827349637303,0.0277557699333092,0.03115618781193,0.0241238972999608,0.0320980026668421,0.0293303789275457,0.1,0.1,0.1,0.1,0.1,0.1,2.889,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
empirical_AIC_each_k,0.00850575529418065,0.00709881688291415,0.00455906249470601,0.00672121155726693,0.0051029624801096,0.00584267868433859,0.003330121496551,0.00512571821767786,16.4630995788267,16.4630995788267,16.4630995788267,7.56657986423883,7.56657986423883,7.56657986423883,2613.733,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
empirical_AIC_full,0.00901521190778967,0.00787205011607129,0.00562634551471677,0.00750453584619258,0.00629099210563351,0.0065844060956608,0.00842210333220577,0.00727549121578364,8.84989275724603,12.6717159077034,0.57078505468538,23.9611023511264,0.668128495386502,11.1022841892583,2452.147,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
empirical_independence,0.00606300378105729,0.00783845923754202,0.00571891813654115,0.00654012705171348,0.00444732922868516,0.00495185350933521,0.00474078715371071,0.00479320184399678,Inf,Inf,Inf,Inf,Inf,Inf,2.67700000000059,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
Gaussian,0.00951879006662726,0.00848844704675738,0.0085503110813095,0.00885251606489805,0.00665409526665538,0.0063136326730309,0.00656323066300644,0.0065072787609688,,,,,,,2.63199999999961,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
copula,0.00962698615446934,0.0113418013432187,0.00962410687940175,0.0101976314590299,0.00722558290980069,0.00738337260933152,0.00757135309326216,0.00741443570938773,,,,,,,5.95600000000013,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
treeSHAP,0.0109527312089556,0.00953342223543548,0.00380793380700384,0.00809802908379829,0.00518939686508474,0.00705177098784865,0.00256005768730127,0.00609275276394731,,,,,,,0.00600000000031287,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,h9PTe,2018-12-21T10:12:32.289593Z
empirical_sigma.01,0.073143961915431,0.0613325307335388,0.0608970423827635,0.0651245116772445,0.0976348691105188,0.055499161219572,0.0732924924888367,0.07737592522578,0.1,0.1,0.1,0.1,0.1,0.1,1.905,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,iII3e,2018-12-21T10:11:00.906879Z
empirical_AIC_each_k,0.0205452752701683,0.0110266291191485,0.0205082471030526,0.0173600504974565,0.0140590288927262,0.00817872613378775,0.0117943159049016,0.0124005910676854,18.6954376297852,18.6954376297852,18.6954376297852,21.7400380556921,21.7400380556921,21.7400380556921,2792.791,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,iII3e,2018-12-21T10:11:00.906879Z
empirical_AIC_full,0.0205485986171512,0.0110306372012305,0.0205044862757712,0.017361240698051,0.0140593844405404,0.00818118272559243,0.0117880427041029,0.012398567945225,22.7808340837135,11.8850139953947,13.5454487508319,18.9486152965714,20.1825533812067,17.0874765146818,2792.081,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,iII3e,2018-12-21T10:11:00.906879Z
empirical_independence,0.0228381676796063,0.0151095724372419,0.0162507258304878,0.0180661553157787,0.0136837105807065,0.0125752013344606,0.0112788004200133,0.0129660519139033,Inf,Inf,Inf,Inf,Inf,Inf,1.89300000000003,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,iII3e,2018-12-21T10:11:00.906879Z
Gaussian,0.0264204639978238,0.0225189152462551,0.0209486641972698,0.0232960144804495,0.0172179063113323,0.0160531162038093,0.0151138503568401,0.0162612200365863,,,,,,,1.65599999999995,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,iII3e,2018-12-21T10:11:00.906879Z
copula,0.031131825244883,0.026262040607582,0.0229312740318309,0.0267750466280986,0.020473683698761,0.0186582755635459,0.0182813560408495,0.0193930919264631,,,,,,,4.4369999999999,Linear,Linear,Gaussian,All var equal contribution,0,1,0.1,2000,100,1,1000,1235,iII3e,2018-12-21T10:11:00.906879Z
empirical_sigma.01,0.0714310850526298,0.0576445108817061,0.0660149654552631,0.0650301871298663,0.0945983386646263,0.0533842158279827,0.0777951084182352,0.0770891430677624,0.1,0.1,0.1,0.1,0.1,0.1,1.84999999999945,Linear,Linear,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,PpuVG,2018-12-21T11:45:09.522582Z
empirical_AIC_each_k,0.0273029525393699,0.0196763006564072,0.0168350438871039,0.0212714323609603,0.0186565709948721,0.0187529060625946,0.0115141386231937,0.0171808849378319,0.946369176725377,0.946369176725377,0.946369176725377,0.56243947751515,0.56243947751515,0.56243947751515,1499.14,Linear,Linear,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,PpuVG,2018-12-21T11:45:09.522582Z
empirical_AIC_full,0.0273814804348635,0.0199038620258816,0.0170067530834844,0.0214306985147432,0.0188537845181323,0.0187245344446513,0.0117709000029657,0.0172866403200731,1.04228957197358,1.16703003229552,0.833893691993157,0.504873173071856,0.621509523823815,0.572684076031611,1570.292,Linear,Linear,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,PpuVG,2018-12-21T11:45:09.522582Z
empirical_independence,0.0419645237122365,0.0369919364458723,0.0432151808563611,0.0407238803381566,0.0334121712167449,0.0302285197225499,0.0319295103525832,0.03189031735,Inf,Inf,Inf,Inf,Inf,Inf,1.79799999999887,Linear,Linear,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,PpuVG,2018-12-21T11:45:09.522582Z
