rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.186411005214289,0.252612494807471,9.69374024839033,3.37758791613736,0.141677855348332,0.133263713438875,0.150751904397156,0.141897824394788,0.230632322038116,0.173447932436148,0.20064688396464,0.202370789544561,0.1,0.1,0.1,0.1,0.1,0.1,2.969,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1237,7kW2D,2019-01-03T14:08:31.285808Z
empirical_AIC_each_k,0.172052878484942,0.263110877949857,8.00822523199108,2.81446299614196,0.135010796022433,0.127912627310208,0.147006498217357,0.136643307183333,0.22166653635327,0.176241235090534,0.200224971606415,0.199724291966571,0.123737701469987,0.123737701469987,0.123737701469987,0.095097845464832,0.095097845464832,0.095097845464832,5032.107,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1237,7kW2D,2019-01-03T14:08:31.285808Z
empirical_AIC_full,0.173104486702913,0.271011289041955,7.76018882407595,2.73476819994027,0.138263877168414,0.135792079826485,0.144956353149134,0.139670770048011,0.224760443408391,0.182339310807601,0.194141048034689,0.200572785490845,0.132300718170641,0.0968060211263576,0.125052912209389,0.101450610965258,0.0902087458851034,0.0902336704203755,4652.419,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1237,7kW2D,2019-01-03T14:08:31.285808Z
empirical_independence,0.619491272911187,1.08854246545046,40.5292470966797,14.0790936116805,0.704026538402404,0.63479017106908,0.500106288916508,0.612974332795997,0.869717551157459,0.636046903392455,0.481566578993652,0.684380826494594,Inf,Inf,Inf,Inf,Inf,Inf,2.82099999999991,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1237,7kW2D,2019-01-03T14:08:31.285808Z
Gaussian,0.111073345769647,0.168180657107446,12.187914344089,4.15572278232203,0.126772479552096,0.103442479017285,0.12079411225723,0.11700302360887,0.145059942679167,0.103053273262801,0.0984442655860485,0.117433257418035,,,,,,,4.66600000000108,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1237,7kW2D,2019-01-03T14:08:31.285808Z
copula,0.199548344511758,0.283071059461175,13.35158308743,4.61140083046763,0.193284104365198,0.172239853376725,0.184634504035407,0.183386153925777,0.233297577424333,0.17774545834062,0.157731467631009,0.191818604263958,,,,,,,11.1759999999995,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1237,7kW2D,2019-01-03T14:08:31.285808Z
empirical_sigma.01,0.153157236399328,0.677702249078558,0.169880743423213,0.333580076300366,0.147011043752879,0.157089247507044,0.180536182214636,0.161545491158186,0.273608741133498,0.319276916142523,0.48244415450165,0.368513279298776,0.1,0.1,0.1,0.1,0.1,0.1,3.103,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1238,hx2md,2019-01-03T14:08:31.290016Z
empirical_AIC_each_k,0.208123499184315,0.697723595189565,0.164991902131741,0.35694633216854,0.151889704434527,0.167107315768279,0.187128743245888,0.168708587816232,0.277788203623242,0.327752887462747,0.475348021970125,0.368973666708954,0.127099218716535,0.127099218716535,0.127099218716535,0.0892403701131165,0.0892403701131165,0.0892403701131165,4872.403,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1238,hx2md,2019-01-03T14:08:31.290016Z
empirical_AIC_full,0.194097880249641,0.703245464852476,0.15751497438968,0.351619439830599,0.15529932183265,0.172362659246981,0.172986148099308,0.166882709726313,0.276474108835876,0.321538954030437,0.449665243222935,0.355748435614633,0.104901353523632,0.124743826253481,0.145524997080687,0.112610462032753,0.0824273027279067,0.0848971284785772,5503.935,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1238,hx2md,2019-01-03T14:08:31.290016Z
empirical_independence,0.815565039171691,0.981165597192626,0.775482895407296,0.857404510590537,0.669347450234958,0.66302356318591,0.763306644084009,0.698559219168293,0.649208555731126,0.652521163967478,0.637413105356667,0.645883262284424,Inf,Inf,Inf,Inf,Inf,Inf,2.73599999999897,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1238,hx2md,2019-01-03T14:08:31.290016Z
Gaussian,0.137557343499836,0.377270072523352,0.200107099160946,0.238311505061378,0.117589500990993,0.1102589172429,0.131992867600854,0.119947095278249,0.183878518187909,0.122079443212453,0.131174650639853,0.148015629725955,,,,,,,4.70000000000073,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1238,hx2md,2019-01-03T14:08:31.290016Z
