rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.0872658282043682,0.211454580056402,0.304515098695834,0.201078502318868,0.113097241719637,0.149223360925651,0.131382526363448,0.131234376336246,0.241732430023646,0.314970012013709,0.152912440075048,0.245266384964427,0.1,0.1,0.1,0.1,0.1,0.1,2.584,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
empirical_AIC_each_k,0.0773779460505207,0.107218888623024,0.238842832175037,0.141146555616194,0.0964029956225971,0.11483752195727,0.109488321055419,0.106909612878429,0.176880440637707,0.238442975542799,0.122355266316567,0.184935421256011,0.130932851414192,0.130932851414192,0.130932851414192,0.161430411278846,0.161430411278846,0.161430411278846,1377.758,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
empirical_AIC_full,0.107922175859441,0.220209781874243,0.248456925714272,0.192196294482652,0.136989002202338,0.143290965405349,0.126884153048823,0.13572137355217,0.226684028234241,0.261056270342579,0.140446615160864,0.2148388724649,0.0308409525836133,0.290751553140407,0.162221528781856,0.472953650760854,0.106828479889408,0.205685385166395,1396.604,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
empirical_independence,0.27426889434427,1.14692367723236,2.25202634037699,1.22440630398454,0.345356973048319,0.604259015616568,0.621200769989382,0.52360558621809,0.314609098012781,0.568602086157861,0.491552981239103,0.485603716404445,Inf,Inf,Inf,Inf,Inf,Inf,2.29799999999977,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
Gaussian,0.0986052105107963,0.264531646084262,0.361360979414402,0.24149927866982,0.112865816756686,0.152483655134624,0.131618068456838,0.132322513449383,0.0886868256100412,0.0926969080874094,0.120256958133839,0.102471365851944,,,,,,,2.11000000000013,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
copula,0.104302079139855,0.204362258458269,0.348727835516695,0.219130724371606,0.114758488047055,0.130002939012667,0.151546347080773,0.132102591380165,0.0870006961618657,0.136768264298353,0.12607445153572,0.119125911034058,,,,,,,5.06800000000021,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
treeSHAP,0.27903483509263,1.40301867798567,2.39416872874629,1.35874074727486,0.351945866529642,0.705504473837698,0.636895440573879,0.564781926980406,0.283190328661004,0.600881647207237,0.476979768185791,0.49491729181889,,,,,,,0.00599999999985812,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1235,4XYFN,2019-01-07T10:37:46.846682Z
empirical_sigma.01,0.066011315428226,0.217059675514724,0.911897804146798,0.398322931696583,0.0935909757782979,0.186307470161409,0.153092684163109,0.144330376700939,0.210478893986832,0.42087748664378,0.232798485541281,0.304531745425936,0.1,0.1,0.1,0.1,0.1,0.1,2.39899999999989,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
empirical_AIC_each_k,0.0694516426277412,0.194222398925568,1.0748484461181,0.446174162557136,0.0920449926238287,0.183388619652354,0.159808263986118,0.145080625420767,0.166141385563656,0.407134726548416,0.292996758235649,0.306514466064987,0.0781146891186981,0.0781146891186981,0.0781146891186981,0.139522425667241,0.139522425667241,0.139522425667241,1234.538,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
empirical_AIC_full,0.0751476974475349,0.256222255480287,1.241579140084,0.524316364337275,0.108732132153314,0.200051662518295,0.178127310795993,0.162303701822534,0.223485454049218,0.417723326390186,0.259006896130931,0.313120594515247,0.0504528764834224,0.271684460623872,0.0667691789612764,4.361645200453,0.0808826796722127,0.168835956924602,1391.714,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
empirical_independence,0.298575533791863,1.62061909971035,7.28915456720023,3.06944973356748,0.417904254317858,0.963187145125629,0.886159762275913,0.7557503872398,0.421500040965878,0.914535326761039,0.670730450561993,0.736858999602278,Inf,Inf,Inf,Inf,Inf,Inf,2.46200000000044,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
Gaussian,0.111989864387178,0.228151280533459,1.31540359487011,0.551848246596916,0.135112808488325,0.13224564370329,0.113360830661132,0.126906427617582,0.128973779027164,0.0984212819277441,0.11502201236304,0.114843025591551,,,,,,,2.26699999999983,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
copula,0.112129589536581,0.18536145046627,0.879227219096796,0.392239419699882,0.13356545138424,0.158013433865466,0.164061256751198,0.151880047333634,0.112918668287075,0.199533983319459,0.15997292727513,0.161406485957095,,,,,,,5.15300000000025,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
treeSHAP,0.369979038425148,1.84619320688298,6.54496205138695,2.92037809889836,0.499789028369755,1.09288541830589,0.860791582259271,0.817822009644971,0.441768788641278,1.0034677934629,0.687519470756649,0.783759406756254,,,,,,,0.00599999999940337,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1235,6Qi1m,2019-01-07T11:24:19.854747Z
empirical_sigma.01,0.0799161388374884,0.128777537706785,1.59307101535457,0.600588230632949,0.127518030186241,0.184605201369004,0.153678423239746,0.155267218264997,0.171151935892799,0.265020208794065,0.257083002632283,0.235337530155511,0.1,0.1,0.1,0.1,0.1,0.1,2.3730000000005,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
empirical_AIC_each_k,0.0937512522142337,0.136033136990691,1.58543907466873,0.605074487957884,0.183968035075629,0.206198441269725,0.194963384116006,0.195043286820453,0.391939688303753,0.322227571115693,0.453815948417976,0.391809704224735,0.0870971600073182,0.0870971600073182,0.0870971600073182,0.101883385744211,0.101883385744211,0.101883385744211,946.281,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
empirical_AIC_full,0.0863897585272002,0.144502181012559,1.99976848667297,0.743553475404244,0.136009264926363,0.19835532194137,0.195776044683374,0.176713543850369,0.220667883550344,0.295440168099612,0.359856977612263,0.297879952359145,0.100168473259006,0.155923801795975,0.0550142645950165,0.209762423189552,0.0490151950445801,0.118780266197165,1317.849,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
empirical_independence,0.618312848881951,1.80137904742309,8.17489469564008,3.53152886398171,1.11597188065543,2.53329825235282,1.56931344248266,1.73952785849697,1.13223902264394,2.26206514265747,1.27637302196221,1.73452239416755,Inf,Inf,Inf,Inf,Inf,Inf,2.48499999999967,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
Gaussian,0.0829749551175303,0.0711150395797092,1.8551850948231,0.669758363173446,0.0955970787550717,0.0909251962493797,0.11616028320069,0.100894186068381,0.0656573961980252,0.0831602873228274,0.122432859823578,0.0938130616997272,,,,,,,2.125,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
copula,0.0801114152357001,0.131794346234513,1.70111417770372,0.637673313057979,0.126925776955805,0.190568748327258,0.144798331784356,0.154097619022473,0.160316720140397,0.284736297513464,0.157400961698351,0.210422960674119,,,,,,,4.91200000000026,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
treeSHAP,0.650783089803423,1.95900916050513,8.61829723428125,3.74269649486327,1.22352290286585,2.71679292370303,1.60446769010776,1.84826117222555,1.190692550664,2.2695120954255,1.23682973347195,1.75614358253663,,,,,,,0.00599999999940337,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0.5,1,0.5,0.1,2000,100,1,1000,1235,kg5La,2019-01-07T12:08:25.384902Z
empirical_sigma.01,0.0537408118829158,0.273354963819583,0.517406356178245,0.281500710626915,0.124842352043263,0.259188699440814,0.179554370398969,0.187861807294349,0.117524003264195,0.24824980170108,0.165954530809401,0.19274373863259,0.1,0.1,0.1,0.1,0.1,0.1,2.67399999999998,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
